,Title,Publication_type,Journal,Abstract
107,Changes of isopod assemblages along an urban-suburban-rural gradient in Hungary,Scientific article,European Journal of Soil Biology,"Responses of isopod assemblages to urbanisation were studied along an urbanesuburbanerural gradient representing a decrease
in the intensity of human disturbance. Pitfall trapping collected six species (Armadillidium vulgare, Porcellio scaber, Porcellium
collicola, Trachelipus ratzeburgii, Cylisticus convexus, and Trachelipus rathkii). A. vulgare occurred abundantly in all sites reflecting
the broad tolerance and invasive nature of this species. Indicator species analysis demonstrated that P. scaber and T. rathkii were
significant quantitative character species for the urban site, while T. ratzeburgii was characteristic for the natural habitats (suburban
and rural sites). CANOCO revealed that ground and air temperature show positive correlation with the distribution of P. scaber and
T. rathkii, and negative correlation with T. ratzeburgii. Nested ANOVA on trap level showed that there were no significant differences
between the number of isopod species and individuals, and the diversity of isopod assemblages in the three studied areas.
Significant differences were observed at site level. The results did not support the hypothesis that diversity should decrease in response
to habitat disturbance. They also contradicted the intermediate disturbance hypothesis; species richness was not the highest
in the moderately disturbed suburban area. Multivariate methods detected that the isopod assemblages of the rural and suburban
areas were relatively similar, while that of the urban area was relatively separated."
108,Preliminary data on the species diversity of Collembola (Hexapoda: Collembola) along an urban gradient in București,Scientific article,Travaux du Muséum National dHistoire Naturelle Grigore Antipa,"The paper presents the Collembola fauna from urban and peri-urban habitats. There were sampled collembolan fauna from a variety of habitats in the metropolitan area of București, in order to assess general species richness and to establish the most sensitive species of Collembola at air pollution. 50 species of Collembola occur in metropolitan area of București."
109,Extreme life history plasticity and the evolution of invasive characteristics in a native ant,Scientific article,Biological Invasions,"Disturbance resulting from urbanization is a leading cause of biotic homogenization worldwide. Native species are replaced with widespread non-native species and ants are among the worlds most notorious invaders. To date, all documented cases of ant invasions involve exotic introduced species that are spread around the world by human-mediated dispersal. I investigated the effect of urbanization on the evolution of invasive characteristics in a native ant species, the odorous house ant, Tapinoma sessile (Say). Colony social structure, life history traits, and the spatial pattern of nest distribution were compared by sampling T. sessile across a gradient of three distinct habitats: natural, semi-natural, and urban. Results demonstrate a remarkable transition in colony social and spatial structure and life history traits between natural and urban environments. In natural habitats, T. sessile colonies are comprised of small, monogyne (single queen), and monodomous (single nest) colonies. In urban areas, T. sessile often exhibit extreme polygyny and polydomy, form large supercolonies, and become a dominant pest. Results also suggest that urban T. sessile colonies may have a negative impact on native ant abundance and diversity. In the natural environment T. sessile coexisted with a wide array of other ant species, while very few ant species were present in the urban environment invaded by T. sessile. Habitat degradation and urbanization can lead to extreme changes in social and spatial colony structure and life history traits in a native ant species and can promote the evolution of invasive characteristics such as polygyny, polydomy, and supercolonial colony structure."
110,The confounding influence of homogenising invasive species in a globally endangered and largely urban biome: Does habitat quality dominate avian biodiversity?,Scientific article,Biological Conservation,"There are many variables within an urban landscape that can be expected to influence faunal diversity. We used a mechanistic approach to observe the relative importance of each of these variables in describing the diversity of avian communities in urban and peri-urban areas of Cape Town, South Africa situated within Cape Floristic Region, a global plant biodiversity hotspot. We expected to find a strong influence of habitat amount and arrangement across a fragmented urban-rural gradient. Birds were sampled in patches of fragmented Cape Flats Sand Fynbos at 39 locations during the middle of summer (November-January 2008/2009). Environmental data included on-site observations, existing GIS layers, and remotely sensed data. Bird community composition was related to habitat amount, arrangement, and quality. Correlations, partial correlations and structural equation analysis showed that habitat amount and arrangement had insignificant effects on species richness across the urban gradient. Changes in urban density and the presence or absence of the invasive alien tree species Acacia saligna (blue wattle) appeared to be the main drivers of avian species richness. Increasing urban density, decreasing A. saligna density and decreasing canopy height correlated with higher avian species richness, with confounding variables corrected for. For the management of urban biodiversity, our results suggest that the most urgent focus should be on retaining the quality remaining areas of native vegetation (and particularly, containing the spread of A salgina) rather than extending current networks with poor quality habitat. More generally, habitat quality appears to be more important than habitat amount or arrangement in this system. We suggest that this observation be encorporated into further research to more effectively predict avian responses to landscape change and that more must be done to adequately capture the critical and complex role of the matrix in terrestrial systems."
111,"Multi-scaled habitat considerations for conserving urban biodiversity: native reptiles and small mammals in Brisbane, Australia",Scientific article,Landscape Ecology,"The rapid expansion of the world's urban population is a major driver of contemporary landscape change and ecosystem modification. Urbanisation destroys, degrades and fragments native ecosystems, replacing them with a heterogeneous matrix of urban development, parks, roads, and isolated remnant fragments of varying size and quality. This presents a major challenge for biodiversity conservation within urban areas. To make spatially explicit decisions about urban biodiversity conservation actions, urban planners and managers need to be able to separate the relative influence of landscape composition and configuration from patch and local (site)-scale variables for a range of fauna species. We address this problem using a hierarchical landscape approach for native, terrestrial reptiles and small mammals living in a fragmented semi-urban landscape of Brisbane, Australia. Generalised linear modelling and hierarchical partitioning analysis were applied to quantify the relative influence of landscape composition and configuration, patch size and shape, and local habitat composition and structure on the species' richness of mammal and reptile assemblages. Landscape structure (composition and configuration) and local-scale habitat structure variables were found to be most important for influencing reptile and mammal assemblages, although the relative importance of specific variables differed between reptile and mammal assemblages. These findings highlight the importance of considering landscape composition and configuration in addition to local habitat elements when planning and/or managing for the conservation of native, terrestrial fauna diversity in urban landscapes."
112,"Effects of urbanization on ground-dwelling spiders in forest patches, in Hungary",Scientific article,Landscape Ecology,"Effects of urbanization on ground-dwelling spiders (Araneae) were studied using pitfall traps along an urban-suburban-rural forest gradient in Debrecen (Hungary). We found that overall spider species richness was significantly higher in the urban sites compared to the suburban and rural ones. The increased diversity was due to the significantly more open-habitat species in the assemblages at the urban sites. This suggests that species from the surrounding matrix (grasslands and arable lands) penetrated the disturbed urban sites. The ratio of forest species was significantly higher in the rural sites than in the suburban and urban ones, suggesting that forest species are indeed sensitive to the disturbance caused by urbanization. Canonical correspondence analysis revealed that the species composition changed remarkably along the urbanization gradient. Open-habitat spiders were associated with the urban sites of higher ground and air temperature. Forest spiders were characteristic of the rural sites with higher amount of decaying woods. Our findings suggest that the overall diversity was not the most appropriate indicator of disturbance; species with different habitat affinity should be analyzed separately to get an ecologically relevant picture of the effect of urbanization."
113,Screening of xylophagous fungi associated with Platanus acerifolia in urban landscapes: Biodiversity and potential biodeterioration,Scientific article,Landscape and Urban Planning,"Trees in urban landscapes provide a wide range of benefits to the environment; however, they are exposed to several stress factors that can make them vulnerable to decay by fungi. The presence and identity of wood decay Basidiomycetes affecting Platanus acerifolia, a common tree used in cities, were evaluated in sites with different levels of urban disturbances in order to analyze the relationships between human disturbance level, tree age, fungal pathogens and their degradative potential. We carried out morphological and cultural descriptions of the fungi detected, and studied their decay capacity. Eight species of Basidiomycetes were detected, being Inonotus rickii the most frequently isolated and the most widely distributed in the areas sampled. Bjerkandera adusta, although rarely detected, caused the greatest loss of dry weight. In some cases phylogenetic analyses were performed under both static and dynamic homologies. The age of the trees (estimated from DBH values) sampled seemed to be more important as a predisposing factor for decay than anthropogenic disturbance of sites. The correlation between tree age, presence and identity of fungi, degradative potential and environment conditions is discussed."
114,"Decline in the diversity of willow trunk-dwelling weevils (Coleoptera: Curculionoidea) as a result of urban expansion in Beijing, China",Scientific article,Journal of Insect Conservation,"Beijing, the capital and second largest city of China, expanded in a typical concentric pattern. The urbanized area consists of five concentric zones, which are based on the citys ring road system. Willow trees (Salix spp.) are commonly planted and abundant in the city. In this study, we determined the effects of urbanization on willow trunk-dwelling weevils (Coleoptera: Curculionoidea) in a 3-year survey. Our results indicated that species richness and abundance decreased from outskirts to the urban center. It was estimated that within a 30-km limit, species richness and abundance might be reduced by 0.9 species and 59.3% of individuals per 5 km toward urban center. Landscape variables (e.g., the proportion of impervious surface and distance to urban center) explained 59.4% of species richness and 43.9% of species abundance. Local variables (e.g., plant resources and site size) explained only 4.9% of species richness and 4.7% of species abundance. Our results show that there is a negative relationship between urban expansion and weevil diversity. There are several ways in which such detrimental effects on biodiversity could be mitigated: (1) Optimization of urban landscape structures, as well as vegetation planting; (2) increasing connectivity between urban remnants and natural landscapes in the outskirts of the city; and (3) limiting the proportion of impervious surface in inner urban zones."
115,The Effect of Urbanization on Ant Abundance and Diversity: A Temporal Examination of Factors Affecting Biodiversity,Scientific article,PLOS ONE,"Numerous studies have examined the effect of urbanization on species richness and most studies implicate urbanization as
the major cause of biodiversity loss. However, no study has identified an explicit connection between urbanization and
biodiversity loss as the impact of urbanization is typically inferred indirectly by comparing species diversity along urbanrural
gradients at a single time point. A different approach is to focus on the temporal rather than the spatial aspect and
perform before and after studies where species diversity is cataloged over time in the same sites. The current study
examined changes in ant abundance and diversity associated with the conversion of natural habitats into urban habitats.
Ant abundance and diversity were tracked in forested sites that became urbanized through construction and were
examined at 3 time points - before, during, and after construction. On average, 4.361.2 unique species were detected in
undisturbed plots prior to construction. Ant diversity decreased to 0.760.8 species in plots undergoing construction and
1.561.1 species in plots 1 year after construction was completed. With regard to species richness, urbanization resulted in
the permanent loss of 17 of the 20 species initially present in the study plots. Recovery was slow and only 3 species were
present right after construction was completed and 4 species were present 1 year after construction was completed. The
second objective examined ant fauna recovery in developed residential lots based on time since construction, neighboring
habitat quality, pesticide inputs, and the presence of invasive ants. Ant diversity was positively correlated with factors that
promoted ecological recovery and negatively correlated with factors that promoted ecological degradation. Taken together,
these results address a critical gap in our knowledge by characterizing the short- and long-term the effects of urbanization
on the loss of ant biodiversity."
116,Urban summer heat load: meteorological data as a proxy for metropolitan biodiversity,Scientific article,Meteorologische Zeitschrift,"Regional climate models forecast that the incidence of extreme heat waves will increase in Central Europe, and the associated intensification of urban heat islands causes concerns about human health and biodiversity. We investigated species diversity of terrestrial gastropods across an urban gradient in a metropolitan area. We considered 34 sites of different degrees of urbanization and of different thermal stress classes (TSC) that were derived from a classification of urban heat load based on the physiological equivalent temperature (PET). A total of 31 species were recorded with 021 species per site (mean: 4.4 ± 5.2 species per site). Alpha diversity was best explained by TSC, bush cover and perennial vegetation cover, and it decreased with
increasing thermal stress. Overall, thermal stress predicted snail and slug species richness better than urban cover (ANOVA(analysis of variance); TSC: F = 10.0, p < 0.001; urbanization: F = 3.9, p = 0.018), and the proportional loss in species richness was higher for native species than for introduced species. The results indicate that climatic stress contributes to the impoverishment of biodiversity in urban areas.We propose that TSC and/or PET are useful indicators for environmental stress levels in biodiversity studies in natural and anthropogenically transformed landscapes."
117,"Structure and species composition of ground bryophyte community of high-altitude young silvicultural cutovers in Rangtang County, China: evaluation on effects of clear-cutting and silvicultural management",Scientific article,Journal of Plant Ecology,"Aims  Traditional forestry management influences biodiversity. Revealing effects of clear-cutting and silvicultural history on ground bryophyte communities is important for evaluating impacts of forest management on biodiversity.

Methods  We selected four sites with similar physical conditions but different development phases in Rangtang County. We investigated bryophyte and vascular plant vegetation, including species composition and structural characteristics, in 30 plots in each site. ANOVA analysis was used to detect differences among bryophyte communities, and the relationship between vascular plant and bryophyte communities was examined by partial correlations.

Important findings   Bryophyte composition changed significantly during developmental processes of young forests. Photophilic or pleurocarpous mosses were dominant species, while some hygrophilous mosses expanded their populations and become dominant species locally and drought-tolerant species occurred because of disturbance. Richness index (2237) and diversity index (0.371.08) increased during the process of development, and the four young forestlands had differences in structural characteristics. There was a positive relationship between cover of tree and shrub layers and development of bryophytes. Shrub layer significantly promoted bryophyte richness, while pioneer grass with strong development and litter restrained bryophyte development. Characteristics of development in tree, shrub, litter layer and their interaction changed dynamically during the developmental process.Promoting development of tree and shrub layers has an important role on enhancing bryophytes."
118,Evaluation of species composition and development of bryophyte community during early natural recovery progress of high-altitude spruce cutovers,Scientific article,Biodiversity Science,"Due to traditional forest management, many forest ecosystems in western Sichuan Province have
become degraded. To quantify the composition and structure of bryophyte communities which are early in
the natural recovery process, we sampled four sites with similar topographic situation, but at different points
in the recovery process. All sites were located in the Rangtang County, Aba region, Sichuan Province. Species
composition and structural parameters were surveyed between July and October of 2006. We used
ANOVA analysis to detect differences among bryophyte communities, and nonparametric Spearman correlation
to test for relationships between bryophyte structural parameters and environmental factors. We used regression
analysis to explore the factors influencing bryophyte development. Our results suggested three main
points. Firstly, dominant species composition changed during the natural recovery process. Some small-sized,
heliophilous, and disturbance-resistant acrocarpous mosses with a high sporulation ability had expanded their
populations, while some hygrophilous pleurocarpous mosses sensitive to early successional conditions had
disappeared. Secondly, diversity indices, coverage, and biomass decreased during the natural recovery process,
indicating that bryophyte communities became simplified with recovery progress. Thirdly, there was a
close relationship between vascular plants and bryophytes. Bryophyte cover and richness were mainly influenced by herbaceous layer biomass, while bryophyte biomass was significantly affected by herbaceous layer
height. Our results implied that different microhabitats resulting from vascular plant community development
affected development of bryophyte communities."
119,Recovery of woody plant diversity in tropical rain forests in southern China after logging and shifting cultivation,Scientific article,Biological Conservation,"Logging and intense shifting cultivation have caused major degradation of tropical forests and loss of biodiversity.
Understanding the direct and indirect effects of those land uses on plant biodiversity is essential
to the restoration of tropical forests. We compared the species diversity, community composition and
basal area of all stems P1 cm dbh among 18 1-ha tropical lowland and montane rain forest plots with a
well-recorded long-term history of shifting cultivation and logging on Hainan Island, south China. We
also explored the relative importance of disturbance and environmental factors in determining forest
recovery. We found that the species density and diversity in old growth forests were higher than in shifting
cultivation fallows (55 years old) but lower than in logged forests (3540 years since logging). The
species composition of shifting cultivation fallows was distinct from other forest types but logged forests
were similar to old growth forests, especially in lowland forests. Disturbance intensity was the most frequently
important factor in determining species composition, species density, diversity, and basal area
accumulation. Soil nutrient availability explained some of the variation in species composition and diversity.
Stem density was related to multiple factors including disturbance history, soil nutrients, and distance
to old-growth forest. In general, we found that disturbance intensity was a better predictor of
forest structure and diversity than edaphic environmental variables, highlighting the importance of
human impacts in shaping tropical forest successional pathways."
120,Communities of soil macrofauna in green spaces of an urbanizing city at east China,Scientific article,Revista Chilena de Historia Natural,"We evaluated the diversity of soil macrofauna communities inhabiting urban green spaces in Yancheng City, an
urbanizing city located east of China. In the end of April 2011, the taxonomic richness, abundance and composition of
soil macrofauna communities were assessed and compared among fi ve types of green space (poplar forest, rapeseed
farm, grassland in park, lawn and nursery garden) and three depth layers in the soil, with taxonomic resolution
attained at the order level. Taxonomic richness (orders) and abundance were signifi cantly different among green
spaces. Diversity indices (Margalefs taxonomic richness R and Shannon-Weaver diversity index H) were higher in
poplar forest, grassland in park and nursery garden than in rapeseed farm and lawn. Taxonomic richness (Chao 2)
showed a similar trend. There were signifi cant effects of green space type and soil layer, which showed a signifi cant
interaction affecting macrofauna composition. We recommend that urban green spaces can be used for maintaining
biodiversity, not only for landscape purposes."
121,Regeneration strategies influence ground bryophyte composition and diversity after forest clearcutting,Scientific article,Annals of Forest Science,"& Context Natural regeneration with broadleaved species and
reforestation with coniferous trees are two widely practiced
forest regeneration strategies after timber harvesting. They
lead to different tree species composition and may cause
different understory biodiversity, but the effects on ground
bryophyte composition and diversity are not well-known.
& Aims We tested whether natural regeneration with broadleaved
species and reforestation with spruce induced different diversities
of the ground bryophyte populations 2040 years after oldgrowth
spruce forest clearcutting in the subalpine regions of
southwestern China.
& Methods Differences between natural stands and plantations
were compared through the analysis of 13 paired stands, with
78 plots, 390 shrub/herb quadrats, and a total of 1,560 bryophyte
quadrats.
& Results Naturally regenerated forests were characterized by
lower density and cover and lower tree height but higher
herbaceous plant height, shrub cover, and bryophyte diversity.
They also harbored many more ground bryophytes. The species
richness of pleurocarpousmosses and fans,mats, and turfs were
significantly higher in naturally regenerated forests. Frequency
difference analysis demonstrated that more bryophyte species
preferred ground habitats in naturally regenerated forests than
in plantations (116 vs. 48 species). The canonical correspondence
analysis indicated that stand structure attributes were
more important determinants of ground bryophyte diversity
and abundance.
& Conclusion Natural regeneration and reforestation resulted
in large differences in ground bryophyte populations. A larger
diversity was observed in the former case, and natural regeneration
practices can be an effective measure for the protection
of ground bryophyte diversity after clearcutting."
122,"Species richness and guild composition in rubber plantations compared to secondary forest on Hainan Island, China",Scientific article,Agroforest Syst,"Currently, the one of great threats to
tropical biodiversity is the conversion of natural
ecosystems to agriculture, and this threat is particularly
critical on Hainan, the largest tropical island in China
and a global biodiversity hotspot. Rubber (Hevea
brasiliensis) has been planted on Hainan since the
1950s, resulting in extensive replacement of native
forest, and the rate of this transformation has increased
with latex prices since the 1990s. Rubber plantations
now cover ca. 506,680 ha on Hainan and reach ca
1,000 m in elevation. To investigate the effect of this
land-use change, we compared avian communities
between a rubber plantation and a native secondary
semi-deciduous monsoon forest.Wefound that species
richness was higher in the native forest than in rubber,
and that community composition differed greatly
between the two habitats. No strict frugivores were
recorded in rubber and no granivores in semi-deciduous
monsoon forest. In both richness and abundance,
more nectarivores and fewer insectivores occurred in
rubber than in the native forest. Some common forest
species, as well as protected species, were found only
in native forest, including Hainan Partridge (Arborophila
ardens), Red Junglefowl (Gallus gallus), Emerald
Dove (Chalcophaps indica), Black-browed Barbet
(Megalaima oorti), Blue-rumped Pitta (Pitta soror),
Puff-throated Bulbul (Alophoixus pallidus), and Chestnut
Bulbul (Hemixos castanonotus). Although ten
babbler species were found in the native forest, only
two were in rubber. Among the species missing in
rubber was the endemic Hainan species Grey Laughingthrush
(Garrulax maesi). Its endangerment through
habitat conversion is of particular conservation concern."
123,Using soil and litter arthropods to assess the state of rainforest restoration,Scientific article,Ecological Management & Restoration,"The present study investigated recolonization patterns of selected soil and
litter arthropods following replanting of pasture with rainforest species in the Mary River
catchment of eastern subtropical Australia. While extensive research has been conducted
in rehabilitated mined sites in Australian dry sclerophyll forests, very little attention has
been paid to rainforest restoration on previously pastoral land. We examined the utility of
soil and litter arthropod groups for monitoring the progress of restoration, and the relationship
between arthropod assemblage patterns and environmental factors potentially
under the control of those doing the replanting. Leaf litter was extracted from 20 sites: five
remnant rainforest, five pasture, and 10 sites that had been revegetated (from 1 to 12 years
previously) with a diversity of indigenous species. Ants (identified to genus), centipedes,
millipedes, isopods, amphipods and mites were enumerated and their assemblages
described with multi- and univariate methods. Ant genera alone proved unable to distinguish
pasture from rainforest, and mites (identified only to oribatid or non-oribatid) proved
of limited use because these two groups were present in all samples in extremely high
numbers that overwhelmed the contributions of other arthropod groups. However, a coarse
taxonomic approach using five arthropod groups (ants, centipedes, millipedes, isopods,
amphipods) clearly discriminated between pasture and rainforest, and also arranged the
revegetated sites between these two extremes. Simple frequency scores based on the
presence/absence of these arthropod groups in each of three replicate subplots were sufficient
to achieve this separation of site types. Habitats created by close planting of trees
and mulching may accelerate invertebrate colonization and, thus, promote the rapid establishment
of processes and functions characteristic of developing rainforests."
124,A comparison of orang-utan density in a logged and unlogged forest on Sumatra,Scientific article,Biological Conservation,"Several studies have shown that there is a strong decline in orang-utan densities shortly after logging. Nevertheless, there is little
information on whether orang-utan densities return to their pre-logging values when logged forest is left to recover. This study
investigates the orang-utan density in a 22-year-old selectively logged forest and compares it with the orang-utan density in a nearby
ecologically similar primary forest. The results show that the orang-utan density did not differ significantly between primary forest
and the selectively logged forest. Since we found no difference in fruit availability between the selectively logged and primary forest,
we suggest that the selectively logged forest regenerated sufficiently well to sustain pre-logging levels of orang-utans. This study
confirms previous studies that suggest fruit availability is the best ecological predictor of orang-utan densities and found a positive
overall correlation between orang-utan density and fruit availability. The food attraction hypothesis, which explains local fluctuations
in orang-utan density as a result of variation in fruit availability, was not supported."
125,Species richness and community composition of songbirds in a tropical forest-agricultural landscape,Scientific article,Animal Conservation,"Management strategies that attempt tomitigate tropical biodiversity loss require detailed studies of biodiversity
in different land-uses. In this study the community structure and species richness of songbirdswas characterised
along with the vegetation structure, in three land-use types in and around a tropical forest reserve in Uganda
(intact, mature forest; regenerating secondary forest; smallholder agriculture). Each land-use type had 3035
count stations that were sampled twice by means of a 15-min recording session. In total, 118 bird species
were recorded from 192 station counts. Number of species/station was similar in intact and regenerating forest
and lower in smallholder agriculture. Songbird communities in intact forest were highly distinct from those in
smallholder agriculture and were composed of forest-dependent species. Communities in regenerating forest
were intermediate between intact forest and agriculture, although much closer to intact forest. Generalised
Linear Model (GLM) modelling revealed that tree density and distance to the nearest intact forest had strong
positive and non-linear effects on the community composition and forest species richness of songbirds.
Simulations using these models showed that agroforestry programmes would not raise tree densities to
levels that would shift agricultural songbird communities towards forest communities. Current and bestcase
agricultural practices are therefore unlikely to contribute to the conservation of the songbird component
of forest biodiversity in this area."
126,"Methods for conservation outside of formal reserve systems: The case of ants in the seasonally dry tropics of Veracruz, Mexico",Scientific article,Biological Conservation,"Like most ecosystems of the world, tropical dry forests of the central coast of the Gulf of Mexico are inadequately preserved.
Given that reserve expansion is unlikely, it is imperative that the conservation capacity of the matrix surrounding reserves is
enhanced. Here, we examine the habitat value of isolated pasture trees and patches of secondary regrowth in terms of their terrestrial and arboreal ant assemblages in both a wet and dry season. These simpliWed wooded systems increase species densities within the agricultural matrix and provide habitat for some forest ant species. Estimated species richness of arboreal ants was particularly low on isolated trees, highlighting an important limitation. This was not the case for terrestrial ants, which were particularly species rich under isolated trees. We also found that the inter-site variations in species densities and similarity to the forest ant assemblage for terrestrial and arboreal strata were not correlated, suggesting that responses to restoration may not be as uniform as often thought. This has important implications for the use of indicator taxa in suggesting the response of other taxa. In terms of species composition, neither secondary regrowth nor isolated trees were appropriate replacements for forest fragments, even though the studied forest fragments were small (1332 ha). The ant assemblages did not exhibit a seasonal change in composition. However, season inXuenced the contrast between habitats, with isolated trees being more distinct from pasture, and regrowth more closely resembling forests, during the wet season. Microclimatic variables indicate that the forests were least aVected by the tropical dry season, and this may contribute to their characteristic fauna. We conclude that even small forest patches make a unique contribution to landscape conservation and that, where reserves are limited, conscientious management of the landscape matrix may provide some species with suYcient new habitat to survive outside of reserve systems. These conclusions are inXuenced by both season and strata studied."
127,Spatiotemporal variation in the diversity of Hymenoptera across a tropical habitat gradient,Scientific article,Ecology,"Understanding global biodiversity patterns requires analyses at multiple spatial and temporal scales, across a variety of different habitat types. We used a highly
replicated study in coastal Ecuador to examine simultaneously for the first time spatial and
temporal species turnover and the contribution of five different habitat types (rice, pasture,
coffee agroforests, abandoned coffee agroforests, and native forest fragments) to regional
diversity in the tropics, using the experimental placement of standardized nesting structures
for bees and wasps. There was notable overlap in the communities of different habitat
types, indicating that even intensively managed land can provide a valuable contribution
to the overall biodiversity of the landscape mosaic. Importantly, there was a significant
effect of habitat type on temporal variation in diversity. While intensive cropping systems
such as rice and pasture exhibited higher diversity in certain months, greater species turnover
through time in the abandoned coffee and forest plots accounted for the higher overall
diversity in these habitats. Overall, spatial and temporal turnover explained 38.6% and
23.1%, respectively, of partitioned regional species richness. A quantitative analysis revealed that the relative habitat specificity of Hymenoptera decreased with increasing habitat
disturbance."
128,"The impacts of forest clearance on lizard, small mammal and bird communities in the arid spiny forest, southern Madagascar",Scientific article,Biological Conservation,"Madagascar is a global biodiversity hotspot threatened by forest loss, degradation and fragmentation,
all of which are detrimental to the future survival of forest-dwelling organisms.
For conservation purposes it is essential to determine howspecies respond to habitat disturbance,
specifically deforestation. In this study we investigated the impacts of deforestation
on three vertebrate communities, lizards, small mammals and birds, in an area of spiny forest
subjected to anthropogenic forest clearance. Spiny forest has high levels of endemism,
but conservation in this unique ecosystem is hindered by the lack of research.We undertook
standardised trapping, time-constrained and timed species searches to assess species richness,
species abundance and community composition of lizards, small mammals and birds
in six areas of forest and six cleared areas. From surveys and opportunistic sightings we
recorded a total of 70 species of birds, 14 species of mammals and 38 species of reptiles and
amphibians.We found forest clearing to have a negative effect on species richness and community
structure of all groups and identified loss of canopy cover as a driving factor behind
this. However, the response and sensitivity to clearing varied between groups and species.
Lizards (50%) and small mammals (40%) had the greatest decline in species richness in
response to clearing as compared to birds (26%), although birds showed the greatest shift
in community structure. The community in cleared areas contained more generalist and
introduced species that have wider geographic ranges and habitat preferences, than those
unique to the spiny forest.We found the first suite of species to suffer from forest clearance
were those of high conservation priority due to their restricted geographic range. Our findings
are discussed in relation to future spiny forest conservation and management."
129,"Beetle (Coleoptera) and spider (Araneae) diversity in a mosaic of farmland, edge, and tropical forest habitats in western Costa Rica",Scientific article,Pan-Pacific Entomologist,"A central focus in applied entomology is the role that habitat diversity plays in the
creation and maintenance of arthropod diversity. Researchers are increasingly exploring the
possibility that degraded landscapes such as mixed-used agricultural areas and rainforest
fragments might be used to supplement conservation strategies aimed at increasing arthropod
biodiversity. Here we present the results of a comparative biodiversity field study in the
Puriscal region on the Pacific slope of Costa Rica in a rural community characterized by
a mixture of secondary forest and farmland. The study compares beetle and spider diversity
among farmland, nearby tropical forest fragments, and weedy edge habitats. Diversity of
families of Coleoptera and Araneae pitfall catches were compared in each of these three
habitats, and quantitative similarity indices across habitats were calculated for the collected
specimens. Diversity among the three habitats was similar for beetles, but spiders were more
diverse in forest fragments than in edge habitats. Furthermore, composition of beetle families
was markedly different across all three habitats; spider families were similar only between
forest fragment and edge habitats. We discuss the implications of these findings, and suggest
further studies needed to address mechanisms underlying these patterns."
130,Disturbance effects on diversity of epiphytes and moths in a montane forest in Ecuador,Scientific article,Basic and Applied Ecology,"We sampled the diversity of epiphytes (lichens, bryophytes, vascular plants) and moths (Geometridae, Arctiidae) in
mature and recovering forest and in open vegetation in the montane belt in Ecuador. No uniform pattern of change in
species richness was detected among the different taxonomic groups with increasing disturbance. Species richness of
epiphytic bryophytes and vascular plants declined significantly from mature forest towards open vegetation. In
contrast, species richness of epiphytic lichens did not change with increasing forest alteration, while that of geometrid
moths was significantly higher in recovering forest compared with mature forest and open habitats. Arctiidae were
significantly more species-rich in recovering forest and open vegetation than mature forest. Hence, for some organisms,
modified habitats may play an important role for biodiversity conservation in the Andes, whereas others suffer from
habitat disturbance. However, trends of changes in species composition following deforestation were surprisingly
concordant across most studied epiphyte and moth taxa."
131,"Mammal persistence and abundance in tropical rainforest remnants in the southern Western Ghats, India",Scientific article,Current Science,"Occurrence and abundance of mammals were compared
in five large protected rainforest patches inside
the Indira Gandhi Wildlife Sanctuary and in four
smaller, unprotected rainforest fragments in a plantation
matrix in the Anamalai hills, southern Western
Ghats using line transect distance sampling. Among
the 28 mammal species found in contiguous protected
rainforests, 24 persisted in unprotected fragments.
For most species, population densities were similar between
the two strata. Density of arboreal mammal species
showed varying habitat correlates across the sites
sampled; Indian giant squirrel density was negatively
correlated to canopy overlap, lion-tailed macaque
density negatively and Nilgiri langur positively to
rainforest tree density respectively. Persistence of most
mammals on private lands in a fragmented landscape
may be attributed to proximity to the surrounding
large tract of reserved forest areas as well as recent
conservation efforts, including reduction of hunting
and protection of fragments. Comparison with past estimates
suggests that arboreal mammals have persisted
and increased in abundance over the last decade, particularly
in private fragments, possibly due to multiple
factors, including the ability of the species to use matrix
habitats, low hunting pressure, lack of predators and
higher food availability."
132,"Oil palm expansion into rain forest greatly reduces ant biodiversity in canopy, epiphytes and leaf-litter",Scientific article,Basic and Applied Biology,"Oil palm cultivation is expanding rapidly into many of the worlds most biodiverse tropical regions.One of the most function-
ally important and ecologically dominant animal groups in these environments is the ants. Here, we quantify the overall impacts
of clear-felling lowland dipterocarp rainforest and conversion into oil palm plantation on ant diversity. At study sites in Sabah,
Malaysia we collected ants from three microhabitats: 1the canopy, 2birds nest ferns (Asplenium nidus complex, a common
epiphyte in forest and oil palm), and 3leaf litter. We also measured temperature, humidity and light at collection sites to assess
their impacts on ant community composition. Total ant species richness decreased from 309 to 110 (64%) between forest and
oil palm plantation. However, this impact was not the same across all microhabitats, with birds nest ferns maintaining almost
the same number of ant species in oil palm compared to forest (forest-oil palm, ferns: 3635(3% loss), canopy: 12058(52%
loss), leaf litter: 21656(74% loss)). Relative abundance distributions remained the same for fern-dwelling ants, but became
less even for oil palm ants in both the canopy and the leaf litter. These differences may be due in part to the ability of birds nest
ferns to provide a stable microclimate in hot, dry plantations. We also found that non-native ant species were more abundant
in oil palm than in forest, and few forest ant species survived in plantations in any of the microhabitats. Only 59 of the 309
forest species persisted in oil palm plantations, corresponding to an 81% loss of forest species resulting from habitat conversion.
Although oil palm supports many more ant species than has been previously reported, converting forest into plantation still
leads to a dramatic reduction in species richness. The maintenance of forested areas is therefore vital for the conservation of
ant biodiversity."
