,Author,Title,Abstract,Journal,,,,,,,
576,"Williams, Clayton J. and Boyer, Joseph N. and Jochem, Frank J.","Microbial activity and carbon, nitrogen, and phosphorus content in a subtropical seagrass estuary (Florida Bay): Evidence for limited bacterial use of seagrass production","Bacterial abundance, production, and extracellular enzyme activity were determined in the shallow water column, in the epiphytic community of Thalassia testudinum, and at the sediment surface along with total carbon, nitrogen, and phosphorus in Florida Bay, a subtropical seagrass estuary. Data were statistically reduced by principle components analysis (PCA) and multidimensional scaling and related to T. testudinum leaf total phosphorus content and phytoplankton biomass. Each zone (i.e., pelagic, epiphytic, and surface sediment community) was significantly dissimilar to each other (Global R = 0.65). Pelagic aminopeptidase and sum of carbon hydrolytic enzyme (esterase, peptidase, and $\alpha$- and $\beta$-glucosidase) activities ranged from 8 to 284 mg N m-2 day-1 and 113-1,671 mg C m-2 day -1, respectively, and were 1-3 orders of magnitude higher than epiphytic and sediment surface activities. Due to the phosphorus-limited nature of Florida Bay, alkaline phosphatase activity was similar between pelagic (51-710 mg P m-2 day-1) and sediment (77-224 mg P m -2 day-1) zones but lower in the epiphytes (1.1-5.2 mg P m-2 day-1). Total (and/or organic) C (111-311 g C m -2), N (9.4-27.2 g N m-2), and P (212-1,623 mg P m -2) content were the highest in the sediment surface and typically the lowest in the seagrass epiphytes, ranging from 0.6 to 8.7 g C m -2, 0.02-0.99 g N m-2, and 0.5-43.5 mg P m-2. Unlike nutrient content and enzyme activities, bacterial production was highest in the epiphytes (8.0-235.1 mg C m-2 day-1) and sediment surface (11.5-233.2 mg C m-2 day-1) and low in the water column (1.6-85.6 mg C m-2 day-1). At an assumed 50\% bacterial growth efficiency, for example, extracellular enzyme hydrolysis could supply 1.8 and 69\% of epiphytic and sediment bacteria carbon demand, respectively, while pelagic bacteria could fulfill their carbon demand completely by enzyme-hydrolyzable organic matter. Similarly, previously measured T. testudinum extracellular photosynthetic carbon exudation rates could not satisfy epiphytic and sediment surface bacterial carbon demand, suggesting that epiphytic algae and microphytobenthos might provide usable substrates to support high benthic bacterial production rates. PCA revealed that T. testudinum nutrient content was related positively to epiphytic nutrient content and carbon hydrolase activity in the sediment, but unrelated to pelagic variables. Phytoplankton biomass correlated positively with all pelagic components and sediment aminopeptidase activity but negatively with epiphytic alkaline phosphatase activity. In conclusion, seagrass production and nutrient content was unrelated to pelagic bacteria activity, but did influence extracellular enzyme hydrolysis at the sediment surface and in the epiphytes. This study suggests that seagrass-derived organic matter is of secondary importance in Florida Bay and that bacteria rely primarily on algal/cyanobacteria production. Pelagic bacteria seem coupled to phytoplankton, while the benthic community appears supported by epiphytic and/or microphytobenthos production. © 2008 Springer-Verlag.",Marine Biology,,,,,,,
577,"Bradshaw, Corey J A and Fitzpatrick, Ben M and Steinberg, Craig C and Brook, Barry W and Meekan, Mark G",Decline in whale shark size and abundance at Ningaloo Reef over the past decade: The world's largest fish is getting smaller,,Biological Conservation,,,,,,,
578,"Corser, Jeffrey D",Decline of disjunct green salamander (Aneides aeneus) populations in the southern Appalachians,,Biological Conservation,,,,,,,
579,"de Lafontaine, Y. and Lagac\'{e}, M. and Gingras, F. and Labont\'{e}, D. and Marchand, F. and Lacroix, Edith",Decline of the American Eel in the St . Lawrence River : Effects of Local Hydroclimatic Conditions on CPUE Indices,,American Fisheries Society Symposium,,,,,,,
580,"Whistling-duck, West Indian and Vulture, White-rumped and Albatross, Wandering",Declines can be quick and catastrophic,,,,,,,,,
581,"Cordes, I.","Decrease of african penguins at the possession island group, 1956-1995: Contrasting trends for colonial and solitary breeders","Between 1956 and 1995, the African Penguin Spheniscus demersus population at Possession Island decreased by 96\% from 23 245 breeding pairs to 895 pairs. At adjacent North Reef, African Penguins ceased breeding before December 1988. In 1956, 850 pairs bred there. At Possession Island, 22 441 pairs of penguins bred colonially in 1956, but there were only 360 pairs in colonies in 1995 - a decrease of 98\%. By contrast, there were 804 solitary breeding pairs in 1956 and 535 in 1995 - a decrease of 33\%. All colonies at the southern portion of Possession Island and that at North Reef were abandoned by 1986. In the central and northern portions of Possession Island colonial breeding still persists, but as numbers have decreased colonies have fragmented. Minimal recruitment to the breeding population, probably resulting from food scarcity, is considered the most likely reason for the long-term decrease in penguin numbers. When penguins were abundant, there were insufficient suitable sites for solitary breeding and most birds bred in large colonies. Sites used by solitary breeders provide shade and restrict access by predators. Colonial breeding may have facilitated sharing information on the distribution of, and group foraging on, Sardine Sardinops sagax, the main food of penguins off Namibia in the 1950s.",Marine Ornithology,,,,,,,
582,"Armitage, K B and Downhower, J F",Demography of Yellow-Bellied Marmont Populations,"Marmot (Marmota flaviventris) populations are colonial or satellite. The number of adults of colonial populations is relatively stable; fluctuations occur primarily because of changes in numbers of young and yearlings. Population trends among five colonial populations are dissimilar. Satellite populations are unstable and reproduce at a lower rate than do colonial populations. Satellite marmots are shorter resident than colonial marmots. Both colonial and satellite females usually are longer resident than males. All adult colonial males and 41 \% of adult colonial females are recruited from other places; all satellite adults are recruited from other places. Losses of colonial marmots are attributed primarily to mortality during hibernation and emigration. Predation appears to be a minor source of mortality of colonial marmots, but may be of greater significance to satellite populations. Demographic relationships of individual colonies appear to be density-independent. Dispersal of colonial animals occurs primarily among yearlings, which have a higher expectation of reaching sexual maturity than young have. The major cause of dispersal is social pressure, but social stress is not simply density-dependent. The colonial social organization is more adaptive than the more nearly solitary (= satellite).",Ecology,,,,,,,
583,"Bretagnolle, V and Mougeot, F and Thibault, J C",Density dependence in a recovering osprey population: demographic and behavioural processes,,Journal of Animal Ecology,,,,,,,
584,"Bonacic, C and Macdonald, D W and Galaz, J and Sibly, R M",Density dependence in the camelid Vicugna vicugna: the recovery of a protected population in Chile,,Oryx,,,,,,,
585,"Armstrong, Doug P and Davidson, R Scott and Perrott, John K and Roygard, Jon and Buchanan, Len",Density-dependent population growth in a reintroduced population of North Island saddlebacks,"1. Reintroductions provide a good opportunity to study density-dependent population growth, as populations can be studied at a range of densities and the change in density is not confounded with environmental conditions. An understanding of density dependence is also necessary to predict dynamics of reintroduced populations under different management regimens, and assess the extent to which they can be harvested for further reintroductions. 2. We monitored a North Island saddleback (Philesturnus rufusater) population for 6 years after reintroduction to Mokoia, a 135 ha island in New Zealand that was made suitable for saddlebacks by eradicating introduced Norway rats (Rattus norvegicus). We modelled adult and juvenile survival using Program MARK, and modelled numbers of young fledged per pair using Proc Mixed in SAS with individual female as a random factor. 3. Juvenile survival clearly declined as the population increased, and the decline was closely correlated with the number of breeding pairs. Reproduction also showed a clear decline that was explained by two factors: a difference in quality between territories occupied immediately after reintroduction and those occupied later, and an overall decline as the number of pairs increased. Reproduction was also strongly affected by age, and this needed to be accounted for when modelling density dependence. 4. A stochastic simulation model incorporating these dynamics closely predicted the observed population growth. The equilibrium population size was insensitive to density dependence in reproduction, but highly sensitive to density dependence in juvenile survival. 5. The model is being used to plan management strategies for potential reintroductions of saddlebacks to mainland areas with predator control. The species is currently confined to predator-free islands and one fenced mainland sanctuary.",Journal of Animal Ecology,,,,,,,
586,"Ekroos, J and Fox, A D and Christensen, T K and Petersen, I K and Kilpi, M and J\'{o}nsson, J E and Green, M and Laursen, K and Cervencl, A and de Boer, P and Nilsson, L and Meissner, W and Garthe, S and \""{O}st, M",Declines amongst breeding Eider Somateria mollissima numbers in the Baltic/Wadden Sea flyway,"We report on the status of theBaltic/Wadden Sea flyway Eider population based on trends in breeding and wintering numbers throughout the region, supplemented by changes in the sex ratio and proportion of young Eiders as monitored in the Danish hunting bag. At the flyway scale, total numbers of breeding pairs decreased by 48\% during 2000--2000, after relatively stable breeding numbers in 1991--1991. The majority of the population nest in Finland and Sweden,where the number of breeding pairs has halved over the same period. After initial declines in winter numbers between 1991 and 2000, during 2000--2000, national wintering numbers increased in the Baltic Sea, but decreased in the Wadden Sea. The annual proportion of adult females in the Danish hunting bag data decreased from ca.45\%(1982) to ca.25\%(2009) and simultaneously the proportion of firstwinter birds fell from ca. 70\% to ca. 30\%, indicating dramatic structural changes in the Danish wintering numbers. These results suggest that the total flyway populationwill experience further declines, unless productivity increases and the factors responsible for decreasing adult female survival are identified and ameliorated.We discuss potential population drivers and present some recommendations for improved flyway-levelmonitoring and management of Eiders.",Ornis Fennica,,,,,,,
587,"Morete, Maria E and Bisi, Tatiana L and {Pace Richard M.}, I I I and Rosso, Sergio",Fluctuating abundance of humpback whales (Megaptera novaeangliae) in a calving ground off coastal Brazil,"The humpback whale (Megaptera novaeangliae) population that uses Abrolhos Bank, off the east coast of Brazil as a breeding ground is increasing. To describe temporal changes in the relative abundance of humpback whales around Abrolhos, seven years (1998--1998) of whale count data were collected during July through to November. During one-hour-scans, observers determined group size within 9.3 km (5 n.m.) of a land-based observing station. A total Of 930 scans, comprising 7996 sightings of adults and 2044 calves were analysed using generalized linear models that included variables for time of day, day of the season, years and two-way interactions as possible predictors. The pattern observed was the gradual build-up and decline in whale counts within seasons. Patterns and peaks of adult and calf counts varied among years. Although fluctuation was observed, there was generally an increasing trend in adult counts among years. Calf counts increased only in 2004. These fluctuations may have been caused by some environmental conditions in humpback whales' summering grounds and also by changes in spatial-temporal concentrations in Abrolhos Bank. The general pattern observed within the study area mirrored what was observed in the whole Abrolhos Bank. Knowledge of the consistency with which humpback whales use this important nursing area should prove beneficial for designing future monitoring programmes especially related to whale watching activities around Abrolhos Archipelago.",Journal of the Marine Biological Association of the United Kingdom,,,,,,,
588,"Robinson, K P and Eisfeld, S M and Costa, M and Simmonds, M P","Short-beaked common dolphin (Delphinus delphis) occurrence in the Moray Firth, north-east Scotland",,Marine Biodiversity Records,,,,,,,
589,ICCAT,Report of the 2014 ICCAT Mediterranean Swordfish stock assessment meeting,,,,,,,,,
590,"Carrete, Martina and Don\'{a}zar, Jos\'{e} a. and Margalida, Antoni",Density-dependent productivity depression in Pyrenean Bearded Vultures: Implications for conservation,"The main objective of many conservation programs is to increase population size by improving a species' survival and reproduction. However, density dependence of demographic parameters may confound this approach. In this study we used a 25-year data set on Bearded Vultures (Gypaetus barbatus) in Spain to evaluate the consequences of population growth on reproductive performance. Unlike its coefficient of variation (cv), mean annual productivity decreased with increasing population size. After controlling for territorial heterogeneity, productivity also was negatively related to the distance to the nearest conspecific breeding pair and to supplementary feeding points where floaters congregate. These results suggest that vulture populations are regulated as posited by the site-dependency hypothesis: as the population increases, average productivity decreases because progressively poorer territories are used. The combined effects of the shrinkage of territories and the presence of floaters around supplementary feeding points seem to be the main causes of productivity decline and are therefore the main determinants of territory quality. This has conservation implications, especially concerning the role of supplementary feeding points. Supplementary feeding should be reviewed given that its usefulness in reducing preadult mortality has not yet been proved and its effect on productivity, as our results suggest, is negative.",Ecological Applications,,,,,,,
591,"Brice\~{n}o, Crist\'{o}bal and Knapp, Leslie a and Silva, Alejandra and Paredes, Jos\'{e} and Avenda\~{n}o, Iv\'{a}n and Vargas, Aliro and Sotomayor, Juan and Vila, Alejandro R","Detecting an increase in an Endangered huemul Hippocamelus bisulcus population following removal of cattle and cessation of poaching in coastal Patagonia, Chile","The conservation of threatened species poses many challenges but through cooperation and pooling of resources, individuals and organizations can work together to achieve better results. Here we describe our experience, working through a governmental and private alliance, study- ing one of the most threatened mammals in the Southern Cone. The huemul deer Hippocamelus bisulcus, one of two members of the Hippocamelus genus of South America, is endemic to Argentina and Chile and currently inhabits only a small fraction of its former range. Little is known about the huemul because it generally lives in remote areas with a harsh climate and rugged terrain. Using drive counts and fixed width transects over 5 consecutive years (2004–2008) we estimated density and abundance, and examined popu- lation changes and social structure, in three coastal huemul populations in the area of the T\'{e}mpanos and Bernardo fjords of Bernardo O’Higgins National Park, Chile. Our results suggest that synergistic conservation actions, such as cattle removal and poaching control, can lead to the recovery of threatened huemul. The baseline information obtained from our surveys and the lessons learned through this governmental and private alliance will be useful for future monitoring of the huemul in the Patagonian fjords of Chile.",Oryx,,,,,,,
592,"Berven, K and Grudzien, T",Dispersal in the wood frog (Rana sylvatica): implications for genetic population structure,,Evolution,,,,,,,
593,"Barbieri, Edison and Pinna, Fernanda Voietta",Distribui????o da Batu??ra-de-coleira (Charadrius collaris) durante o per??odo de 1999 a 2001 na praia da Ilha Comprida,"A Batu\'{\i}ra-de-Coleira (Charadrius collaris) \'{e} uma ave residente e presente durante todo o ano no munic\'{\i}pio de Ilha Comprida. Este trabalho analisa sua abund\^{a}ncia e a varia\c{c}\~{a}o temporal durante os anos de 1999, 2000 e 2001. As contagens num\'{e}ricas ao longo de uma transec\c{c}\~{a}o foram realizadas de janeiro de 1999 a dezembro de 2001, com sa\'{\i}das semanais, somando um total de 141 amostras. O percurso trafegado foi do Boqueir\~{a}o Sul em dire\c{c}\~{a}o ao norte at\'{e} o canal de Icapara. As aves foram contadas utilizando um ve\'{\i}culo movendo-se com velocidade m\'{e}dia de 40 km/h durante a mar\'{e} baixa. Os censos iniciaram no per\'{\i}odo da manh\~{a}, entre 08:00 h a 11:30 h, com dura\c{c}\~{a}o m\'{\i}nima de cada sa\'{\i}da de 2 h 30 min e m\'{a}xima de 4 h de observa\c{c}\~{a}o (total: 610 h; m\'{e}dia de 2 h 30 min / visita). Totalizou-se 141 amostras semanais durante o per\'{\i}odo estudado. Os resultados indicaram que Charadrius collaris \'{e} uma esp\'{e}cie da ocorr\^{e}ncia comum na praia da Ilha Comprida. A esp\'{e}cie foi abundante no inverno, com m\'{e}dia de 110 indiv\'{\i}duos em julho (1999). Durante a primavera e o come\c{c}o do ver\~{a}o o n\'{u}mero desta esp\'{e}cie na \'{a}rea diminuiu. No fim de setembro e no come\c{c}o de abril houve uma diminui\c{c}\~{a}o no n\'{u}mero dos indiv\'{\i}duos, coincidindo com o per\'{\i}odo da chegada das aves migrantes do hemisf\'{e}rio do norte e com a \'{e}poca de reprodu\c{c}\~{a}o da esp\'{e}cie estudada. ",Revista Brasileira de Ornitologia,,,,,,,
594,"Cotter, Richard C. and Hines, James E.","Distribution and abundance of breeding and moulting Brant on Banks Island, Northwest Territories, 1992-1994",,Occasional Paper of the Canadian Wildlife Service,,,,,,,
595,"Calambokidis, J and Steiger, G H and Ellifrit, D K and Troutman, B L and Bowlby, C E",Distribution and abundance of humpback whales (Megaptera novaengliae) and other marine mammals off the northern Washington coast,,Fish. Bull.,,,,,,,
596,"Dann, Peter and Arnould, J. P Y and Jessop, Ros and Healy, Marg","Distribution and abundance of seabirds in Western Port, Victoria","The distribution, abundance and biomass of seabirds in Western Port, Victoria, were surveyed between April 1991 and August 1994. Individuals were counted along an 81-km series of transects from a boat at approximately monthly intervals. A total of 25 seabird taxa were recorded, of which 18 and 15 were common to those recorded by an earlier study in Port Phillip Bay and waters south of Phillip Island, respectively. The most numerous species by far was the Short-tailed Shearwater (Puffinus tenuirostris) followed by the Silver Gull (Larus novaehollandiae), Little Penguin ( Eudyptula minor) and Crested Tern ( Sterna bergii). Distribution within Western Port was not uniform, with pursuit divers such as cormorant and grebe species being recorded mostly in the shallow Eastern Arm. In contrast, surface-seizing (e.g. albatrosses), surface-plunging (e.g. Crested Terns), shallow-plunging ( Australasian Gannet, Morus serrator) and pursuit-plunging (e.g. shearwaters) species predominated in the deeper Western Arm of Western Port. These species were also seasonally abundant, with peak numbers for most occurring in late summer - early autumn, which coincides with the reported influx of juvenile clupeoid fish into Western Port. Average biomass ( 686 +/- 395 kg) comprised mostly Short-tailed Shearwaters, Little Penguins and Pied Cormorants ( Phalacrocorax varius). Biomass density (8.5 kg km(-2)) was similar to that reported for Port Phillip Bay (8.1 kg km(-2)) but lower than off the southern coast of Phillip Island (9.9 kg km(-2)).",Emu,,,,,,,
597,"Cremer, Marta J. and Hardt, Fernando a S and Tonello, Antonio J. and Sim\~{o}es-Lopes, Paulo Cesar","Distribution and status of the Guiana dolphin Sotalia guianensis (Cetacea, Delphinidae) population in Babitonga Bay, Southern Brazil","Marta J. Cremer, Fernando A.S. Hardt, Antonio J. Tonello Jr, and Paulo Cesar Simoes-Lopes (2011) Distribution and status of the Guiana dolphin Sotalia guianensis (Cetacea, Delphinidae) population in Babitonga Bay, southern Brazil. Zoological Studies 50(3): 327-337. The Guiana dolphin Sotalia guianensis is one of the most endangered small cetaceans in the southern Atlantic Ocean. The population abundance and density of this species were estimated in Babitonga Bay in 2000-2003. Sampling was random and stratified, and a line transect method with distance sampling was applied in an area of 160 km(2). The total length of transects covered was 1251.9 km, with 163 groups of dolphins recorded. Group sizes varied 2-30 (mean, 5.3; SD, 5.6) individuals. Some areas were preferred by the population, and area 3 was considered the core area of S. guianensis in Babitonga Bay. The abundance was estimated to be 245 (95\% confidence interval (CI): 142-422) individuals between Dec. 2000 and Nov. 2001, 186 (95\% CI: 93-374) individuals between Apr. 2002 and Feb. 2003, and 179 (95\% CI: 93-344) individuals between Mar. and Dec. 2003, and the densities were estimated at 1.6 (95\% CI: 1-2.7), 1.2 (95\% CI: 0.6-2.4), and 1.3 (95\% CI: 0.5-3.4) individuals/km(2), respectively. The highest density was recorded in the central area of the bay. http://zoolstud.sinica.edu.tw/Journals/50.3/327.pdf",Zoological Studies,,,,,,,
598,"Hussain, Syed Ainul and Choudhury, Binod Chandra","Distribution and status of the smooth-coated otter Lutra perspicillata in National Chambal Sanctuary, India","The distribution and relative density of smooth-coated otters Lutra perspicillata Geoffroy were studied along a 425 km stretch of Chambal river within the National Chambal Sanctuary, Central India, between 1988 and 1992. Sample sites of 1 km were surveyed every 5 km. The study revealed that the distribution of otters along the river is patchy and largely restricted to the upper reaches. During the 1988 survey, 36\% of sites were found with otter signs but only 24\% in 1992. Recent increases in disturbance along the river due to construction of road bridges and mining activities might have put pressure on the population. Most of the positive sites (66\%) were found on rocky banks, followed by clay banks (19\%), banks with shoreline vegetation and marsh (11\%) and sandy banks (3\%). During intensive monitoring of four radio-implanted otters, c. 78\% locations were made on rocky banks. 19\% on banks with shoreline vegetation and marsh, with <3\% on sandy banks and <1\% on clay banks, indicating greater preference for rocky banks owing to the greater availability of den sites. As a conservation measure, monitoring of the otter population should be done regularly and restrictions on cultivation, grazing and mining along the banks should be imposed within the Sanctuary limits, especially in the identified stretches.",Biological Conservation,,,,,,,
599,"Aldridge, Cameron L. and {Mark Brigham}, R.","Distribution, Abundance, and Status of the Greater Sage-Grouse, Centrocercus urophasianus, in Canada","We reviewed the historic and present distribution of Greater Sage-Grouse (Centrocercus urophasianus) in Canada and found that the species has been eliminated from approximately 90\% of its estimated historic distribution. Sage-grouse have been extirpated from British Columbia and reduced to remnant populations in Alberta and Saskatchewan. Estimates of the size of the population decline in Canada range from 66 to 92\% over the last 30 years based on currently occupied habitat. As a result, sage grouse have been listed as Endangered in both Alberta and Saskatchewan by provincial governments and federally in Canada by COSEWIC. Intensive surveys from 1994 to 1999 in both provinces suggest that the 1999 spring breeding population had declined to between 813 and 1204 individuals. The number of active lek sites has continued to decline, suggesting that some habitats have become unsuitable to support viable sage-grouse populations. Number of yearling males recruiting to leks each spring has been low, suggesting that production and overwinter survival of young are the major problems related to the decline. Low chick survival rate, with only 18\% surviving to 50 days of age, is the most likely parameter contributing to the population decline. These declines could be related to one or any combination of habitat changes, livestock grazing pressure, oil and gas developments, or climate change, all of which could lead to increased predation rates and decreased survival. It is questionable if the present population of sage-grouse in Canada is large enough to remain viable.",Canadian Field-Naturalist,,,,,,,
600,"Bocher, P and Quaintenne, G and Delaporte, P and Goulevant, C and Deceuninck, B and Caillot, E","Distribution, phenology and long term trends of Red Knots Calidris canutus in France",,Wader Study Group Bulletin,,,,,,,
601,"Fowler, A J and McGlennon, D","Variation in productivity of a key snapper, Chrysophrys auratus, fishery related to recruitment and fleet dynamics","Temporal variation in production of the Chrysophrys auratus (Forster) fishery of Northern Spencer Gulf, South Australia, between 1984 and 2009 was investigated using commercial fishery statistics and estimates of age and size structures from market sampling. Fishery production was divisible into two periods, i.e. from 1984 to early 2000s and the middle to late 2000s. During the former, cycles in production were relatable to variable fishable biomass. Age structures that displayed considerable differences in age class strength reflected interannual variation in juvenile recruitment, which resulted in high variability in the strength of year classes entering the fishery. Periodic strong year classes were the major influence on fishable biomass as they passed through the population over numerous years. For the latter period, fishery statistics were conflicting as catches and effort were relatively low, whilst the estimates of catch per unit effort (CPUE) were consistently high. These statistics reflect a considerable change to the structure of the fishery that involved a reduction in number of fishers and fishing effort. The fishery statistics may indicate hyperstability, with CPUE estimates remaining high despite declining biomass because of the aggregative behaviour of the fish and the efficiency of remaining fishers.",Fisheries Management and Ecology,,,,,,,
602,"Carlucci, R and Capezzuto, F and Maiorano, P and Sion, F and D'Onghio, G","Distribution, population structure and dynamics of the black anglerfish (Lophius budegassa) (Spinola, 1987) in the eastern Mediterranean Sea",,Fisheries Research,,,,,,,
603,"Barreiros, J B and Bertoncini, A and Machado, L and Hostim-Silva, M and {Serr\~{a}o Santos}, R","Diversity and Seasonal Changes in the Ichthyofauna of Rocky Tidal Pools from Praia Vermelha and S\{\~{a}\}o Roque, Santa Catarina",,Brazilian Archives of Biology and Technology,,,,,,,
604,"Freeman, A N D and Pias, K and Vinson, M F",The impact of Tropical Cyclone Larry on bird communities in fragments of the endangered rainforest Type 5b,,Austral Ecology,,,,,,,
605,"Magris, L and Gurnell, J","Population ecology of the red squirrel (Sciurus vulgaris) in a fragmented woodland ecosystem on the Island of Jersey, Channel Islands",,Journal of Zoology,,,,,,,
606,"Liberatori, Fabio and Penteriani, Vincenzo","A long-term analysis of the declining population of the Egyptian vulture in the Italian peninsula: distribution, habitat preference, productivity and conservation implications",,Biological Conservation,,,,,,,
607,"Krebs, C J and Kenney, A J and Gilbert, S and Danell, K and Angerbj\""{o}rn, A and Erlinge, S and Bromley, R G and Chank, C and Carriere, S",Synchrony in lemming and vole populations in the Canadian Arctic,,Canadian Journal of Zoology,,,,,,,
608,,Does Fencing Reduce the Carrying Capacity for Populations of Large Herbivores ? Author ( s ): R . Ben-Shahar Published by : Cambridge University Press Stable URL : http://www.jstor.org/stable/2559298,,,,,,,,,
609,"Bearzi, Giovanni and Agazzi, Stefano and Bonizzoni, Silvia and Costa, Marina and Azzellino, Arianna","Dolphins in a bottle: abundance, residency patterns and conservation of bottlenose dolphins Tursiops truncatus in the semi-closed eutrophic Amvrakikos Gulf, Greece",,Aquatic Conservation: Marine and Freshwater Ecosystems,,,,,,,
610,"World, The and Union, Conservation",Dugongs in the Great Barrier Reef,,,,,,,,,
611,"Armstrong, D P and Ewen, J G",Dynamics and Viability of a \{New Zealand\} Robin Population Reintroduced to Regenerating Fragmented Habitat,,Conservation Biology,,,,,,,
612,"Maggs, J Q and Mann, B Q and Cowley, P D",Contribution of a large no-take zone to the management of vulnerable reef fishes in the South-West Indian Ocean,,Fisheries Research,,,,,,,
613,"Mandujano, Salvador",Carrying Capacity and Potential Production of Ungulates for Human Use in a Mexican Tropical Dry Forest,,Biotropica.,,,,,,,
614,"Lushchekina, A A and Dulamtseren, S and Amgalan, L and Neronov, V M",The status and prospects for conservation of the mongolian saiga Saiga tatarica mongolica.,,Oryx,,,,,,,
615,"Angerbj\""{o}rn, Anders and Tannerfeldt, Magnus and Bj\""{a}rvall, Anders and Ericson, Mats and From, Jan and Nor\'{e}n, Erik",Dynamics of the arctic fox popultation in Sweden,"The patterns and mechanisms of these fluctuations in Arctic fox Alopex lagopus numbers through den inventories during 20 yr (1974-1993). Time series analyses confirmed a four-year cyclicity in both arctic fox numbers and litter size. However, the different geographical regions were not in synchrony. The fox population in the southern parts of the distribution range has shown regular peaks during the whole period, whereas those in the northern and middle parts of Sweden have declined since 1982. In the northernmost county also litter sizes have decreased. These differences coincided with an absence of vole and lemming (Microtinae and Arvicolinae) peaks in the north. Experimental feeding confirmed that food availability had direct impact on breeding success and litter size. It is concluded that the total number of Arctic foxes in Sweden in 1994 is as low as 40-80 animals.",Annales Zoologici Fennici,,,,,,,
616,"Borgo, a. and Vettorazzo, E. and Martino, N.",Dynamics of the colonization process in reintroduced populations of the Alpine marmot,,Ethology Ecology \& Evolution,,,,,,,
617,"Ciociaro, Gruppo Ornitologico and Romana, Stazione",E c p v,,,,,,,,,
618,"Clutton-Brock, T and Price, O.F. and Albon, S.D and Jewell, P.a.",Early development and population fluctuations in Soay sheep,,Journal of Animal Ecology,,,,,,,
619,"Heritage, Cultural and Involved, Be and Tasmania, In and News, Our Latest and Map, View Distribution",Eastern barred bandicoot,,,,,,,,,
620,"Forsman, D",Eastern Imperial Eagle plumages,,Alula,,,,,,,
621,"Agostinho, A A and Suzuki, H I and Fugi, R and Alves, D C and Tonella, L H and Espindola, L A",Ecological and life history traits of Hemiodus orthonops in the invasion process: looking for clues at home,,Hydrobiologia,,,,,,,
622,"Adams, J A and Hill, Jessica E and Kurth, Benjamin N and Barbour, Andrew B","Effects of a severe cold event on the subtropical, estuarine-dependent common snook, Centropomus undecimalis",,Gulf and Caribbean Research,,,,,,,
623,"Chui, Ming-Chin and Kuo, Mei-Hwa and Sun, Yuan-Hsun and Hong, Shiao-Yu and Kuo, Hih-Chuan",Effects of flooding on avian top-predators and their invertebrate prey in a monsoonal Taiwan stream,,Freshwater Biology,,,,,,,
624,"Davoren, Gail K",Effects of gill-net fishing on marine birds in a biological hotspot in the Northwest Atlantic,,Conservation Biology,,,,,,,
625,"Thompson, Ian D and Colgan, Patrick W",Prey choice by marten during a decline in prey abundance,,Oecologia,,,,,,,
626,"Trencia, G and Verreault, G and Georges, S and Pettigrew, P","Atlantic sturgeon (Acipenser oxyrinchus oxyrinchus) fishery management in Qu\'{e}bec, Canada, between 1994 and 2000",,Journal of Applied Icthyology,,,,,,,
627,"Trexler, J C and Goss, C W",Aquatic fauna as indicators for Everglades restoration: applying dynamic targets in assessments,,Ecological Indicators,,,,,,,
628,"Nakagawa, M and Miguchi, H and Sato, K and Nakashizuka, T","A preliminary study of two sympatric Maxomys rats in Sarawak, Malaysia: spacing patterns and population dynamics",,The Raffles Bulletin of Zoology,,,,,,,
