,Abstract,Journal,Title
53,the beneficial roles of insects in facilitating pollination of many cultivated and uncultivated plants and as natural enemies of pest species cannot be overemphasized this study was carried out to ascertain the impact of habitat fragmentation and loss on the composition and diversity of the insect populations within the premises of the university of port harcourt nigeria four fragmented sites the biodiversity conservation area bca monoculture plantation of hevea brasilensis mp gambiama residential area gra and arable farmland af reflecting different land uses covers and varying degrees of disturbance were purposively chosen for the study pan trap and pit fall methods were used to trap insects at the above ground and ground levels respectively alpha diversity was measured in each site using simpson shannon menhinick and margalef indices while insect species compositional similarity between each pair of the sites was assessed using sorensens similarity index insect species richness was highest in bca followed by af and gra respectively while it was lowest in mp dorylus sp was the most abundant insect species in all the fragments with the highest number of individuals occurring in af af also had the highest total number of individuals for all the species followed by mp and gra respectively while the bca had the lowest total number of individuals alpha diversity was highest in bca followed by gra and af respectively while mp had the lowest diversity the level of similarity between each pair of the fragments in terms of their insect species composition was generally low below the highest variation was observed between bca and mp followed by mp and af while the least variation was observed between bca and gra the highest species richness and diversity observed in the bca underscores the importance of the site for insect species conservation and calls for better protection and management,Journal of Agricultural and Biological Sciences,insect species diversity in fragmented habitats of the university of port harcourt nigeria
54,bees are mobile organisms that seek food and nesting opportunities from a range of habitats it is important to understand the way they move in agricultural landscapes if we are to conserve them and benefit from their activity as pollinators we surveyed bees using directional flight interception malaise traps over a year period in two agricultural landscapes in south east queensland australia we placed traps at the ecotone between crops and remnant vegetation to establish the pattern of movement between these habitats species richness in these landscapes was high relative to that in comparable studies some bees were active year round but most were caught in the period september to march across the whole assemblage there was a significant pattern where more species were detected leaving rather than entering remnant vegetation the same bias was true for the number of individuals of the two most abundant species homalictus urbanus and apis mellifera species exclusively found in crops were smaller on average and therefore have smaller foraging range than their non crop counterparts together these patterns indicate that while bees are abundant in crop habitat the remnant vegetation is important as the point of origin for bee movements and the riparian remnant in particular is richer than the dry native remnant compositional similarity among samples was significantly explained by landscape but also movement direction i e to or from the riparian remnant because different species showed different patterns of response the landscape with greater native vegetation cover supported more species in and around crops than the landscape with less native vegetation,Austral Ecology,movement and phenology of bees in a subtropical australian agricultural landscape
55,the continuing spread of exotic plants and increasing human land use are two major drivers of global change threatening ecosystems species and their interactions separate effects of these two drivers on plantpollinator interactions have been thoroughly studied but we still lack an understanding of combined and potential interactive effects in a subtropical south african landscape we studied plantpollinator networks along two gradients of relative abundance of exotics and land use intensity in general pollinator visitation rates were lower on exotic plants than on native ones surprisingly while visitation rates on native plants increased with relative abundance of exotics and land use intensity pollinator visitation on exotic plants decreased along the same gradients there was a decrease in the specialization of plants on pollinators and vice versa with both drivers regardless of plant origin decreases in pollinator specialization thereby seemed to be mediated by a species turnover towards habitat generalists however contrary to expectations we detected no interactive effects between the two drivers our results suggest that exotic plants and land use promote generalist plants and pollinators while negatively affecting specialized plantpollinator interactions weak integration and high specialization of exotic plants may have prevented interactive effects between exotic plants and land use still the additive effects of exotic plants and land use on specialized plantpollinator interactions would have been overlooked in a single factor study we therefore highlight the need to consider multiple drivers of global change in ecological research and conservation management,Oecologia,additive effects of exotic plant abundance and land use intensity on plant pollinator interactions
56,during june an exploratory dung beetle survey coleoptera scarabaeidae scarabaeinae was conducted in southwestghana at the southern edge of ankasa conservation area which is a km conserved region of the threatened eastern upper guinean rainforest the survey provided a quantitative assessment of peripheral deforestation effects and an inventory for species on omnivore dung pitfall traps baitedwith pig dungwere placed in both selectively logged and unlogged rainforest as well as in nearby oil palmand cacao plantations the ankasa forest inventory wasmostly comprised of species previously trapped by human dung in thewestern upper guinean rainforest of taõ¨ national park co te dÕivoire however there was relatively low species abundance similarity between the june july assemblages on omnivore dung in taõ¨ and ankasa rainforests and even lower similarity between assemblages of ankasa and the adjacent plantations of species recorded in ankasa forest mostwere absent or rare in plantationswhere assemblageswere numerically dominated by species previously recorded from the west african savannas this replacement plantation fauna showed signiÞcantly lower species richness and diversity but signiÞcantly higher abundance compared with ankasa forest assemblages the results reiterate that forest reserves are essential for the conservation of specialist rainforest dung beetle species,Environmental Entomology,effect of deforestation on a southwest ghana dung beetle assemblage coleoptera scarabaeidae at the periphery of ankasa conservation area
57,the present study aims to characterise the assemblages of drosophilidae sampled from four sites subject to different levels of urbanisation in the city of florianópolis south brazil five samples were collected between august and august and  ve between august and august in each site a gradual change in the dominant species was observed in the urbanisation gradient with an increase in relative abundance of exotic species in urban areas among the native species the relative abundance of drosophila capricorni dobzhansky pavan had an expressive decrease in the other hand the richness in the low urbanisation site increased probably due to the presence of urban gardens the diversity index did not vary signi cantly among sites but its correlation with evenness and richness changed,Neotropical Entomology,changes in brazilian drosophilidae diptera assemblages across an urbanisation gradient
58,searching for indicator taxa representative of diverse assemblages such as arthropods is an important objective of many conservation studies we evaluated the impacts of a wide gradient of disturbance in gabon on a range of arthropod assemblages representing different feeding guilds we examined × arthropod individuals from which focal taxa were separated into morphospecies replication included the understory of sites in each of different stages of forest succession and land use i e habitats after logging old and young forests savanna and gardens we used complementary sampling methods to survey sites throughout the year overall differences in arthropod abundance and diversity were greatest between forest and open habitats and cleared forest invaded by savanna had the lowest abundance and diversity the magnitude of faunal differences was much smaller between old and young forests when considered at this local scale anthropogenic modification of habitats did not result in a monotonous decline of diversity because many herbivore pests and their associated predators and parasitoids were abundant and diverse in gardens where plant productivity was kept artificially high year round through watering and crop rotation we used a variety of response variables to measure the strength of correlations across survey locations among focal taxa these could be ranked as follows in terms of decreasing number of significant correlations species turnover abundance observed species richness estimated species richness percentage of site specific species the number of significant correlations was generally low and apparently unrelated to taxonomy or guild structure our results emphasize the value of reporting species turnover in conservation studies as opposed to simply measuring species richness and that the search for indicator taxa is elusive in the tropics one promising alternative might be to consider predictor sets of a small number of taxa representative of different functional groups as identified in our study,Conservation Biology,changes in arthropod assemblages along a wide gradient of disturbance in gabon
59,anthropogenic environmental disturbance is a significant factor driving mosquito community composition however researchers subjectively define environmental change creating difficulties for cross study comparison to examine the relationship between terrestrial change and mosquito composition we used remote sensing techniques to define spatially explicit land use categories along a gradient with low rural medium peri urban and high urban anthropogenic influence in the peruvian amazon we found significant differences in mosquito diversity among land use categories our results provide baseline data linking mosquito distribution to land use in the peruvian amazon and present an easily replicable method of comparison for future research creating standardized methods to measure the impact of human influence on the environment is of particular importance in designing targeted public health policies and in predicting disease risk in rapidly changing environments such as the amazon,Journal of Medical Entomology,land use and mosquito diversity in the peruvian amazon
60,we studied the diversity of dung beetles in three different habitats in the lacandona forest chiapas mexico we found a total of species of these were in well preserved forests sc within the limits of the montes azules biosphere reserve in fragmented forests sf and in cattle pastures pz these two latter habitats were part of a fragmented landscape even though the species richness between the two forest habitats is similar there is a change in guild composition and structure about of the species were exclusively found in sc while and were exclusive of sf and pz respectively b diversity was the most important element for overall diversity c above that of the local richness a within well preserved forests species composition changes substantially even among neighboring sites species diversity within the landscape seems to depend on canopy coverage soil temperature and geographic distance between sites functional groups vary with the habitat large bodied nocturnal species with specific requirements of soil temperature and compaction are more sensitive to anthropogenic changes in cattle pastures there is a larger number of heliophilic species with a higher percentage of small bodied and roller beetles,Biodiversity and Conservation,dung beetle coleoptera scarabaeidae scarabaeinae diversity in continuous forest forest fragments and cattle pastures in a landscape of chiapas mexico the effects of anthropogenic changes
61,objective in the transitional forest savannah zone human pressure on natural resources occurs mainly through converting forests into diverse land use systems land use management has an important impact on soil and its functional role in maintaining ecosystem processes it generally results in dramatic and rapid changes in vegetation that are likely to affect soil invertebrate communities significantly in the context of the sustainable use of natural resources in tropical countries an investigation was conducted in cote divoire to study the impacts of land use type on biodiversity methodology and results data were collected on ant diversity and relative abundance in five land use types i forest in lamto reserve ii rural forest iii food crop plantations iv cocoa and v pineapple plantations with the aim of characterizing ant assemblage in response to land use change standard sampling methods winkler leaf litter extraction pitfall trapping and soil monolith extraction were used to collect ants along three transects of m length per land use type a total of one hundred and eighteen ant species were found in all habitats combined the rural forest was the most species rich habitat species followed in decreasing order by the lamto forest species food crop plantations species cocoa plantations species and pineapple plantations species conclusions and application of findings three main conclusions were drawn from this study i a decrease in terrestrial ant diversity occurred with increasing land use intensification ii food crop lands had levels of ant diversity comparable to those of the forests however there were dramatic changes in the community structure iii the rural forests are near natural and may serve as refuges for ant diversity these findings encourage sustainable types of land use involving agro forestry practices to allow natural recovery processes after agricultural disturbance this approach will help in the conservation of biodiversity,Journal of Applied Biosciences,diversity and abundance of terrestrial ants along a gradient of land use intensification in a transitional forest savannah zone of côte d ivoire
62,huge areas of diverse tropical forest are lost or degraded every year with dramatic consequences for biodiversity human activities such as deforestation fragmentation over exploitation and monoculture practices are the main drivers of tropical forest biodiversity loss investigating of these threats with focusses on changes in species richness or species diversity will be able to minimize any impact of human activities at the early stage in a certain region therefore to know the impact of human activities to dynamic of insect communities in gunung salak west java we measured moth diversity and their structure within communities by comparing the index diversity species richness and species composition across five different habitat types the results showed that the habitat changes due to human activities had changed not only to the moth diversity but also to their structure within communities the number of moth species decreased significantly as well as the number of lower taxa family in the disturbed forest secondary forest agathis forest and transition area within ranges and the composition of the two main families geometridae and noctuidae also showed a major change family geometridae decreased within ranges in the disturbed area but noctuidae increased up to in those areas indeed habitat lost due to human activities such as illegal logging change of land use and land clearing is the main threats to decrease on macro moth diversity and change their structures within communities,Hayati Journal of Biosciences,the impact of human activities to dynamic of insect communities a case study in gunung salak west java
63,habitat loss and fragmentation have turned into the most important threats to biodiversity and ecosystem function worldwide here we investigate the effects of habitat fragmentation and drastic changes in tree communities on dung beetle richness and community structure this study was carried out in a severely fragmented km forest landscape of the atlantic forest of north eastern brazil sampling was carried out in forest fragments between september and march with the use of pitfall traps and flight interception traps a total of individuals and species of dung beetle were collected fragment area and isolation were the most significant explanatory variables for predictable and conspicuous changes in dung beetle species richness smaller and isolated fragments presented lower number of species but fragments with lower tree species richness and lower proportion of shade tolerant species were also considerably impoverished in terms of dung beetle species richness the body mass of dung beetles were explained by fragment area and the percentage of emergent trees with smaller and less stratified fragments being dominated by small bodied dung beetles an ordination analysis segregated dung beetle communities between small fragments ha and the control area seventy seven percent of the species were recorded in the control area and of all species were unique to this habitat our findings indicate that large fragments in the atlantic forest appear to consist in a sort of irreplaceable habitats for particular groups of dung beetle species as well as for the integrity of their communities,Biological Conservation,habitat fragmentation alters the structure of dung beetle communities in the atlantic forest
64,a key challenge for tropical conservation biologists is to assess how forest management practices affect biodiversity and associated ecosystem functions dung beetles scarabaeidae scarabaeinae provide an ideal focal guild for such studies we compared dung beetle assemblages and experimentally assessed rates of dung removal and seed burial in undisturbed forest low intensity selectively logged forest under sustainable forest management and high intensity logged forest not under sustainable management in malaysian borneo in total individuals from species of dung beetle were collected there were no significant differences in abundance biomass or diversity across sites species richness was significantly lower in the high intensity logged sites beta diversity was low of species recorded in undisturbed forest sites were also captured in low intensity sites and in high intensity sites the environmental and vegetation variables measured had little influence on species composition an average of  of dung was removed over h mean dung and seed removal were significantly lower in the high intensity logged sites dung removal rates were significantly and positively correlated with dung beetle species richness but not with dung beetle biomass or abundance however the biomass of large bodied nocturnal dung beetles was positively correlated with dung removal in contrast to previous studies dung beetle biomass and abundance were not correlated with species richness indicative of density compensation overall dung beetle communities and associated ecosystem functions were robust to low intensity but not high intensity selective logging these differences may be related to changes in the abundance and biomass of particular dung beetle species or guilds rather than community wide measures of abundance and biomass highlighting the need to move beyond simplistic biodiversity ecosystem functioning correlations to understand the functional consequences of habitat modification in high diversity ecosystems,Biological Conservation,biodiversity and ecosystem function of tropical forest dung beetles under contrasting logging regimes
65,in the semi arid steppe rangelands of central turkey festuca valesiaca and thymus sipyleus ssp rosulans have become the dominant species on degraded pastures we hypothesized that decreases in species richness and abundance are correlated with increasing prevalence of these two species therefore our objectives were to determine whether there are patterns in examined vegetation how dominant species contribute to these patterns and how patterns differ between grazed and ungrazed vegetation we determined that protection from grazing increased species richness grazing significantly changed composition through decreasing total plant forb grass and f valesiaca covers while substantially increasing t sipyleus cover topography soil and grazing appear to impact the dominance of plant communities where f valesiaca and t sipyleus prevail these two dominant species had a significant effect in shaping vegetation patterns based on regression analysis alterations in species richness with changes in cover of forbs and shrubs were evident and spatial heterogeneity of f valesiaca and t sipyleus indicated unstable vegetative patterns in heavily grazed pastures and successional changes in protected pastures our study results identify f valesiaca and t sipyleus as indicator species of vegetation suppression in condition assessments of degraded steppe rangelands,Journal of Arid Environments,assessment of grazing effect on sheep fescue festuca valesiaca dominated steppe rangelands in the semi arid central anatolian region of turkey
66,the effect of fragmentation on different life forms within tropical forest plant communities is poorly understood we studied the effect of degree of fragmentation and surrounding matrix on trees lianas shrubs and epiphytes in tropical forest fragments of kodagu western ghats india these fragments exist as sacred groves amidst a highly modified agricultural landscape and have been preserved by the religious sentiments of local communities plants were sampled at two sites in continuous forests and forest fragments a total of species of trees species of lianas species of shrubs and species of epiphytes were recorded trees exhibited a significant speciesarea relationship r richness estimates after controlling for stem density rarefaction revealed that observed speciesarea relationship was not an artefact of passive sampling variation in species richness of the other three groups was explained by stem density and structural diversity linear distance from the reserve forest did not explain any variation in species richness all life forms exhibited significant nested pattern trees were nested along the area gradient while nestedness in the other three groups showed evidence in support of habitat nestedness the four life forms thus responded variably to degree of fragmentation our study revealed that of the regional diversity for trees was contributed by diversity among plots highlighting the importance of inter patch habitat diversity in maintaining the total regional species pool we conclude that trees alone cannot serve as good indicator for taking appropriate conservation measures to mitigate species loss resulting from habitat fragmentation,Plant Ecology,plant diversity in sacred forest fragments of western ghats a comparative study of four life forms
67,in this study we monitored pheasants abundance to measure the impact of a hydroelectric development project the pheasants abundance was monitored using “call count” and line transect methods during breeding seasons in three call count stations and transects were laid with varying levels of anthropogenic disturbance to understand how the hydro power project could effect the pheasant population in the jiwa valley we monitored it under two conditions in the presence of hydro electric project hep construction and when human activity significantly declined the koklass pheasant pucrasia macrolopha cheer pheasant catreus wallichi and western tragopan tragopan melanocephalus were not recorded in manjhan adit in during and springs the construction activity was temporarily discontinued in manjhan adit the pheasants responded positively to this and their abundance increased near disturbed sites manjhan adit the strong response of pheasants to anthropogenic disturbance has ecological application and thus can be used by wildlife management in the habitat quality monitoring in the himalayan mountains,The Ring,monitoring pheasants phasianidae in the western himalayas to measure the impact of hydro electric projects
68,in the indian subcontinent there is hardly any study that compares the bird community structure of urban suburban areas with those of forest habitat the present survey identified diverse assemblages of birds in the pauri district at different elevations a total of bird species belonging to families including two least count species lophura leucomelanos and pucrasia marcolopha were recorded during this survey in the forest and urbanized habitats of pauri district garhwal hiamalaya of uttarakhand state india the high elevation pauri  m a s l mid elevation srikot khanda  m a s l and low elevation srinagar  m a s l contributed and of the total species respectively rarefaction analysis and shannon diversity index showed that the high elevation forest habitat had highest bird species richness bsr and bird species diversity bsd followed by the mid and then the low elevation forests bsr and bsd fluctuated across seasons at all elevations but not across habitat types present study provides a base line data about avian community composition in urbanized and natural habitats along altitudinal gradient in the study area this information may be useful to the conservation biologists for the better management and conservation of the avifauna in the western himalaya a part of one of the hot biodiversity spots of the world,Biologia,bird community structure in natural and urbanized habitats along an altitudinal gradient in pauri district garhwal himalaya of uttarakhand state india
69,in developing countries the landscape surrounding agricultural land is important for maintaining biodiversity and providing ecosystem services forests provide a full suite of goods and services to subsistence farmers in the himalayan agro ecological system the effects of biomass outtake on woody species richness and composition were analysed in forests under communal and government management interviews on forest use and perception of forest condition and ecosystem service delivery were conducted in farmer households bordering the forests significantly more woody species were found in the community managed forests species richness was negatively correlated with walking distance from the nearest village and increasing levels of anthropogenic disturbance community forests were generally less degraded than government managed forests giving support to common pool resource management woody vegetation represented a crucial source of fuelwood timber fodder and edible aromatic and medicinal plants using a multidisciplinary framework to analyse ecosystem integrity and ecosystem service delivery enabled a finer understanding of these complex agro ecological systems giving support to evidence based management and conservation planning for the future,Environmental Conservation,forest ecosystem services and biodiversity in contrasting himalayan forest management systems
70,in the mediterranean basin pine tree reforestation has been the most common management tool in restoring degraded and burnt areas as well as for economic purposes however the quality of the biodiversity of these habitats has undergone little assessment terrestrial gastropods are suitable indicators of forest quality and long term stability because of their strict dependence on microhabitat conditions and their slow dispersal rate we sampled the gastropod population in a protected mediterranean area in order to compare the species richness in seven main habitats holm oak wood and mixed pine forests were the habitats with the lowest species density and areas with a high level of heterogeneity exhibited the richest communities in recent decades however land abandonment and pine reforestation are leading to landscape homogeneity which is perhaps the cause of the extinction of six open habitat gastropod species in the park these results provide park authorities with insights into how to adapt management plans to enhance habitat quality for land snail and slug assemblages more specifically our results stress the need to create habitat heterogeneity to increase land mollusc diversity in large and continuous areas of mixed pine forests,Biodiversity and Conservation,assessing the impact of reforestation on the diversity of mediterranean terrestrial gastropoda
71,the effect of cultivation on spider density and diversity was assessed at three sites before and after cultivation in autumn linyphiid spiders dominated the fauna at each site of the spiders present with eperigone fradeorum berland the most common spider of the spiders collected at all three sites the populations of both linyphiid and non linyphiid spiders decreased significantly after fields were cultivated population declines after cultivation did not appear to be related to the intensity of cultivation this suggests that environmental factors were not an important influence on spider populations at least in the early part of the experiment grazing had a detrimental effect on spider density and diversity these results suggest that both cultivation and ongoing management can affect spider density and diversity,New Zealand Journal of Agricultural Research,spider biodiversity and density following cultivation in pastures in the waikato new zealand
72,this contribution introduces a short series of papers on biodiversity of indigenous tussock grassland at four sites in new zealand a survey of invertebrates of tussock grassland sites was carried out in summer of successive years the sites included two in otago in snow tussock grassland at deep stream and mt benger a site at cass in inland canterbury and one at tukino in the central north island sampling was carried out by taking turf samples from each site and extracting the invertebrates with heat extractors the invertebrates were divided into major groups this quantitative sampling method allowed the densities of invertebrate groups to be calculated total macro invertebrate density for all sites ranged between c and m total invertebrate abundance was highest at the central north island site but this was very much dominated by formicidae across all sites formicidae coleoptera and pseudococcidae were consistently the most abundant groups represented,Journal of The Royal Society of New Zealand,biodiversity of indigenous tussock grassland sites in otago canterbury and the central north island of new zealand i the macro invertebrate fauna
73,this study investigated the effects of different management inputs fertiliser and seed and grazing patterns on plant biodiversity in a short tussock grassland with a strong hieracium pilosella component cover abundance of vascular and non vascular plants and environmental variables were measured in × m plots located in five blocks with different management treatments ordination of the floristic data separated the block with the highest management inputs from other blocks several adventive species were significantly more abundant in this block while several native species were either absent or uncommon but were significantly more abundant in other study blocks h pilosella was significantly more abundant in blocks with lower management inputs diversity was significantly higher in the block with the highest management inputs the native tussock poa colensoi had significantly greater cover abundance while festuca novae zelandiae tussocks were significantly taller in this block our results suggest that high management inputs reduce the abundance of h pilosella and diversity of native species but increase the abundance of other adventive species and the cover and vigour of native tussocks our results highlight an interesting management conundrum for short tussock grasslands no input management is likely to result in a decline in native biodiversity as well as production values as h pilosella mats deplete soil nutrients and restrict regeneration of native species however input of fertiliser and adventive seeds to enhance production values although resulting in an increase in the vigour and abundance of some native species mainly tussocks and a reduction in h pilosella abundance will also result in a decline in overall native species richness,New Zealand Journal of Ecology,influence of pastoral management on plant biodiversity in a depleted short tussock grassland mackenzie basin
74,both area and edge effects have a strong influence on ecological processes in fragmented landscapes but there is little understanding of how these two factors might interact to exacerbate local species declines to test for synergistic interactions between areamand edge effects we sampled a diverse beetle community in a heavily fragmented landscape in new zealand more than beetles of species were sampled over large gradients in habitat area  ha and distance from patch edge  m from the forest edge into both the forest and adjacent matrix using a new approach to partition variance following an ordination analysis we found that a synergistic interaction between habitat area and distance to edge was a more important determinant of patterns in beetle community composition than direct edge or area effects alone the strength of edge effects in beetle species composition increased nonlinearly with increasing fragment area one important consequence of the synergy is that the slopes of speciesarea sa curves constructed from habitat islands depend sensitively on the distance from edge at which sampling is conducted surprisingly we found negative sa curves for communities sampled at intermediate distances from habitat edges caused by differential edge responses of matrix vs forest specialist species in fragments of increasing area our data indicate that distance to habitat edge has a consistently greater impact on beetle community composition than habitat area and that variation in the strength of edge effects may underlie many patterns that are superficially related to habitat area,Ecology,synergistic interactions between edge and area effects in a heavily fragmented landscape
75,this study examined the influence of superphosphate fertiliser application and sheep stocking rate on the density and diversity of soil macro and mesofauna particularly earthworms and oribatid mites in two sheep grazed new zealand hill pastures the low intensity li long term experimental farmlet is managed with no fertiliser and a low sheep stocking rate stock units ha the high intensity hi farmlet receives kg p ha yr and has a high sheep stocking rate stock units ha soil mesofaunal samples were collected at two depths  cm and  cm earthworm species major mesofaunal groups and oribatid species were identified and the trophic groups body size biomass mode of reproduction and global distribution of oribatid species established soil fertility temperature moisture and pasture composition were also measured the study tested the hypotheses that intensive pasture will have fewer native species and among oribatida lower proportion of fungivores higher proportion of asexuals and higher proportion of smaller species with shorter life cycles the results reflect the complex effect of intensive pasture management on soil organisms earthworm densities were higher in the intensive pasture system with the exception of endemic octochaetus multiporus the low intensity pasture system where soil c n ratio was wider sheep stocking rate was lower and earthworm numbers were lower supported higher density and diversity of soil mesofauna and oribatida which were concentrated in the topsoil  cm depth in the high intensity pasture system the zone of biological activity was expanded verticallythe mesofauna and oribatida although lower overall in density and diversity were more evenly distributed between the  cm and  cm soil depths suggesting reduced effect of livestock treading and greater food availability at depth pastoral intensification influenced oribatid trophic structure with fungivorous species dominant in li and herbofungivorous species in hi pasture which probably reflected underlying differences in food resources such as more fresh root biomass in hi there was some evidence suggesting a shift to short lived cosmopolitan and asexually reproducing oribatida in hi at  cm soil depth oribatid density which reflected mesofaunal densities overall diversity trophic groups life history characteristics and especially vertical distribution were more sensitive to soil management regime than their community structure,Applied Soil Ecology,soil fauna in grazed new zealand hill country pastures at two management intensities
76,the impact on soil invertebrates of changes in the physical environment and feed availability in intensive pastoral systems is difficult to predict given the number of interacting factors this study explores the influence of a change in defoliation regimes pastoral fallow cut and carry cow grazing feed type and availability to ruminants pasture and pasture supplemented with maize and dairy cow stocking rates and cows ha− on the abundance and diversity of soil invertebrates macrofauna mesofauna and microfauna samples were collected from two depths – and – cm on a well structured loamy andosol soil in two seasons autumn and winter treatments allowed an independent assessment of the influence of changes in food sources to the soil food web from that of physical disturbance from livestock treading there was a clear distinction in habitable pore space between the fallow and other treatments the high porosity under fallow under fallow vs – under other treatments appears to be an important factor increasing faunal abundance and biomass including macrofaunal predators and oribatida large inputs of litter under fallow benefited epigeic earthworms and resulted in a dominance of bacterialfeeding nematodes nematode channel ratio reflecting the still high quality litter from previous management grazed pastures had higher abundances of plant feeding and plant associated nematodes as they were stimulated by increased root growth abundances up to × indm− while there was little difference in total earthworm abundance between treatments anecic a longa became progressively more abundant under higher cow stocking rates as food availability and physical pressure increased indm− vs indm− under and cows ha− respectively initial earthworm functional diversity is important and we suggest that anecic earthworms can substitute for epigeic earthworms in intensively managed pastoral systems by incorporating litter as well as being important ecosystem engineers,Applied Soil Ecology,separating the effects of defoliation and dairy cow treading pressure on the abundance and diversity of soil invertebrates in pastures
77,the diversity of coleoptera communities in tussock grassland at two sites in otago one in canterbury and one in the central north island was compared the impact of agricultural disturbance on the communities was compared between native tussock tussock oversown with exotic pasture species and cultivated sown pasture coleoptera were heat extracted from turf samples taken in summer in two consecutive years in native and oversown treatments staphylinidae and curculionidae predominated in abundance at three of the four sites and in species richness at all sites and treatments carabidae were more species rich than curculionidae in cultivated treatments at most sites the mean density of coleoptera in native tussock treatments ranged between m and m carnivores were the predominant trophic group followed by herbivores species diversity was higher in the native or oversown treatments and the otago sites were the most diverse overall and the least disturbed a total of exotic species were found but there was no relationship with treatment although their density was higher in cultivated treatments there was no evidence to suggest that modified vegetation provides a source of exotic coleoptera species to invade native tussock,Journal of the Royal Society of New Zealand,biodiversity of indigenous tussock grassland sites in otago canterbury and the central north island of new zealand vi coleoptera biodiversity community structure exotic species invasion and the effect of disturbance by agricultural development
78,warmer temperatures can alter the phenology and distribution of individual species however differences across species may blur community level phenological responses to climate or cause biotic homogenization by consistently favoring certain taxa additionally the response of insect communities to climate will be subject to plant mediated effects which may or may not overshadow the direct effect of rising temperatures on insects finally recent evidence for the importance of interaction effects between global change drivers suggests that phenological responses of communities to climate may be altered by other drivers we used a natural temperature gradient generated by elevation and topology combined with experimental nitrogen fertilization to investigate the effects of elevated temperature and globally increasing anthropogenic nitrogen deposition on the structure and phenology of a seminatural grassland herbivore assemblage lepidopteran insects we found that both drivers alone and in combination severely altered how the relative abundance and composition of species changed through time importantly warmer temperatures were associated with biotic homogenization such that herbivore assemblages in the warmest plots had more similar species composition than those in intermediate or cool plots changes in herbivore composition and abundance were largely mediated by changes in the plant community with increased nonnative grass cover under high treatment levels being the strongest determinant of herbivore abundance in addition to compositional changes total herbivore biomass more than doubled under elevated nitrogen and increased more than fourfold with temperature bearing important functional implications for herbivores as consumers and as a prey resource the crucial role of nonnative plant dominance in mediating responses of herbivores to change combined with the frequent nonadditive positive and negative effects of the two drivers and the differential responses of species highlight that understanding complex ecosystem responses will benefit from multifactor multitrophic experiments at community scales or larger,Ecology,plant mediated and nonadditive effects of two global change drivers on an insect herbivore community
79,large isolated trees are a prominent part of town planning and the nature of the urban environment poses unique challenges in sampling the arthropod assemblages found on them as part of a larger study on the role of these trees in supporting wider biodiversity we undertook a trial of arthropod sampling methods to compare the relative impact of sampling method versus the species of tree sampled using four species of study trees three sampling methods were trialed an inverted cone based bole trap a compact flight intercept trap and branch bagging and clipping total arthropod abundance richness and diversity were modeled using generalised linear mixed models which showed that in many cases the variation between sampling method was larger than that found between tree species all three of the sampling methods proved to be practical in the field and overcame the challenges faced in sampling urban trees thereby providing the opportunity for more detailed study our findings also highlight the case for a multifaceted approach to sampling arthropods if a complete picture of the community assemblage is to be gained,Journal of Insect Conservation,arboreal arthropod sampling methods for urban trees
80,the way in which species interactions are altered at habitat edges is an emerging concern in conservation biology with some theories predicting edge affected habitats to be less stable and exhibit intensified species interactions relative to interior habitats one little studied interaction is phoresy where an individual of one species attaches itself to an individual of another species for the purpose of dispersal bumble bees bombus spp are important crop pollinators around the world and at least species of phoretic mites have been associated with various bumble bee species here we investigated changes in the abundance of the introduced european b terrestris across forest grassland edges in the southern alps of new zealand and concomitant changes in the phoretic mite loads on these mobile pollinators bumble bees penetrated up to m inside forest fragments with abundance declining with distance from the anthropogenic matrix habitat by contrast phoretic mite loads increased towards the forest interior overall phoretic mite loads on b terrestris were greatest in the forest canopy suggesting that this species interaction is intensified in natural habitat compared to that in the anthropogenic land use surrounding forest fragments our data indicate that phoretic loads on bumble bees are elevated in forest canopies the functional significance of altered bumble bee  mite interactions for pollination services at forest edges remains to be tested,Insect Conservation and Diversity,altered species interactions at forest edges contrasting edge effects on bumble bees and their phoretic mite loads in temperate forest remnants
