Abstract,Journal,PMID,Title
howland and baker islands are two small isolated reef and sand islets located near the equator in the central pacific ocean that are situated approximately km apart in and species level monitoring at multiple sites coupled with towed diver surveys in and on both of these federally protected islands revealed diverse fish coral macroinvertebrate and algal assemblages this study examines inter and intra island spatial and temporal differences in community composition among sites and presents baseline biological community parameters for two of the least impacted reef systems in the world despite similarities in species composition permutational multivariate analysis of variance permanova and multidimensional scaling ordinations nmds suggest biological communities at the two islands are distinct with baker island containing a greater percent cover of branched acroporid corals and turf algae and howland island containing a greater percent cover of crustose coralline red algae and small compact genera of coral both islands also contained considerable cover of non invasive macroalgae permanova further revealed benthic and fish species composition to differ between forereef and reef shelf sites from different sides of each island when islands were considered as a whole temporal changes were not noted between and however temporal changes at select sites did occur with coral cover decreasing significantly along the west side of baker island from to,Biodiversity and Conservation,,marine biological community baselines in unimpacted tropical ecosystems spatial and temporal analysis of reefs at howland and baker islands
the bristle thighed curlew numenius tahitiensis is a rare shorebird that breeds in western alaska and winters on oceanic islands in the tropical and subtropical pacific ocean before human colonization the islands on which curlews winter were devoid of terrestrial predators allowing curlews to evolve a rapid moult during which about of adults become flightless especially when flightless these birds are vulnerable to harvest by humans and to predation by introduced mammals such as dogs and cats on atolls where they are harvested by humans curlews tend to occur only on uninhabited islets consequently human encroachment in oceania has probably reduced bristle thighed curlew numbers and altered winter distribution of the species future studies should identify concentrations of wintering curlews focusing in the tuamotu archipelago determine whether migratory stopover sites exist in the central pacific between hawaii and the southern end of the wintering grounds and establish a monitoring programme to assess population trends in several parts of the winter range a comprehensive plan is needed to provide for the existence of predator free islands throughout key portions of the winter range,Bird Conservation International,,conservation problems and research needs for bristle thighed curlews numenius tahitiensis on their wintering grounds
letea forest has always represented a favorable place for the nesting of preying birds in the past decades in letea forest as well as in the entire danube delta the number of species of birds of prey has fallen dramatically in the current paperwork we tried to analyze the situation of the species of diurnal birds of prey identified in letea forest during the study that took place between november until september there were species of preying birds observed from which are nesting species circus aeruginosus haliaeetus albicilla falco vespertinus f subbuteo f tinnunculus buteo buteo and pernis apivorus and the rest are winter guests passing species and species with accidental presence in the study area,"Travaux du Museum National d'Histoire Naturelle ""Grigore Antipa""",,diurnal birds of prey aves from letea forest the danube delta biosphere reservation romania
the leatherback turtle dermochelys coriacea is considered to be at serious risk of global extinction despite ongoing conservation efforts intensive long term monitoring of a leatherback nesting population on sandy point st croix us virgin islands offers a unique opportunity to quantify basic population parameters and evaluate effectiveness of nesting beach conservation practices we report a significant increase in the number of females nesting annually from ca in the s to in with a corresponding increase in annual hatchling production from ca to over we then analyzed resighting data from to with an open robust design capture mark recapture model to estimate annual nester survival and adult abundance for this population the expected annual survival probability was estimated at ca cl and the population was estimated to be increasing ca pa since the early s taken together with dna fingerprinting that identify mother daughter relations our findings suggest that the increase in the size of the nesting population since was probably due to an aggressive program of beach protection and egg relocation initiated more than years ago beach protection and egg relocation provide a simple and effective conservation strategy for this northern caribbean nesting population as long as adult survival at sea remains relatively high,Biological Conservation,,increase of a caribbean leatherback turtle dermochelys coriacea nesting population linked to long term nest protection
censusing wild populations and detecting trends in population size over time is an important task in the conservation and management of wildlife we compared two methods used to monitor numbers of chamois rupicapra rupicapra and r pyrenaica in two contrasting populations and explored the relationship between the sampling effort and the repeatability of the results using resampling methods one population in the alps had been stable at a high density for several years whereas the other population located in the pyrenees was increasing exponentially following a reintroduction in both sites a long term monitoring programme based on individually marked chamois allowed us to estimate population size using capture mark recapture methods cmr in addition we calculated an index of population size as the mean number of animals observed on a foot transect surveyed repeatedly we then compared whether trends estimated by each method were consistent in the increasing population both the index and the cmr estimates revealed an exponential increase in population size in the stable population neither the index nor the cmr estimate revealed any trend in size consistent results between the index and the cmr suggest that the index could be used to monitor trends in population size resampling techniques however pointed out that the index is only reliable when calculated over a sufficient number of surveys per year in the pyrenees three in the alps and over a sufficient number of years of monitoring about five years,Wildlife Biology,,how reliable are total counts to detect trends in population size of chamois rupicapra rupicapra and r pyrenaica
effective management of ungulates requires regular estimates of population abundance but these are often expensive and hard to obtain we therefore examined if change in ratio cir estimation methods in combination with age and sex specific data on moose alces alces observed and killed could be a cheap alternative for estimating moose abundance in norway we used the large number of moose observations reported by moose hunters and estimated pre harvest adult population size based on annual changes in adult sex ratio similarly we estimated annual recruitment rate based on the proportion of calves observed during the hunting season the harvest rate and the natural mortality rate based on variation in recruitment rate and harvest rate during annual variation in abundance was correlated with two of three independent indices of moose density indicating that the cir methods provide relatively precise estimates of abundance similarly the estimated average natural mortality rate was similar to natural mortality rates of radio collared moose in scandinavia and the estimated abundance was close to what we expected based on the annual harvest however large annual variation in estimated rates of natural mortality indicated that over and underestimation of population abundance occurred for some years this was likely due to the fact that harvesting occurred during periods of moose observations because we had no independent estimates of abundance we were unable to estimate the bias hence we concluded that variation in cir abundance is a sensitive index of moose density but that more studies are needed to determine the accuracy of cir estimates as measurements of abundance future studies should focus on smaller populations with independent estimates on abundance and base cir estimation on changes in sex ratio within the hunting season to reduce the number of possible confounding effects,Wildlife Biology,,change in sex ratio as an estimator of population size for norwegian moose alces alces
we identify fishery management implications from a long term monitoring program focusing on spawning aggregations of high valued reef fish in komodo national park knp eastern indonesia management objectives of knp are not only to protect biodiversity but also to conserve spawning stocks of high valued commercial species for the replenishment of surrounding fishing grounds we monitored two sites twice monthly over five years for two species of grouper epinephelus fuscoguttatus and plectropomus areolatus one site had an aggregation of both e fuscoguttatus and p areolatus whereas the other site contained an aggregation of p areolatus only over the five years monitoring period aggregations typically formed during each full moon between september and february additionally p areolatus occasionally aggregated during new moons between april and july we observed spawning only once but because formation of aggregations were correlated to a higher incidence of behavior and signs indicative of reproduction and because most fish present were adults it is likely that the formation of aggregations was associated with spawning over the five years monitoring period there was a reduction in mean fish size of up to cm for p areolatus and a reduction in numbers of aggregating e fuscoguttatus despite limited protection initiated in both sites are still heavily fished by local artisanal fishers because the observed reductions in size and in numbers could be caused by fishing pressure managers should follow the precautionary principle by putting additional protective management in place since both species are relatively long lived at least five years of continued monitoring may be necessary to determine the outcome of management intervention the variability in timing of aggregation in respect to season and moon phase in p areolatus indicates that long term monitoring must cover the entire year and both moon phases,Environmental Biology of Fishes,,aggregations of plectropomus areolatus and epinephelus fuscoguttatus groupers serranidae in the komodo national park indonesia monitoring and implications for management
the yangtze finless porpoise neophocaena phocaenoides asiaeorientalis is endemic to the middle and lower reaches of the yangtze river china it is the only freshwater population of porpoises in the world and is currently listed as endangered by iucn in november and december we used two boats and line transect methods to survey the entire current range of the population except for two lakes poyang and dongting sighting results were similar for both boats so we pooled all data and analyzed them using two line transect models and a strip transect model all models produced similar estimates of abundance and we then added independent estimates of the number of porpoises from the two lakes for a total estimate of approximately porpoises our findings indicate that the population continues to decline and that its distribution is becoming more fragmented our current estimate in the main river is slightly less than half the estimate from surveys between and which was probably an underestimate we also found an apparent gap in the distribution of porpoises between yueyang and shishou approximately km where sightings had previously been common continued threats to yangtze finless porpoises include bycatch in unregulated and unselective fishing habitat degradation through dredging pollution and noise vessel strikes and water development immediate protective measures are urgently needed to ensure the persistence of finless porpoises in the yangtze river the survey design and analytical methods developed in this study might be appropriate for surveys of cetaceans in other river systems,Biological Conservation,,abundance and conservation status of the yangtze finless porpoise in the yangtze river china
individual based demographic records of the elephants utilizing samburu and buffalo springs national reserves were collected from through and indicate that this elephant population was increasing at an average rate of per year although the majority of carcasses were not found known sources of mortality include disease injury and predation by lions and humans poaching did occur during the study period however the population is increasing and thus our findings indicate ivory poaching has limited impact on the demographic status of these elephants this population is part of the samburu laikipia mike site and thus its status is relevant to cites ligislation,African Journal of Ecology,,demographic status of elephants in the samburu and buffalo springs national reserves kenya
in this study in order to determine how climate change may affect amphibian and reptile communities we surveyed the numbers of egg clumps and adults of amphibians and the number of reptiles at eight amphibian and nine reptile survey sites in woraksan national park from march to september we assessed the relationships among six climate factors annual minimum temperature annual maximum temperature monthly mean temperature monthly mean precipitation monthly mean temperature during winter and monthly mean precipitation during winter species diversity evenness and richness indexes for both amphibians and reptiles and the number of each species and egg clumps of three amphibian species first both the amphibian and reptile species indices evidenced sudden changes in when climate factors in korea fluctuated substantially second amphibian diversity and evenness were negatively related with annual minimum temperature increased monthly mean precipitation had a positive effect in mountain edge sites but a negative effect in valley sites third reptile species evenness was positively related with monthly mean precipitation in particular the monthly mean temperature in the winter season affected the numbers of the dione s rat snake and the korean tiger keelback snake these results indicate that amphibian and reptile communities are responding to climate change in a variety of ways,Journal of Ecology and Field Biology,,five year monitoring of herpetofauna in woraksan national park
moose alces alces disappeared from the rostov region in the th century due to agricultural development hunting and deforestation they reappeared in the second half of the th century due to broad conservation measures including intensive forest management and by the s numbered and were found throughout the region although hunting was regulated the population became stagnant in the s presumably from trophy hunting that skewed the sex and age structure as well as measurable wolf canis lupus predation political reform in the s further caused population decline due to increased and less regulated hunting increased poaching without punishment reduced predator control decline in forest management and large forest fires currently the population is at a year low and occupies of its range in the s moose are no longer considered a commercial species rather a species of concern,Alces,,history and status of moose in the rostov region russia
the population trends of the finnish dotterel were studied for the past years a comprehensive study of finnish ornithological literature was undertaken the main bird archives were worked through and additional data were gathered through personal correspondence thus an almost complete coverage of the published observations was obtained augmented by many previously unpublished records the number of observations was fairly stable up to the mid twentieth century the slight apparent increase being mostly due to an increase in the numbers of bird watchers in reality the numbers probably decreased the peak abundance was most likely in the s the main reason for the subsequent decline was obviously overhunting in the s the dotterel was still fairly numerous a decrease probably started sometimes during the s s although little published information is available at the main finnish study area varriotunturi fells the number of breeding pairs has dropped dramatically since the early s the main reason for the recent decline is probably the use of pesticides in the wintering area during the finnish ornithological history the number of dotterel have decreased to of the original perhaps even more as no exact data were available for the dotterel it was not included in the red data book of finland the data presented in this report suggests that it would belong at least to the category in need of monitoring the dotterel is listed in the ec directive on the conservation of wild birds directive eec,Ornis Fennica,,population trends of the dotterel charadrius morinellus in finland during the past years
models suggest that a declined turtle population may rebound if the cause of decline is remedied and adult mortality is reduced but recovery time will likely be slow in we reexamined a river turtle community which included a population of northern map turtles graptemys geographica that had been reduced by approximately between and likely as a result of harvesting and had failed to rebound by despite no evidence of continued harvesting comparisons of population estimates for g geographica showed no significant differences between and z p or between and z p however the population estimate for was not significantly different from the population estimate for z p but was significantly higher than the population estimate for z p suggesting the population had returned to its predecline size while the recovery of the g geographica population demonstrates that a previously harvested river turtle population may rebound if no further harvesting occurs the recovery period will be extensive thus confirming model predictions furthermore the turtle community composition was shifting towards a higher relative abundance of generalist species and a lower relative abundance of specialist species a pattern that can be expected with habitat degradation another threat which may present new challenges to g geographica a dietary specialist,Amphibia-Reptilia,,potential recovery of a declined turtle population diminished by a community shift towards more generalist species
most scenarios for future climate change predict increased variability and thus increased frequency of extreme weather events to predict impacts of climate change on wild populations we need to understand whether this translates into increased variability in demographic parameters which would lead to reduced population growth rates even without a change in mean parameter values this requires robust estimates of temporal process variance for example in survival and identification of weather covariates linked to interannual variability the european shag phalacrocorax aristotelis l shows unusually large variability in population size and large scale mortality events have been linked to winter gales we estimated first year second year and adult survival based on years of ringing and dead recovery data from the isle of may scotland using recent methods to quantify temporal process variance and identify aspects of winter weather linked to survival survival was highly variable for all age groups and for second year and adult birds process variance declined strongly when the most extreme year was excluded survival in these age groups was low in winters with strong onshore winds and high rainfall variation in first year survival was not related to winter weather and process variance although high was less affected by extreme years a stochastic population model showed that increasing process variance in survival would lead to reduced population growth rate and increasing probability of extinction as in other cormorants shag plumage is only partially waterproof presumably an adaptation to highly efficient underwater foraging we speculate that this adaptation may make individuals vulnerable to rough winter weather leading to boom and bust dynamics where rapid population growth under favourable conditions allows recovery from periodic large scale weather related mortality given that extreme weather events are predicted to become more frequent species such as shags that are vulnerable to such events are likely to exhibit stronger reductions in population growth than would be expected from changes in mean climate vulnerability to extreme events thus needs to be accounted for when predicting the ecological impacts of climate change,Journal of Animal Ecology,,the demographic impact of extreme events stochastic weather drives survival and population dynamics in a long lived seabird
the general production model of deriso schnute is modified to assess the stock of wanshan spring decapterus maruadsi t s in the south china sea using catch effort data from to limited data on age composition and growth were available and these were used to estimate growth parameters the natural survival rate and proportions of fish recruiting at early ages stock recruitment and catchability parameters were estimated by fitting the catch effort data to the deriso schnute model using nonlinear parameter estimation equilibrium analysis for the fitted model suggests that the virginal stock was apprx tons of which the maximum average yield is close to tons and would be associated with an average biomass of apprx tons to take this maximum would require approximately the present annual fishing capacity of fishing boats producing a annual harvest rate the present stock is at the lowest level on record different recovery and management strategies were evaluated by computer simulations only apprx years would be needed for the stock to recover to optimum equilibrium biomass with no fishing but it is suggested that a longer recovery period under reduced fishing effort would be preferable,Fisheries Research (Amsterdam),,population dynamics and stock assessment of wanshan spring decapterus maruadsi t s in south china sea
individual species phenologies can play an important role in the structure of lizard assemblages over short time scales data from a pitfall study carried out in the dry chaco of argentina were used to address the question of how species are distributed in their assemblage through time lizard activity and species richness were highest in the spring breeding season and declined in the cool months of the year variations in seasonal activity patterns and reproductive chronology resulted in significantly different distributions of species in every sample month not only did the species composition of the assemblage change through time but the mean size of lizards and the proportions of males females and juveniles varied significantly for several species large lizards regardless of species disappeared from the assemblage during the cool dry winter while juveniles of the large species remained active year round adults of the smallest species were also active throughout the year we propose an hypothesis based on thermoregulatory constraints of lizard body size to account for these patterns an approach focusing on the energetics and physiological ecology of individual species would be fruitful in understanding the dynamics of fluctuating lizard communities,Journal of Herpetology,,phenology of a lizard assemblage in the dry chaco of argentina
we use an individual based model to assess the conservation objectives for knot calidris canutus l and oystercatcher haematopus ostralegus l on the burry inlet special protection area spa uk population monitoring has identified a decline in oystercatcher numbers but cannot determine whether this is due to a decline in site quality long term data on cockle stocks show that the biomass of the large sized cockles consumed by oystercatcher declined after whereas a similar decline was not observed in the smaller cockles consumed by knot the model postdicts that during the winters of to the site was unable to support the number of oystercatcher present at the time it was designated i e the spa population large cockle biomass remained low during but increases in mussel biomass meant that the model postdicted that the site could support the spa population of oystercatcher knot food supplies remained high during most years except during which the model postdicted that the spa population could not be supported the model postdicted that the stock reserved for oystercatchers after shellfishing needed to be times the amount consumed by the birds in order to support the bird population we recommend that where necessary the conservation objectives of waterbirds should be assessed using a combination of thorough population size and behaviour monitoring to identify sites with population declines and individual based modelling on these sites to determine whether reduction in site quality may contribute to the site specific population decline,Biological Conservation,,assessing waterbird conservation objectives an example for the burry inlet uk
demographic data provide a basis for understanding the life history and ecology of species factors which are vital for informing conservation efforts however little is known regarding the population ecology of most snake species including the threatened eastern indigo snake drymarchon couperi we used years of capture mark recapture cmr and years of radiotelemetry data from southeastern georgia usa in a cmr modeling framework to estimate apparent survival capture and transition probabilities and evaluate factors influencing these parameters the model averaged estimate of overall apparent annual survival probability was se and is comparable to that obtained from known fate analysis radiotelemetry at the same site body size positively influenced survival regardless of sex capture probability differed seasonally by sex suggesting lower capture probability for females in fall and males in winter there was no evidence for effect of precipitation or site specific differences in survival model averaged estimate of annual adult survival estimated using multistate cmr models was and for subadults we estimated population growth rate k and elasticity proportional sensitivity of k to vital rates using a stage structured matrix population model population growth rate ranged from to depending on the value of the probability of transitioning from subadult to adult stage the k was proportionally most sensitive to changes in adult survival rate followed by subadult survival our results suggest that protecting adult snakes and their habitats would result in the highest likelihood of long term population stability and growth,Population Ecology,,survival and population growth of a long lived threatened snake species drymarchon couperi eastern indigo snake
we studied the population ecology of the west african pig nosed frog hemisus marmoratus to understand the relative contributions of adult survival and recruitment to population growth rate in savannah frogs using mark recapture modelling we marked a total of adult frogs over years and recaptured at least once between years between year adult survival was sex specific and varied between and for males and for females adult survival was significantly associated with annual rainfall and is cause for concern if rainfall declines further in the study region as predicted by changes in the global climate there was a significant interaction between rainfall and sex with dry weather having a stronger negative effect on males than females pig nosed frogs experienced boom and bust years with a single decline more dramatic than increases recruitment in situ and immigration was substantially more important than adult survival in determining realised population growth in situ recruitment was highly variable between years with of eggs and tadpoles released by females into the pond surviving to metamorphosis years of low tadpole survival were associated with high numbers of predatory tortoises thus like other pond breeding anurans pig nosed frogs showed highly variable juvenile recruitment low adult survival and density independent effects on population growth by predators and weather,Oecologia (Berlin),,demographic dynamics of the afro tropical pig nosed frog hemisus marmoratus effects of climate and predation on survival and recruitment
capture mark recapture cmr data from ningaloo marine park nmp in western australia have recently been used to study the population dynamics of the local whale shark aggregation because nascent research efforts at other aggregation points look to nmp as a model further analysis of existing modeling approaches is important we have expanded upon previous studies of nmp whale sharks by estimating cmr survival and recruitment rates as functions of average total length tl our analysis suggests a decline in reported values of tl coincident with marginally increasing abundance among sharks sighted in more than one year returning from to we found a positive average returning recruitment rate e of yr long dash to ci smaller individuals contributed in larger numbers to recruitment allowing for population growth accompanied by a decline in median size we subsequently explored intraseasonal population dynamics with the open robust design ord model structure our best fit model estimated modestly increasing annual abundances between ci to and ci to for to suggesting a short term increase in total annual abundance the ord also estimated an average residency time of d ci to and biweekly entry profiles into the study area overall our techniques demonstrate how large aggregations of the species can be modeled to better understand short and long term population trends these results also show the direct scientific benefit from the development of an online collaborative data management system to increase collection of sighting data for a rare species in conjunction with ecotourism activity,Endangered Species research,,estimating population size structure and residency time for whale sharks rhincodon typus through collaborative photo identification
the northern bald ibis geronticus eremita is a globally threatened species with its main remaining world population breeding in an area of sea cliffs and coastal semi desert steppe near agadir in southern morocco between and we showed experimentally that the small scale provision of fresh water near the breeding colonies led to an increase in the productivity of the birds the increase was greatest in years with low natural rainfall but was positive in all years tested the supplementary fresh water appears to help buffer productivity against the impacts of low rainfall and its provision is now part of the ongoing conservation measures for this species,Ibis,,the provision of supplementary fresh water improves the breeding success of the globally threatened northern bald ibis geronticus eremita
a mark recapture study of a snake assemblage using pitfall traps with drift fences was carried out in a disturbed grassland environment e g cattle breeding and cultivations located in the pampa biome in the central region of the rio grande do sul state southern brazil from february to january we caught snakes belonging to species from the following families elapidae viperidae and colubridae the assemblage had a unimodal seasonal pattern of activity and the highest number of captures occurred between september and may there was a positive and significant correlation between the number of captures and monthly minimum and maximum average temperatures recruitment was observed from january to april during the study the area was affected by human activities which altered the community structure pseudablabes agassizii was negatively affected by habitat devastation while liophis poecilogyrus took advantage of this our results reinforced the impression that pseudablabes agassizii is a habitat specialist species we extend the understanding of the susceptibility of this species to environmental destruction in open natural environments of south america and propose its use as a potential bio indicator of the pampa biome we also discuss the importance of conservation strategies for snakes in grasslands of southern brazil,Annales Zoologici Fennici,,snake assemblage in a disturbed grassland environment in rio grande do sul state southern brazil population fluctuations of liophis poecilogyrus and pseudablabes agassizii
hawksbill sea turtle eretmochelys imbricata nesting on long island antigua west indies also known as jumby bay has been monitored since although the numbers of nesting females remained relatively constant for the first survey seasons inclusion of more recent data in the analysis reveals a statistically significant upward trend in particular neophytes have shown a significant upturn in numbers whereas the remigrant subpopulation has remained stationary this indicates that recruitment is driving the upward trend in the total number of nesters predictive models based on the poisson distribution suggest that the neophyte subpopulation will continue to grow in size by an average of per annum model based predictions and their limitations are discussed the jumby bay hawksbill project which has monitored and protected nesting hawksbills and their eggs since the project s onset is one among several factors that may contribute to the recent increase in nesting females,Animal Conservation,,eighteen years of saturation tagging data reveal a significant increase in nesting hawksbill sea turtles eretmochelys imbricata on long island antigua
an understanding of which native species are severely impacted by an anthropogenic change such as the arrival of an invasive species and which are not is critical to prioritizing conservation efforts however it is difficult to detect such impacts if the native taxa exhibit strong stochastic variations in abundance a natural population decline might be wrongly interpreted as an impact of the invader frillneck lizards chlamydosaurus kingii are large iconic australian agamids and have been reported to decline following the invasion of toxic cane toads we monitored three populations of the species in the savanna woodland of tropical australia over a year period bracketing toad arrival one population crashed one remained stable and one increased hence studies on any single population might have inferred that cane toads have negative negligible or positive effects on frillneck lizards with the benefit of spatial replication and in combination with observations of prey choice by captive lizards our data suggest that invasive cane toads have had little or no effect on frillneck abundance,Austral Ecology,,detecting the impact of invasive species on native fauna cane toads bufo marinus frillneck lizards chlamydosaurus kingii and the importance of spatial replication
demographic analyses suggest that chelonians will have a low ability to withstand harvesting although most have been based on stationary or declining populations in contrast to this prediction a population of testudo graeca grew at the instantaneous rate r from with a doubling time of years r was similar in both adult and cm animals showing that this high rate was not due to changes in population structure and may thus be taken as an intrinsic rate of increase rm rm was higher than that of most large mammals and suggests that sustainable harvesting would be a viable conservation strategy for chelonians if tightly regulated ranching or farming operations for chelonians would be even more likely to succeed given their high fecundity a resumption of trade in mediterranean tortoises is however unlikely to be economically sustainable,Animal Conservation,,implications of high intrinsic growth rate of a tortoise population for conservation
data are presented on sea turtles caught in the chilean longline fishery targeting swordfish xiphias gladius in international waters off chile a total of hooks from sets were observed representing of the total number of hooks fished between and leatherbacks dermochelys coriacea n and loggerheads caretta caretta n were the most common species captured leatherbacks were caught in less than of the sets with an overall mean of turtles per hooks loggerheads were caught in less than of the sets with a mean catch rate of turtles per hooks most leatherbacks of total were caught between degree s and degree s while loggerheads were caught primarily in the northern portion of the area fished between degree minute s and degree minute s all loggerheads were dehooked where appropriate and released alive a total of two leatherbacks were found dead despite the low catch rate of leatherbacks the potential impact of this fishery on the severely depleted nesting populations in the eastern pacific could be significant when combined with other fisheries and threats in the region the very low mortality of bycaught sea turtles observed in our study is encouraging and suggests that there are opportunities for further reducing harmful effects of swordfish longline fishing on sea turtles results of spatial analysis of loggerhead bycatch relative to fishing effort show that closure of the northernmost fishing area would eliminate the majority of the loggerhead bycatch,Biological Conservation,,sea turtle bycatch in the chilean pelagic longline fishery in the southeastern pacific opportunities for conservation
the modes of intrasexual competition interacting in many dispersed societies of nocturnal solitary foragers are still poorly understood in this study we investigate the spatial structure within a free living population of gray mouse lemurs microcebus murinus in order to test for the first time the predictions from two contrasting models of male intrasexual competition on the population level the contest competition model predicts an uneven distribution of the sexes in a population nucleus with a female biased sex ratio in the center and a male biased sex ratio in the periphery in contrast the scramble competition model predicts males and females being distributed evenly throughout their habitat with a constant sex ratio nine capture recapture periods within three consecutive mating seasons revealed a continuous male biased sex ratio in the adult population with even trapping rates for the sexes the male biased sex ratio could either be explained with postnatal female biased mortality or with a male biased natal sex ratio this male biased sex ratio was apparent in all parts of the study site indicating that the population was not subdivided into a female biased core and a male biased periphery furthermore the majority of adult males have been captured at the same as or in vicinity to females consequently a large proportion of males had spatial access to females during the mating season no signs of monopolization of females by certain dominant males could be detected these data support the predictions from the scramble competition model and the concept of a promiscuous mating system for this species,Primates,,contest versus scramble competition for mates the composition and spatial structure of a population of gray mouse lemurs microcebus murinus in north west madagascar
as climate change increasingly threatens biodiversity identifying specific drivers of species loss as well as the attributes of species most vulnerable to climatic disturbances is a key challenge to ecologists and conservationists here we assess the effects of coral loss versus declines in structural complexity on obligate and facultative coral feeding butterflyfishes on coral reefs in the central and western indian ocean in the inner seychelles the abundance of the obligate coral feeding group declined markedly in response to live coral mortality r but showed no further decline with respect to erosion of the physical matrix of the reef conversely the facultative feeding group showed no decline in response to live coral loss reflecting their feeding versatility however they did decline in response to structural erosion of the reef framework r there were no significant changes in either obligate or facultative corallivore abundances at a reference location chagos archipelago highlighting that butterflyfish populations are stable in the absence of habitat disturbance while specialised coral dependant fishes are highly vulnerable to coral loss caused by climate induced coral bleaching the structural collapse of dead coral colonies may have significant but more variable impacts across a wide range of fishes if conservation and mitigation planning are to be effective there is a clear need to better understand the mechanisms of reef structural collapse and the dynamics of system recovery following large scale disturbance,Biodiversity and Conservation,,coral mortality versus structural collapse as drivers of corallivorous butterflyfish decline
directed fishing effort for atlantic bluefin tuna in the gulf of mexico gom their primary spawning grounds in the western atlantic has been prohibited since the s due to a precipitous decline of the spawning stock biomass however pelagic longlines targeted at other species primarily yellowfin tuna and swordfish continue to catch atlantic bluefin tuna in the gom as bycatch spatial and temporal management measures minimizing bluefin tuna bycatch in the gom will likely become important in rebuilding the western atlantic bluefin stock in order to help inform management policy and understand the relative distribution of target and bycatch species in the gom we compared the spatiotemporal variability and environmental influences on the catch per unit effort cpue of yellowfin target and bluefin tuna bycatch catch and effort data from pelagic longline fisheries observers a uac and scientific tagging cruises a uac were coupled with environmental and biological data negative binomial models were used to fit the data for both species and akaike s information criterion corrected for small sample size was used to determine the best model our results indicate that bluefin cpue had higher spatiotemporal variability as compared to yellowfin cpue bluefin cpue increased substantially during the breeding months march june and peaked in april and may while yellowfin cpue remained relatively high throughout the year in addition bluefin cpue was significantly higher in areas with negative sea surface height anomalies and cooler sea surface temperatures which are characteristic of mesoscale cyclonic eddies in contrast yellowfin cpue was less sensitive to environmental variability these differences in seasonal variability and sensitivity to environmental influences suggest that bluefin tuna bycatch in the gom can be reduced substantially by managing the spatial and temporal distribution of the pelagic longline effort without substantially impacting yellowfin tuna catches,PLoS ONE,,comparative influence of ocean conditions on yellowfin and atlantic bluefin tuna catch from longlines in the gulf of mexico
many studies have focused on the effects of anthropogenic habitat alterations on animals but little attention has been given to the effects of natural changes in habitat the purpose of our study was to examine the effects of flooding caused by beaver castor canadensis dams on the spatial ecology of the federally endangered spotted turtle clemmys guttata in a bog in ontario that was historically drained for peat extraction we hypothesized that home range sizes and daily distances traveled would be greater after flooding and that habitat selection would change because turtles would exploit the increase in aquatic habitats post flooding using years of mark recapture data radio telemetry and gis software we compared movements and habitat selection before and after flooding distances traveled and home range sizes were larger post flood compared to pre flood conditions indicating that turtles were opportunistically exploring the new aquatic habitat during pre flooding turtles primarily selected the drainage ditches created to facilitate peat extraction these were the only aquatic habitat available after flooding there was a strong preference for newly flooded areas and drainage ditches showing that turtles exploited the increase in available aquatic habitat our findings indicate that natural habitat alteration resulting from beaver dam flooding may be beneficial for spotted turtles although observations also suggest that nesting habitat may be limited due to the flooding and further research is needed to determine the effect of the flooding on recruitment into the population,Copeia,,the effects of flooding on the spatial ecology of spotted turtles clemmys guttata in a partially mined peatland
