Abstract,Authors,Date_downloaded,Journal,PMID,Title,Year
"Increasing attention to pollinators and their role in providing ecosystem services has revealed a paucity of studies on long-term population trends of most insect pollinators in many parts of the world. Because targeted monitoring programs are resource intensive and unlikely to be performed on most insect pollinators, we took advantage of existing collection records to examine long-term trends in northeastern United States populations of 26 species of hawk moths (family Sphingidae) that are presumed to be pollinators. We compiled over 6,600 records from nine museum and 14 private collections that spanned a 112-year period, and used logistic generalized linear mixed models (GLMMs) to examine long-term population trends. We controlled for uneven sampling effort by adding a covariate for list length, the number of species recorded during each sampling event. We found that of the 22 species for which there was sufficient data to assess population trends, eight species declined and four species increased in detection probability (the probability of a species being recorded during each year while accounting for effort, climate, and spatial effects in the GLMMs). Of the four species with too few records to statistically assess, two have disappeared from parts of their ranges. None of the four species with diurnal adults showed a trend in detection probability. Two species that are pests of solanaceous crops declined, consistent with a seven-fold drop in the area planted in tobacco and tomato crops. We found some evidence linking susceptibility to parasitoidism by the introduced fly Compsilura concinnata (Tachinidae) to declines. Moths with larvae that feed on vines and trees, where available evidence indicates that the fly is most likely to attack, had a greater propensity to decline than species that use herbs and shrubs as larval host plants. Species that develop in the spring, before Compsilura populations have increased, did not decline. However, restricting the analysis to hawk moth records from areas outside of a ""refuge"" area where Compsilura does not occur did not significantly increase the intensity of the declines as would be predicted if Compsilura was the primary cause of declines. Forests have recovered over the study period across most of the northeastern U.S., but this does not appear to have been a major factor because host plants of several of the declining species have increased in abundance with forest expansion and maturation. Climate variables used in the GLMMs were not consistently related to moth detection probability. Hawk moth declines may have ecological effects on both the plants pollinated by these species and vertebrate predators of the moths.","BE Young, S Auer, M Ormes, G Rapacciuolo, D Schweitzer, N Sears",2018-09-03,PloS one,29024317,Are pollinating hawk moths declining in the Northeastern United States? An analysis of collection records.,2017
"Brown bears are known to use rubbing behavior as a means of chemical communication, but the function of this signaling is unclear. One hypothesis that has gained support is that male bears rub to communicate dominance to other males. We tested the communication of dominance hypothesis in a low-density brown bear population in southeast British Columbia. We contrasted rubbing rates for male and female bears during and after the breeding season using ten years of DNA-mark-recapture data for 643 individuals. Here we demonstrate that male brown bears rub 60% more during the breeding than the non-breeding season, while female rubbing had no seasonal trends. Per capita rub rates by males were, on average, 2.7 times higher than females. Our results suggest that the function of rubbing in the Rocky Mountains may not only be to communicate dominance, but also to self-advertise for mate attraction. We propose that the role of chemical communication in this species may be density-dependent, where the need to self-advertise for mating is inversely related to population density and communicating for dominance increases with population density. We suggest that future endeavors to elucidate the function of rubbing should sample the behavior across a range of population densities using camera trap and genotypic data.","CT Lamb, G Mowat, SL Gilbert, BN McLellan, SE Nielsen, S Boutin",2018-09-03,PloS one,28982152,Density-dependent signaling: An alternative hypothesis on the function of chemical signaling in a non-territorial solitary carnivore.,2017
"Little is known about the influence of comprehensive public health initiatives according to out-of-hospital cardiac arrest (OHCA) location, particularly at home, where resuscitation efforts and outcomes have historically been poor.","CB Fordyce, CM Hansen, K Kragholm, ME Dupre, JG Jollis, ML Roettig, LB Becker, SM Hansen, TT Hinohara, CC Corbett, L Monk, RD Nelson, DA Pearson, C Tyson, S van Diepen, ML Anderson, B McNally, CB Granger",2018-09-03,JAMA cardiology,28981540,Association of Public Health Initiatives With Outcomes for Out-of-Hospital Cardiac Arrest at Home and in Public Locations.,2017
"Monitoring population trends of threatened species requires standardized techniques that can be applied over broad areas and repeated through time. Sun bears Helarctos malayanus are a forest dependent tropical bear found throughout most of Southeast Asia. Previous estimates of global population trends have relied on expert opinion and cannot be systematically replicated. We combined data from 1,463 camera traps within 31 field sites across sun bear range to model the relationship between photo catch rates of sun bears and tree cover. Sun bears were detected in all levels of tree cover above 20%, and the probability of presence was positively associated with the amount of tree cover within a 6-km2 buffer of the camera traps. We used the relationship between catch rates and tree cover across space to infer temporal trends in sun bear abundance in response to tree cover loss at country and global-scales. Our model-based projections based on this ""space for time"" substitution suggested that sun bear population declines associated with tree cover loss between 2000-2014 in mainland southeast Asia were ~9%, with declines highest in Cambodia and lowest in Myanmar. During the same period, sun bear populations in insular southeast Asia (Malaysia, Indonesia and Brunei) were projected to have declined at a much higher rate (22%). Cast forward over 30-years, from the year 2000, by assuming a constant rate of change in tree cover, we projected population declines in the insular region that surpassed 50%, meeting the IUCN criteria for endangered if sun bears were listed on the population level. Although this approach requires several assumptions, most notably that trends in abundance across space can be used to infer temporal trends, population projections using remotely sensed tree cover data may serve as a useful alternative (or supplement) to expert opinion. The advantages of this approach is that it is objective, data-driven, repeatable, and it requires that all assumptions be clearly stated.","L Scotson, G Fredriksson, D Ngoprasert, WM Wong, J Fieberg",2018-09-03,PloS one,28979980,Projecting range-wide sun bear population trends using tree cover and camera-trap bycatch data.,2017
"Oceanic islands are among the most endemically biodiverse ecosystems in the world. They have been adversely impacted by human expansion, which affects regional biodiversity by altering the natural habitats of vulnerable, indigenous species. Birds represent a valuable indicator species of environmental change due to their ability to adapt quickly. Investigating the relationship between environmental change, abundance, and behaviors of birds can help us better anticipate potential impacts to island ecosystems. In addition, we can understand the population trends and restricted ranges of native avifauna, identify the regions needing protection, and assess habitat vulnerability linked to anthropogenic activities. In Mo'orea, French Polynesia, we studied nine passerine bird species using automated acoustic recording devices placed in agricultural, forested, and mixed habitats. Based on call counts per unit time and occupancy modeling, we found evidence that three non-native species preferred agricultural areas and low-canopy cover over dense forested areas. Furthermore, native bird detectability and possibly abundance was significantly lower than non-native birds. Using hierarchical cluster analysis to support inferences regarding behavioral differences, we found that native bird calling activity was negatively associated with non-native bird calling activity. Altogether, these results suggest native bird populations are at risk in all of the habitats studied, but forests serve as a potential refuge.","VM ZoBell, BJ Furnas",2018-09-03,PeerJ,28961243,"Impacts of land use and invasive species on native avifauna of Mo'orea, French Polynesia.",2017
Individualized diabetes management would benefit from prospectively identifying well-controlled patients at risk of losing glycemic control.,"RG McCoy, C Ngufor, HK Van Houten, B Caffo, ND Shah",2018-09-03,Medical care,28929014,Trajectories of Glycemic Change in a National Cohort of Adults With Previously Controlled Type 2 Diabetes.,2017
"Land use/cover change (LUCC), a local environmental issue of global importance, and its driving forces have been crucial issues in geography and environmental research. Previous studies primarily focused on major driving factors in various land use types, with few explorations of differences between driving forces of mutual land use type conversions, especially in fragile eco-environments. In this study, Zhangjiakou City, in a farming-pastoral ecotone in Northern China, was taken as an example to analyze land use change between 1989 and 2015, and explore the driving forces of mutual land use type conversions using canonical correlation analysis. Satellite images and government statistics, including social-economic and natural data, were used as sources. Arable land, forestland, and grassland formed the main land use structure. From 1989 to 2015 forestland, orchard land, and construction land significantly increased, while arable land, grassland, unused land, and water areas decreased. Conversions from grassland to forestland; from arable land to orchard land, forestland and construction land; and from unused land to grassland and forestland were the primary land use changes. Among these, the conversion from grassland to forestland had the highest ranking. Average annual precipitation and per capita net income of rural residents positively affected the conversion of arable land to forestland and unused land to grassland. GDP, total population, and urbanization rate contributed most significantly to converting arable land to construction land; total retail sales of social consumer goods, average annual temperature, and GDP had important positive influences in converting arable land to orchard land.","C Liu, Y Xu, P Sun, A Huang, W Zheng",2018-09-03,Environmental monitoring and assessment,28922296,"Land use change and its driving forces toward mutual conversion in Zhangjiakou City, a farming-pastoral ecotone in Northern China.",2017
"The expansion of moose into southern British Columbia caused the decline and extirpation of woodland caribou due to their shared predators, a process commonly referred to as apparent competition. Using an adaptive management experiment, we tested the hypothesis that reducing moose to historic levels would reduce apparent competition and therefor recover caribou populations. Nested within this broad hypothesis were three specific hypotheses: (1) sport hunting could be used to substantially reduce moose numbers to an ecological target; (2) wolves in this ecosystem were primarily limited by moose abundance; and (3) caribou were limited by wolf predation. These hypotheses were evaluated with a before-after control-impact (BACI) design that included response metrics such as population trends and vital rates of caribou, moose, and wolves. Three caribou subpopulations were subject to the moose reduction treatment and two were in a reference area where moose were not reduced. When the moose harvest was increased, the moose population declined substantially in the treatment area (by 70%) but not the reference area, suggesting that the policy had the desired effect and was not caused by a broader climatic process. Wolf numbers subsequently declined in the treatment area, with wolf dispersal rates 2.5× greater, meaning that dispersal was the likely mechanism behind the wolf numerical response, though reduced recruitment and starvation was also documented in the treatment area. Caribou adult survival increased from 0.78 to 0.88 in the treatment area, but declined in the reference. Caribou recruitment was unaffected by the treatment. The largest caribou subpopulation stabilized in the treatment area, but declined in the reference area. The observed population stability is comparable to other studies that used intensive wolf control, but is insufficient to achieve recovery, suggesting that multiple limiting factors and corresponding management tools must be addressed simultaneously to achieve population growth.","R Serrouya, BN McLellan, H van Oort, G Mowat, S Boutin",2018-09-03,PeerJ,28905153,Experimental moose reduction lowers wolf density and stops decline of endangered caribou.,2017
"Changes in tick distribution and abundance are among the main drivers of the (re)emergence of transmitted pathogens. We aimed to uncover the reasons of the reported spread of Dermacentor reticulatus in Poland using a variety of proxies of environmental features, ground-measured temperature and remotely-sensed data of temperature and vegetation. Ground-measured temperature was recorded in 2013-2014, in sites where D. reticulatus presence (n = 16) or absence (n = 16) was confirmed. We specifically aimed to test whether changes in phenology of vegetation and the length of the growing season were correlated with field-derived data regarding the presence/absence of D. reticulatus. We also used categorical descriptions of the habitat to capture the vegetation patterns that might delineate the distribution of the tick. We demonstrated that temperature, phenology of vegetation and length of growing season have no correlation with the occurrence of D. reticulatus in Poland. There is, however, a clear association between the trends of the loss of forests and the presence of the tick. This parameter was two times higher at sites colonized by D. reticulatus in comparison to the sites where the population of the tick is not yet established. A spatial analysis demonstrated that the preferred territories for D. reticulatus are those of a highly fragmented landscape within a large patch of homogeneous vegetation, in the vicinity of permanent water courses or reservoirs.","EJ Mierzejewska, A Estrada-Peña, A Bajer",2018-09-03,Experimental & applied acarology,28875080,Spread of Dermacentor reticulatus is associated with the loss of forest area.,2017
"In the era of minimally invasive surgery, endoscopic and percutaneous interventions for urinary tract stones have become a mainstay, and the need for open stone surgery (OSS) has decreased. We sought to determine the contemporary incidence of OSS among urologists in the United States.","J Lange, R Terlecki",2018-09-03,Journal of endourology,28831655,Persistence of Open Stone Surgery in the United States in the 21st Century.,2017
"Involuntary unemployment due to job loss has been associated with increased risk of cardiovascular events. Whether it also is associated with increased risk of atrial fibrillation (AF) is currently unknown. Therefore, we examined this association in 8,812 participants residing mainly in the Southeastern United States (mean age 58.1 ± 7.8 years; 63.2%; women; 43.2% black) with data on employment status who were enrolled in the REasons for Geographic And Racial Differences in Stroke study between 2003 and 2007 after excluding those with voluntary unemployment (retiree, homemakers, and students). AF was identified by electrocardiogram and past medical history at the same period. The cross-sectional association between status and type of unemployment with AF was examined in multivariable logistic regression models. Additional analysis in 4,273 participants without baseline AF and with data on incident AF collected in a follow-up visit occurred after a median of 9.4 years from baseline was also conducted. In a model adjusted for socio-demographics, health insurance, income, perceived stress, and cardiovascular risk factors, unemployment was associated with 60% increased odds of AF (odds ratio [95% confidence interval] 1.60 (1.24, 2.07)). This association was consistent in subgroups stratified by median age, gender, race, education, income, and health insurance status. Similarly, unemployment was associated with AF in those without AF at baseline who developed incident AF (odds ratio [95% confidence interval] 1.54 (1.04, 2.37)). In conclusion, involuntary unemployment is associated with increased risk of AF. This may call for considering socioeconomic determinants such as unemployment as part of the preventive strategies for AF.","EZ Soliman, ZM Zhang, S Judd, VJ Howard, G Howard",2018-09-03,The American journal of cardiology,28830237,Comparison of Risk of Atrial Fibrillation Among Employed Versus Unemployed (from the REasons for Geographic and Racial Differences in Stroke Study).,2017
"Understanding mutation rates can greatly extend the utility of population and conservation genetic analyses. Herein, we present an estimate of genome-wide microsatellite mutation rate in Atlantic sturgeon (Acipenser oxyrinchus) based on parent-offspring transmission patterns. We screened 307 individuals for parentage and mutation-rate analysis applying 43 variable markers. Out of 13228 allele transfers, 11 mutations were detected, producing a mutation rate of 8.3 × 10-4 per locus per generation (95% confidence interval: 1.48 × 10-3, 4.15 × 10-4). Single-step mutations predominated and there were trends toward mutations in loci with greater polymorphism and allele length. Two of the detected mutations were most probably cluster mutations, being identified in 12 and 28 sibs, respectively. Finally, we observed evidences of polyploidy based on the sporadic presence of 3 or 4 alleles per locus in the genotyped individuals, supporting previous reports of incomplete diploidization in Atlantic sturgeon.","H Panagiotopoulou, JD Austin, K Zalewska, M Gonciarz, K Czarnogórska, J Gawor, P Weglenski, D Popovic",2018-09-03,The Journal of heredity,28822561,Microsatellite Mutation Rate in Atlantic Sturgeon (Acipenser oxyrinchus).,2017
"The rapidly growing human population in sub-Saharan Africa generates increasing demand for agricultural land and forest products, which presumably leads to deforestation. Conversely, a greening of African drylands has been reported, but this has been difficult to associate with changes in woody vegetation. There is thus an incomplete understanding of how woody vegetation responds to socio-economic and environmental change. Here we used a passive microwave Earth observation data set to document two different trends in land area with woody cover for 1992-2011: 36% of the land area (6,870,000 km>2>) had an increase in woody cover largely in drylands, and 11% had a decrease (2,150,000 km>2>), mostly in humid zones. Increases in woody cover were associated with low population growth, and were driven by increases in CO2 in the humid zones and by increases in precipitation in drylands, whereas decreases in woody cover were associated with high population growth. The spatially distinct pattern of these opposing trends reflects, first, the natural response of vegetation to precipitation and atmospheric CO2, and second, deforestation in humid areas, minor in size but important for ecosystem services, such as biodiversity and carbon stocks. This nuanced picture of changes in woody cover challenges widely held views of a general and ongoing reduction of the woody vegetation in Africa.","M Brandt, K Rasmussen, J Peñuelas, F Tian, G Schurgers, A Verger, O Mertz, JRB Palmer, R Fensholt",2018-09-03,Nature ecology & evolution,28821182,Human population growth offsets climate-driven increase in woody vegetation in sub-Saharan Africa.,2017
"Machine learning may be useful to characterize cardiovascular risk, predict outcomes, and identify biomarkers in population studies.","B Ambale-Venkatesh, X Yang, CO Wu, K Liu, WG Hundley, R McClelland, AS Gomes, AR Folsom, S Shea, E Guallar, DA Bluemke, JAC Lima",2018-09-03,Circulation research,28812661,Cardiovascular Event Prediction by Machine Learning: The Multi-Ethnic Study of Atherosclerosis.,2017
"The majority of the world's terrestrial large carnivores have undergone substantial range contractions and many of these species are currently threatened with extinction. However, there has been little effort to fully quantify the extent of large carnivore range contractions, which hinders our ability to understand the roles and relative drivers of such trends. Here we present and analyse a newly constructed and comprehensive set of large carnivore range contraction maps. We reveal the extent to which ranges have contracted since historical times and identify regions and biomes where range contractions have been particularly large. In summary, large carnivores that have experienced the greatest range contractions include the red wolf (Canis rufus) (greater than 99%), Ethiopian wolf (Canis simensis) (99%), tiger (Panthera tigris) (95%) and lion (Panthera leo) (94%). In general, the greatest range contractions occurred in Southeastern Asia and Africa. Motivated by the ecological importance of intact large carnivore guilds, we also examined the spatial extent of intact large carnivore guilds both for the entire world and regionally. We found that intact carnivore guilds occupy just 34% of the world's land area. This compares to 96% in historic times. Spatial modelling of range contractions showed that contractions were significantly more likely in regions with high rural human population density, cattle density or cropland. Our results offer new insights into how best to prevent further range contractions for the world's largest carnivores, which will assist efforts to conserve these species and their important ecological effects.","C Wolf, WJ Ripple",2018-09-03,Royal Society open science,28794054,Range contractions of the world's large carnivores.,2017
"Long-term decline and depression of density in cyclic small rodents is a recent widespread phenomenon. These observed changes at the population level might have cascading effects at the ecosystem level. Here, we assessed relationships between changing boreal landscapes and biodiversity changes of small mammal communities. We also inferred potential effects of observed community changes for increased transmission risk of Puumala virus (PUUV) spread, causing the zoonotic disease nephropatica epidemica in humans. Analyses were based on long-term (1971-2013) monitoring data of shrews and voles representing 58 time series in northern Sweden. We calculated richness, diversity, and evenness at alpha, beta, and gamma level, partitioned beta diversity into turnover (species replacement) and nestedness (species addition/removal), used similarity percentages (SIMPER) analysis to assess community structure, and calculated the cumulated number of PUUV-infected bank voles and average PUUV prevalence (percentage of infected bank voles) per vole cycle. Alpha, beta, and gamma richness and diversity of voles, but not shrews, showed long-term trends that varied spatially. The observed patterns were associated with an increase in community contribution of bank vole (Myodes glareolus), a decrease of gray-sided vole (M. rufocanus) and field vole (Microtus agrestis) and a hump-shaped variation in contribution of common shrew (Sorex araneus). Long-term biodiversity changes were largely related to changes in forest landscape structure. Number of PUUV-infected bank voles in spring was negatively related to beta and gamma diversity, and positively related to turnover of shrews (replaced by voles) and to community contribution of bank voles. The latter was also positively related to average PUUV prevalence in spring. We showed that long-term changes in the boreal landscape contributed to explain the decrease in biodiversity and the change in structure of small mammal communities. In addition, our results suggest decrease in small mammal diversity to have knock-on effects on dynamics of infectious diseases among small mammals with potential implications for disease transmission to humans.","F Ecke, DG Angeler, M Magnusson, H Khalil, B Hörnfeldt",2018-09-03,Ecology and evolution,28791136,"Dampening of population cycles in voles affects small mammal community structure, decreases diversity, and increases prevalence of a zoonotic disease.",2017
"Much biodiversity data is collected worldwide, but it remains challenging to assemble the scattered knowledge for assessing biodiversity status and trends. The concept of Essential Biodiversity Variables (EBVs) was introduced to structure biodiversity monitoring globally, and to harmonize and standardize biodiversity data from disparate sources to capture a minimum set of critical variables required to study, report and manage biodiversity change. Here, we assess the challenges of a 'Big Data' approach to building global EBV data products across taxa and spatiotemporal scales, focusing on species distribution and abundance. The majority of currently available data on species distributions derives from incidentally reported observations or from surveys where presence-only or presence-absence data are sampled repeatedly with standardized protocols. Most abundance data come from opportunistic population counts or from population time series using standardized protocols (e.g. repeated surveys of the same population from single or multiple sites). Enormous complexity exists in integrating these heterogeneous, multi-source data sets across space, time, taxa and different sampling methods. Integration of such data into global EBV data products requires correcting biases introduced by imperfect detection and varying sampling effort, dealing with different spatial resolution and extents, harmonizing measurement units from different data sources or sampling methods, applying statistical tools and models for spatial inter- or extrapolation, and quantifying sources of uncertainty and errors in data and models. To support the development of EBVs by the Group on Earth Observations Biodiversity Observation Network (GEO BON), we identify 11 key workflow steps that will operationalize the process of building EBV data products within and across research infrastructures worldwide. These workflow steps take multiple sequential activities into account, including identification and aggregation of various raw data sources, data quality control, taxonomic name matching and statistical modelling of integrated data. We illustrate these steps with concrete examples from existing citizen science and professional monitoring projects, including eBird, the Tropical Ecology Assessment and Monitoring network, the Living Planet Index and the Baltic Sea zooplankton monitoring. The identified workflow steps are applicable to both terrestrial and aquatic systems and a broad range of spatial, temporal and taxonomic scales. They depend on clear, findable and accessible metadata, and we provide an overview of current data and metadata standards. Several challenges remain to be solved for building global EBV data products: (i) developing tools and models for combining heterogeneous, multi-source data sets and filling data gaps in geographic, temporal and taxonomic coverage, (ii) integrating emerging methods and technologies for data collection such as citizen science, sensor networks, DNA-based techniques and satellite remote sensing, (iii) solving major technical issues related to data product structure, data storage, execution of workflows and the production process/cycle as well as approaching technical interoperability among research infrastructures, (iv) allowing semantic interoperability by developing and adopting standards and tools for capturing consistent data and metadata, and (v) ensuring legal interoperability by endorsing open data or data that are free from restrictions on use, modification and sharing. Addressing these challenges is critical for biodiversity research and for assessing progress towards conservation policy targets and sustainable development goals.","WD Kissling, JA Ahumada, A Bowser, M Fernandez, N Fernández, EA García, RP Guralnick, NJB Isaac, S Kelling, W Los, L McRae, JB Mihoub, M Obst, M Santamaria, AK Skidmore, KJ Williams, D Agosti, D Amariles, C Arvanitidis, L Bastin, F De Leo, W Egloff, J Elith, D Hobern, D Martin, HM Pereira, G Pesole, J Peterseil, H Saarenmaa, D Schigel, DS Schmeller, N Segata, E Turak, PF Uhlir, B Wee, AR Hardisty",2018-09-03,Biological reviews of the Cambridge Philosophical Society,28770071,Building essential biodiversity variables (EBVs) of species distribution and abundance at a global scale.,2018
"Approximately 300,000 U.S. adolescents sustain concussions annually while participating in organized athletics. This study aimed to track sex and sport-specific trends among high school sports-related concussions over time, to identify whether a particular sport predisposes athletes to a higher risk, and to assess whether traumatic brain injury law enactments have been successful in improving recognition.","MS Schallmo, JA Weiner, WK Hsu",2018-09-03,The Journal of bone and joint surgery. American volume,28766908,Sport and Sex-Specific Reporting Trends in the Epidemiology of Concussions Sustained by High School Athletes.,2017
"Natriuretic peptides (NP) are cardiac-derived hormones with favorable cardiometabolic actions. Low NP levels are associated with increased risks of hypertension and diabetes mellitus, conditions with variable prevalence by race and ethnicity. Heritable factors underlie a significant proportion of the interindividual variation in NP concentrations, but the specific influences of race and ancestry are unknown. In 5597 individuals (40% white, 24% black, 23% Hispanic, and 13% Chinese) without prevalent cardiovascular disease at baseline in the Multi-Ethnic Study of Atherosclerosis, multivariable linear regression and restricted cubic splines were used to estimate differences in serum N-terminal pro B-type natriuretic peptide (NT-proBNP) levels according to, ethnicity, and ancestry. Ancestry was determined using genetic ancestry informative markers. NT-proBNP concentrations differed significantly by race and ethnicity (black, median 43 pg/ml [interquartile range 17 to 94], Chinese 43 [17 to 90], Hispanic 53 [23 to 107], white 68 [34 to 136]; p = 0.0001). In multivariable models, NT-proBNP was 44% lower (95% confidence interval -48 to -40) in black and 46% lower (-50 to -41) in Chinese, compared with white individuals. Hispanic individuals had intermediate concentrations. Self-identified blacks and Hispanics were the most genetically admixed. Among self-identified black individuals, a 20% increase in genetic European ancestry was associated with 12% higher (1% to 23%) NT-proBNP. Among Hispanic individuals, genetic European and African ancestry were positively and negatively associated with NT-proBNP levels, respectively. In conclusion, NT-proBNP levels differ according to race and ethnicity, with the lowest concentrations in black and Chinese individuals. Racial and ethnic differences in NT-proBNP may have a genetic basis, with European and African ancestry associated with higher and lower NT-proBNP concentrations, respectively.","DK Gupta, LB Daniels, S Cheng, CR deFilippi, MH Criqui, AS Maisel, JA Lima, H Bahrami, P Greenland, M Cushman, R Tracy, D Siscovick, AG Bertoni, V Cannone, JC Burnett, JJ Carr, TJ Wang",2018-09-03,The American journal of cardiology,28763417,Differences in Natriuretic Peptide Levels by Race/Ethnicity (From the Multi-Ethnic Study of Atherosclerosis).,2017
"Insects brain as a part of nervous system is the first-line of fast stress response that integrate stress signals to regulate all aspects of insect physiology and behaviour. The cadmium (Cd) bioaccumulation factor (BF), activity of the neurotoxicity biomarker acetylcholinesterase (AChE), dopamine content, expression and amount of Hsp70 in the brain and locomotor activity were evaluated in the 4th instar of Lymantria dispar L. caterpillars fed a Cd supplemented diet and reared in an optimal temperature regime (23 °C) and/or exposed to high temperature (28 °C). The insects originated from two forests, one close to ""Nikola Tesla"" thermoelectric power plant, Obrenovac (polluted population), and the other Kosmaj mountain (less-polluted population, far from any industrial region). The Cd BF was higher in the less-polluted than in the polluted population especially at the high ambient temperature. AChE activity and dopamine content were changed in the brains of L. dispar from both populations in the same manner. Hsp70 concentration in caterpillar brains showed opposite trends, a decrease in the less-polluted and an increase in the polluted population. Locomotor activity was modified in both Lymantria dispar populations, but the pattern of changes depended on the stressors and their combined effect. ACh activity and dopamine content are sensitive parameters to Cd exposure, regardless of pollutant experience, and might be promising biomarkers in monitoring forest ecosystems.","V Perić-Mataruga, B Petković, L Ilijin, M Mrdaković, S Dronjak Čučaković, D Todorović, M Vlahović",2018-09-03,Chemosphere,28750825,Cadmium and high temperature effects on brain and behaviour of Lymantria dispar L. caterpillars originating from polluted and less-polluted forests.,2017
"Blacks have higher coronary heart disease (CHD) mortality compared with whites. However, a previous study suggests that nonfatal CHD risk may be lower for black versus white men.","LD Colantonio, CM Gamboa, JS Richman, EB Levitan, EZ Soliman, G Howard, MM Safford",2018-09-03,Circulation,28728120,"Black-White Differences in Incident Fatal, Nonfatal, and Total Coronary Heart Disease.",2017
"Understanding the abundance change of certain bacterial taxa is quite important for the study of soil microbiology. However, the observed differences of relative abundances by high-throughput techniques may not accurately reflect those of the actual taxon abundances. This study investigated whether soil microbial abundances coupling with microbial quantities can be more informative in describing the microbial population distribution under different locations. We analyzed relative abundances of the major species in soil microbial communities from Beijing and Tibet grasslands by using 16 S rRNA high-throughput sequencing technique, and quantified the absolute bacterial cell numbers directly or indirectly by multiple culture-independent measurements, including adenosine tri-phosphate (ATP), flow cytometry (FCM), quantitative real-time PCR (qPCR), phospholipid fatty acids (PLFA) and microbial biomass Carbon (MBC). By comparison of the relative abundance and the estimated absolute abundances (EAA) of the major components in soil microbial communities, several dominant phyla, including Actinobacteria, Bacteroidetes, Verrucomicrobia, Chloroflexi, Gemmatimonates and Planctomycetes, showed significantly different trends. These results indicated that the change in EAA might be more informative in describing the dynamics of a population in a community. Further studies of soil microbes should combine the quantification and relative abundances of the microbial communities for the comparisons among various locations.","Z Zhang, Y Qu, S Li, K Feng, S Wang, W Cai, Y Liang, H Li, M Xu, H Yin, Y Deng",2018-09-03,Scientific reports,28696265,Soil bacterial quantification approaches coupling with relative abundances reflecting the changes of taxa.,2017
"Babesiosis is an emerging zoonotic disease caused primarily by Babesia microti, an intraerythocytic protozoan. Babesia microti, like the causal agents for Lyme disease and anaplasmosis, is endemic to the northeastern and upper midwestern United States where it is usually transmitted by the blacklegged tick, Ixodes scapularis. Although babesiosis is usually a mild to moderate illness, older or immunocompromised persons can develop a serious malaria-like illness that can be fatal without prompt treatment. The most common initial clinical signs and symptoms of babesiosis (fever, fatigue, chills, and diaphoresis) are nonspecific and present diagnostic challenges that can contribute to delays in diagnosis and effective treatment with atovaquone and azithromycin (1). Results of one study revealed a mean delay of 12-14 days from symptom onset to treatment (2). Knowledge of the incidence and geographic distribution of babesiosis can raise the index of clinical suspicion and facilitate more prompt diagnosis and lifesaving treatment (1). The first known case of babesiosis in Wisconsin was detected in 1985 (3), and babesiosis became officially reportable in the state in 2001. Wisconsin babesiosis surveillance data for 2001-2015 were analyzed in 3-year intervals to compare demographic, epidemiologic, and laboratory features among patients with cases of reported babesiosis. To determine possible reasons for an increase in reported Babesia infection, trends in electronic laboratory reporting and diagnosis by polymerase chain reaction testing (PCR) were examined. Between the first and last 3-year analysis intervals, there was a 26-fold increase in the incidence of confirmed babesiosis, in addition to geographic expansion. These trends might be generalizable to other states with endemic disease, similar suburbanization and forest fragmentation patterns, and warming average temperatures (4). Accurate surveillance in states where babesiosis is endemic is necessary to estimate the increasing burden of babesiosis and other tickborne diseases and to develop appropriate public health interventions for prevention and practice.","E Stein, LI Elbadawi, J Kazmierczak, JP Davis",2018-09-03,MMWR. Morbidity and mortality weekly report,28684789,"Babesiosis Surveillance - Wisconsin, 2001-2015.",2017
"In spite of significant progress towards malaria control and elimination achieved in South America in the 2000s, this mosquito-transmitted tropical disease remains an important public health concern in the region. Most malaria cases in South America come from Amazon rain forest areas in northern countries, where more than half of malaria is caused by Plasmodium vivax, while Plasmodium falciparum malaria incidence has decreased in recent years. This review discusses current malaria data, policies and challenges in four South American Amazon countries: Brazil, Colombia, Peru and the Bolivarian Republic of Venezuela. Challenges to continuing efforts to further decrease malaria incidence in this region include: a significant increase in malaria cases in recent years in Venezuela, evidence of submicroscopic and asymptomatic infections, peri-urban malaria, gold mining-related malaria, malaria in pregnancy, glucose-6-phosphate dehydrogenase (G6PD) deficiency and primaquine use, and possible under-detection of Plasmodium malariae. Some of these challenges underscore the need to implement appropriate tools and procedures in specific regions, such as a field-compatible molecular malaria test, a P. malariae-specific test, malaria diagnosis and appropriate treatment as part of regular antenatal care visits, G6PD test before primaquine administration for P. vivax cases (with weekly primaquine regimen for G6PD deficient individuals), single low dose of primaquine for P. falciparum malaria in Colombia, and national and regional efforts to contain malaria spread in Venezuela urgently needed especially in mining areas. Joint efforts and commitment towards malaria control and elimination should be strategized based on examples of successful regional malaria fighting initiatives, such as PAMAFRO and RAVREDA/AMI.","J Recht, AM Siqueira, WM Monteiro, SM Herrera, S Herrera, MVG Lacerda",2018-09-03,Malaria journal,28683059,"Malaria in Brazil, Colombia, Peru and Venezuela: current challenges in malaria control and elimination.",2017
