,Abstract,Date_downloaded,Journal,PMID,Title
31313,"Recently, increasing numbers of long noncoding RNAs (lncRNAs), with both oncogenic and tumor-suppressive potential, have been found to be aberrantly expressed in various human cancers. However, the function of lncRNAs in hepatocellular carcinoma (HCC) progression remains largely unknown. In this study, we performed a comprehensive microarray analysis of lncRNA expression using human HCC specimens. After validation in 119 human HCC tissues, we identified a novel tumor suppressor lncRNA, CPS1 intronic transcript 1 (CPS1-IT1). To elucidate the clinical significance of CPS1-IT1 in HCC, correlations between CPS1-IT1 levels, clinical parameters, and survival outcomes were analyzed. In vitro and in vivo functional assays were also performed to dissect the potential underlying mechanisms. Expression of CPS1-IT1 was significantly decreased in 73% of HCC tissues, and patients with low CPS1-IT1 expression had poor survival outcomes. Furthermore, in vitro functional assays indicated that CPS1-IT1 significantly reduced cell proliferation, migration and invasion capacities through reduced Hsp90 binding to and activation of HIF-1α, thereby suppressing the epithelial-mesenchymal transition (EMT). An in vivo animal model also demonstrated the tumor suppressor role of CPS1- IT1 via decreased tumor growth and metastasis. In conclusion, lncRNA CPS1-IT1 acts as a tumor suppressor in HCC by reducing HIF-1α activation and suppressing EMT. The findings of this study establish a function for CPS1-IT1 in HCC progression and suggest its potential as a new prognostic biomarker and target for HCC therapy.",2018-07-20,Oncotarget,27248828.0,Long noncoding RNA CPS1-IT1 suppresses the metastasis of hepatocellular carcinoma by regulating HIF-1α activity and inhibiting epithelial-mesenchymal transition.
87538,"Animal foraging has been characterized as an attempt to maximize the intake of carbon and nitrogen at appropriate ratios. Plant species in over 90 families produce carbohydrate-rich extrafloral nectar (EFN), a resource attractive to ants and other omnivorous insects. This attraction can benefit the plant if those arthropods subsequently attack herbivores. This protective response has been attributed to the increased visitation and ""ownership"" of plants that provide a predictable source of fuel. Here, we propose and test an alternative (but non-mutually exclusive) hypothesis, that access to C-rich carbohydrates increases the ants' desire for N-rich protein and hence the likelihood that they will attack herbivorous insects on the host plant. This ""deficit hypothesis"" would be rejected if (1) EFN were itself a sufficiently balanced food source in terms of C and N, (2) ant dietary preferences were similar in the presence vs. absence of EFN, (3) protein-hungry ants were not more predaceous, or (4) ants provided access to protein were more aggressive toward potential prey items than were ants provided access to carbohydrates. We test these predictions in a protective mutualism between a guild of desert ants and the barrel cactus Ferocactus wislizeni. C:N ratios of EFN exceeded that of ants or potential prey items by an order of magnitude (i.e., EFN is an N-poor food for ants). Baiting studies demonstrated that plant-tending ant species recruited more workers to N-rich protein baits than to C-rich sugar baits; this difference was more pronounced when the ants had access to F. wislizeni EFN. From these data, we infer that protein is a valuable resource and that its relative value increases when carbohydrates are readily available. Moreover, ant colonies provided access to supplemental carbohydrates responded more aggressively to surrogate herbivores than did control colonies (to which no additional resources were provided) or colonies provided protein. These results support the predictions of the ""deficit"" hypothesis, wherein plant protection is elicited by plant-mediated dietary imbalances.",2018-07-20,Ecology,19886490.0,"For ant-protected plants, the best defense is a hungry offense."
24283,"Chenopodium album L. is a common edible herb distributed in China that has been used as a traditional Chinese medicine for antiviral, antifungal, anti-inflammatory and cancer treatment. However, to the best of our knowledge no previous reports have investigated its the function of its phytochemical extracts in lung cancer cells. The purpose of the present study was to assess the anticancer activities of the phytochemical extracts of C. album L. on human non-small cell lung cancer A549 cells. The present findings demonstrated that the petroleum ether (PE) extract of C. album L. exhibited significant growth inhibitory effects on A549 with an IC50 value of 33.31±2.79 µg/ml. As determined by MTT and colony formation assays, its growth inhibitory effects were dose- and time-dependent. Furthermore, PE extract-treated A549 cells exhibited dose-dependent cell growth arrest at the G1 phase of the cell cycle and cell apoptosis was induced. These results provide useful data on the anticancer activities of C. album L. in human lung cancer and demonstrated the novel possibilities of this plant in developing lung cancer therapies.",2018-07-20,Experimental and therapeutic medicine,27882153.0,Petroleum ether extract of Chenopodium album L. prevents cell growth and induces apoptosis of human lung cancer cells.
67569,"Indicators of resource use such as material and energy flow accounts, emission data and the ecological footprint inform societies about their performance by evaluating resource use efficiency and the effectiveness of sustainability policies. The human appropriation of net primary production (HANPP) is an indicator of land-use intensity on each nation's territory used in research as well as in environmental reports. 'Embodied HANPP' (eHANPP) measures the HANPP anywhere on earth resulting from a nation's domestic biomass consumption. The objectives of this article are (i) to study the relation between eHANPP and other resource use indicators and (ii) to analyse socioeconomic and natural determinants of global eHANPP patterns in the year 2000. We discuss a statistical analysis of >140 countries aiming to better understand these relationships. We found that indicators of material and energy throughput, fossil-energy related CO2 emissions as well as the ecological footprint are highly correlated with each other as well as with GDP, while eHANPP is neither correlated with other resource use indicators nor with GDP, despite a strong correlation between final biomass consumption and GDP. This can be explained by improvements in agricultural efficiency associated with GDP growth. Only about half of the variation in eHANPP can be explained by differences in national land-use systems, suggesting a considerable influence of trade on eHANPP patterns. eHANPP related with biomass trade can largely be explained by differences in natural endowment, in particular the availability of productive area. We conclude that eHANPP can deliver important complimentary information to indicators that primarily monitor socioeconomic metabolism.",2018-07-20,Ecological indicators,23470886.0,Natural and socioeconomic determinants of the embodied human appropriation of net primary production and its relation to other resource use indicators.
38503,"The deep-water crangonid Parapontophilus occidentalis (Faxon, 1893) is endemic to the eastern Pacific and has been reported from Mexico to Chile, in depths of 837-4082 m. Material collected off the west coast of the Baja California Peninsula (BCP) during the TALUD XV, XVI and XVI-B cruises consists of a series of 136 specimens (M:F = 1:3.6) with 30 % of ovigerous females. The material examined was captured in depths of 1296-2093 m. Size ranged from 8.4 to 16.1 mm CL, with females being significantly larger than males. Number of eggs carried by ovigerous females ranged from 7 to 998, without a significant relationship between female size and number of eggs. Using only data of females carrying at least 100 eggs, egg mass weight varied from 0.036 to 0.181 g. Size of oval-shaped eggs also varied considerably (0.515 to 0.922 mm). Larger densities of P. occidentalis were observed between 1700 and 2100 m, where larger individuals were collected, and sex proportions differed across all depth strata. At the northern BCP, P. occidentalis was collected at dissolved oxygen concentrations from 0.76 to 1.83 ml l(-1), at temperature from 2.1 to 3.4°C, and salinity from 34.54 to 34.63 kg g(-1). Density of P. occidentalis was positively correlated with dissolved oxygen, salinity, and silt contribution to sediments, and negatively correlated with temperature and primary productivity five months before sampling.",2018-07-20,Zootaxa,26623816.0,"Insights on the biology and ecology of the deep-water shrimp Parapontophilus occidentalis (Faxon, 1893) (Crustacea: Caridea: Crangonidae) in the eastern Pacific with notes on its morphology."
13487,"The peer-reviewed marine pharmacology literature from 2012 to 2013 was systematically reviewed, consistent with the 1998-2011 reviews of this series. Marine pharmacology research from 2012 to 2013, conducted by scientists from 42 countries in addition to the United States, reported findings on the preclinical pharmacology of 257 marine compounds. The preclinical pharmacology of compounds isolated from marine organisms revealed antibacterial, antifungal, antiprotozoal, antituberculosis, antiviral and anthelmitic pharmacological activities for 113 marine natural products. In addition, 75 marine compounds were reported to have antidiabetic and anti-inflammatory activities and affect the immune and nervous system. Finally, 69 marine compounds were shown to display miscellaneous mechanisms of action which could contribute to novel pharmacological classes. Thus, in 2012-2013, the preclinical marine natural product pharmacology pipeline provided novel pharmacology and lead compounds to the clinical marine pharmaceutical pipeline, and contributed significantly to potentially novel therapeutic approaches to several global disease categories.",2018-07-20,Marine drugs,28850074.0,"Marine Pharmacology in 2012-2013: Marine Compounds with Antibacterial, Antidiabetic, Antifungal, Anti-Inflammatory, Antiprotozoal, Antituberculosis, and Antiviral Activities; Affecting the Immune and Nervous Systems, and Other Miscellaneous Mechanisms of Action."
58727,"Plant communities can respond to environmental changes by altering their species composition and by individuals (within species) adjusting their physiology. These responses can be captured by measuring key functional traits among and within species along important environmental gradients. Some anthropogenic changes (such as fertilizer runoff) are known to induce distinct community responses, but rarely have responses across natural and anthropogenic gradients been compared in the same system. In this study, we used comprehensive specific leaf area (SLA) data from a diverse Australian annual plant system to examine how individual species and whole communities respond to natural and anthropogenic gradients, and to climatically different growing seasons. We also investigated the influence of different leaf-sampling strategies on community-level results. Many species had similar mean SLA values but differed in SLA responses to spatial and temporal environmental variation. At the community scale, we identified distinct SLA responses to natural and anthropogenic gradients. Along anthropogenic gradients, increased mean SLA, coupled with SLA convergence, revealed evidence of competitive exclusion. This was further supported by the dominance of species turnover (vs. intraspecific variation) along these gradients. We also revealed strong temporal changes in SLA distributions in response to increasing growing-season precipitation. These climate-driven changes highlight differences among co-occurring species in their adaptive capacity to exploit abundant water resources during favorable seasons, differences that are likely to be important for species coexistence in this system. In relation to leaf-sampling strategies, we found that using leaves from a climatically different growing season can lead to misleading conclusions at the community scale.",2018-07-20,Ecology,24669733.0,Specific leaf area responses to environmental gradients through space and time.
32686,"Quaternary environmental changes substantially impacted the landscape and promoted rapid evolutionary changes in many species; however, analyses of adaptive phenotypic variation in plants have usually neglected the underlying historical context. Here, we associate phylogeography and phenotypic evolution by analysing the divergence of Calceolaria polyrhiza multivariate floral phenotype after a Pleistocene post-glacial expansion in Patagonia. Phenotypic matrix (P) properties (size, shape, orientation and phenotypic integration) of six refugium and six recent populations from two different phylogroups were compared following different approaches. We found that P-matrix shape and orientation remained stable despite the strong phylogeographic footprint of post-glacial expansion. However, average proportional reductions in matrix size supported the expectation that drift had a significant effect on the floral phenotype in the northern phylogroup. When phylogeographic history was not included in the analyses, the results overestimated phenotypic differences, whereas under explicit phylogeographic control, drift appeared as the best explanation for matrix differences. In general, recent populations showed a larger phenotypic divergence among them, but a lower overall phenotypic variation than refugium populations. Random Skewers analyses indicated a lower potential response to selection in recently colonized populations than in refugium populations. We discuss that the combination of phylogeographic analyses with geographical distribution of functional phenotypic (genotypic) variation is critical not only to understand how historical effects influence adaptive evolution, but also to improve field comparisons in evolutionary ecology studies.",2018-07-20,Journal of evolutionary biology,27124740.0,Drift effects on the multivariate floral phenotype of Calceolaria polyrhiza during a post-glacial expansion in Patagonia.
13096,"Soil seed banks can be important components of ecological restoration, particularly if the species remain viable in the soil for long periods of time. A germination experiment was conducted in the greenhouse to determine seed bank viability based on length of time farmed. Soils from sedge meadows farmed between 0 and 50 years were collected in Sanjiang Plain, China. Most dominant sedges (e.g., Carex schmidtii, C. lasiocarpa) and grasses (e.g. Calamagrostis angustifolia) survived as seeds if farmed for less than 5 years, therefore fields farmed for short periods of time are the best candidates for wetland restoration. Certain important structural components (tussock-forming Carex spp.) are not retained in seed banks when farmed for 6-15 years, but the seed banks still contained viable seeds of other important sedge meadow species, which could contribute to the restoration of wetland communities. However, most sedge meadow species were missing in fields farmed for more than 16 years, which make these fields difficult to restore via natural recolonization. We conclude that the duration of farming can be used as a general indicator of the potential of natural restoration for sedge meadows. This information could be used to determine which wetlands might be targeted for restoration.",2018-07-20,Scientific reports,28878345.0,Duration of farming is an indicator of natural restoration potential of sedge meadows.
13396,"Crosstalk between the nuclear epigenome and mitochondria, both in normal physiological function and in responses to environmental toxicant exposures, is a developing sub-field of interest in environmental and molecular toxicology. The majority (∼99%) of mitochondrial proteins are encoded in the nuclear genome, so programmed communication among nuclear, cytoplasmic, and mitochondrial compartments is essential for maintaining cellular health. In this review, we will focus on correlative and mechanistic evidence for direct impacts of each system on the other, discuss demonstrated or potential crosstalk in the context of chemical insult, and highlight biological research questions for future study. We will first review the two main signaling systems: nuclear signaling to the mitochondria [anterograde signaling], best described in regulation of oxidative phosphorylation (OXPHOS) and mitochondrial biogenesis in response to environmental signals received by the nucleus, and mitochondrial signals to the nucleus [retrograde signaling]. Both signaling systems can communicate intracellular energy needs or a need to compensate for dysfunction to maintain homeostasis, but both can also relay inappropriate signals in the presence of dysfunction in either system and contribute to adverse health outcomes. We will first review these two signaling systems and highlight known or biologically feasible epigenetic contributions to both, then briefly discuss the emerging field of epigenetic regulation of the mitochondrial genome, and finally discuss putative ""crosstalk phenotypes"", including biological phenomena, such as caloric restriction, maintenance of stemness, and circadian rhythm, and states of disease or loss of function, such as cancer and aging, in which both the nuclear epigenome and mitochondria are strongly implicated.",2018-07-20,Toxicology,28855114.0,Mitochondrial-epigenetic crosstalk in environmental toxicology.
67717,"Review of data from several contaminated sediment sites suggested that biota-sediment accumulation factors (BSAFs) declined with increasing contaminant concentrations in the sediment. To evaluate the consistency and possible causes of this behavior, polychlorinated biphenyl (PCB)-contaminated sediment samples from the Hudson, Grasse, and Fox River Superfund sites were used in sediment bioaccumulation tests with the freshwater oligochaete, Lumbriculus variegatus, with PCB concentrations in interstitial water (IW) quantified using polyoxymethylene passive samplers. Measured BSAFs tended to decrease with increasing PCB concentration in sediment, especially for the more highly chlorinated congeners. Measures of partitioning between sediment, IW, and oligochaetes showed that measured sediment-IW partition coefficients (KTOC ) tended to increase slightly with increasing sediment contamination, whereas the ratio of tissue PCB to IW PCB tended to decrease with increasing concentration in IW. Variation in accumulation among sediments was clearly influenced by bioavailability, as reflected by IW measurements, although the specific cause of varying KTOC was not clear. Calculated partitioning between IW and organism lipid (Klipid ) indicated that accumulation was generally 5 to 10-fold higher than would be predicted if Klipid was approximately equal to the n-octanol-water partition coefficient (KOW ). While affirming previous observations of decreasing BSAFs with increasing PCB contamination, the relatively shallow slope of the observed relationship in the current data may suggest that this concentration dependence is not a major uncertainty in sediment risk assessment, particularly if measurements of PCBs in IW are incorporated.",2018-07-20,Environmental toxicology and chemistry,23450771.0,Evaluation of PCB bioaccumulation by Lumbriculus variegatus in field-collected sediments.
9411,"Recently, a comprehensive review paper devoted to roles of nano-Se in livestock and fish nutrition has been published in the Nanoscale Research Letters. The authors described in great details an issue related to nano-Se production and its possible applications in animal industry and medicine. However, molecular mechanisms of nano-Se action were not described and the question of how nano-Se is converted into active selenoproteins is not resolved. It seems likely that the gut microbiota can convert nano-Se into selenite, H2Se or Se-phosphate with the following synthesis of selenoproteins. This possibility needs to be further studied in detail, and advantages and disadvantages of nano-Se as a source of Se in animal/poultry/fish nutrition await critical evaluations.",2018-07-20,Nanoscale research letters,29204909.0,Nano-Se Assimilation and Action in Poultry and Other Monogastric Animals: Is Gut Microbiota an Answer?
88502,"Psoroptic mange in sheep, resulting from infestation by the astigmatid mite Psoroptes ovis, is increasingly prevalent in Europe and other parts of the world. As a step towards improved national control, regional or local scab management programmes that target high-risk areas and aim to maintain the number of outbreaks below an acceptable level may be an effective initial use of time and resource. To facilitate such a management approach, in this paper scab outbreak farms are identified using a questionnaire survey of sheep farmers, the data from which are then used to build a national scab risk model for Great Britain. The questionnaire results indicate a national prevalence of scab, between March 2007 and February 2008, of 8.6% (+/-1.98). However, previous exposure to sheep scab significantly affected the respondent's probability of reporting a scab outbreak during the survey period (chi(2)=53.2, d.f.=1, P<0.001); 85% of the farms that reported at least one scab outbreak had experienced outbreaks in previous years, 27% had experienced outbreaks in more than five of the previous 10 years. In contrast, 76% of farms that did not report scab had not had a previous outbreak. The highest prevalence areas were in Northern England, Wales, Southwest England and Scotland. Modelling the distribution of the reported scab outbreaks identified height above sea level, temperature and rainfall as significant predictors of the probability of an outbreak, superimposed on an underlying pattern of sheep abundance. It is argued that scab management programmes directed at these foci have the potential to allow a more targeted approach to scab control and significantly reduce the prevalence of scab in the UK and other European countries.",2018-07-20,Veterinary parasitology,19713045.0,Mapping risk foci for endemic sheep scab.
47324,"The rust fungus Puccinia miscanthi on the naturally infected leaves of eulalia grass were investigated by light and electron microscopy. Many black telia were present on both the adaxial and abaxial leaf surfaces. The telia were often confluent, protruding distinctly from the leaf surface, and had numerous teliospores. Light microscopy revealed that the teliospores were club-like in shape (clavate), chestnut brown, and produced pedicels from one end. They were measured to be approximately 45 μm × 20 μm in size, and slightly constricted at the septa. Using stereo imaging, it was possible to generate images with more three-dimensionality than conventional scanning electron micrographs. Without the need for the mechanical sectioning of telia, the height of telia from the leaf epidermis could be measured at approximately 230 μm using three-dimensional surface reconstruction. Urediniospores were also found on the leaf surface, and possessed spines on the surface (echinulate). The internal features of the nonembedded teliospores could be unveiled using a focused ion beam system with a field emission scanning electron microscope, allowing for the in situ site-specific cutting of the non-embedded teliospores. These results show that three-dimensional surface reconstruction and targeted cutting are a potential alternative to mechanical sectioning of resin-embedded blocks, and have the potential to eliminate the uncertainty involved in selecting the region of interest.",2018-07-20,"Micron (Oxford, England : 1993)",25855600.0,Three-dimensional surface reconstruction and in situ site-specific cutting of the teliospores of Puccinia miscanthi causing leaf rust of the biomass plant Miscanthus sinensis.
58316,"Human activities in protected areas can affect wildlife populations in a similar manner to predation risk, causing increases in movement and vigilance, shifts in habitat use and changes in group size. Nevertheless, recent evidence indicates that in certain situations ungulate species may actually utilize areas associated with higher levels of human presence as a potential refuge from disturbance-sensitive predators. We now use four-years of behavioral activity budget data collected from pronghorn (Antilocapra americana) and elk (Cervus elephus) in Grand Teton National Park, USA to test whether predictable patterns of human presence can provide a shelter from predatory risk. Daily behavioral scans were conducted along two parallel sections of road that differed in traffic volume--with the main Teton Park Road experiencing vehicle use that was approximately thirty-fold greater than the River Road. At the busier Teton Park Road, both species of ungulate engaged in higher levels of feeding (27% increase in the proportion of pronghorn feeding and 21% increase for elk), lower levels of alert behavior (18% decrease for pronghorn and 9% decrease for elk) and formed smaller groups. These responses are commonly associated with reduced predatory threat. Pronghorn also exhibited a 30% increase in the proportion of individuals moving at the River Road as would be expected under greater exposure to predation risk. Our findings concur with the 'predator shelter hypothesis', suggesting that ungulates in GTNP use human presence as a potential refuge from predation risk, adjusting their behavior accordingly. Human activity has the potential to alter predator-prey interactions and drive trophic-mediated effects that could ultimately impact ecosystem function and biodiversity.",2018-07-20,PloS one,24718624.0,Behavioral responses associated with a human-mediated predator shelter.
20546,"Grass carp hemorrhagic disease, caused by grass carp reovirus (GCRV), is the most fatal causative agent in grass carp aquaculture. Protein-protein interactions between virus and host are one avenue through which GCRV can trigger infection and induce disease. Experimental approaches for the detection of host-virus interactome have many inherent limitations, and studies on protein-protein interactions between GCRV and its host remain rare.",2018-07-20,BMC bioinformatics,28253857.0,Prediction of GCRV virus-host protein interactome based on structural motif-domain interactions.
74590,"The main component of classical contraceptives, 17α-ethinylestradiol (EE2), has high estrogenic activity even at environmentally relevant concentrations. Although estrogenic endocrine disrupting compounds are assumed to contribute to the worldwide decline of amphibian populations by adverse effects on sexual differentiation, evidence for EE2 affecting amphibian mating behaviour is lacking. In this study, we demonstrate that EE2 exposure at five different concentrations (0.296 ng/L, 2.96 ng/L, 29.64 ng/L, 2.96 µg/L and 296.4 µg/L) can disrupt the mating behavior of adult male Xenopus laevis. EE2 exposure at all concentrations lowered male sexual arousal, indicated by decreased proportions of advertisement calls and increased proportions of the call type rasping, which characterizes a sexually unaroused state of a male. Additionally, EE2 at all tested concentrations affected temporal and spectral parameters of the advertisement calls, respectively. The classical and highly sensitive biomarker vitellogenin, on the other hand, was only induced at concentrations equal or higher than 2.96 µg/L. If kept under control conditions after a 96 h EE2 exposure (2.96 µg/L), alterations of male advertisement calls vanish gradually within 6 weeks and result in a lower sexual attractiveness of EE2 exposed males toward females as demonstrated by female choice experiments. These findings indicate that exposure to environmentally relevant EE2 concentrations can directly disrupt male mate calling behavior of X. laevis and can indirectly affect the mating behavior of females. The results suggest the possibility that EE2 exposure could reduce the reproductive success of EE2 exposed animals and these effects might contribute to the global problem of amphibian decline.",2018-07-20,PloS one,22355410.0,Estrogens can disrupt amphibian mating behavior.
44958,"Colonizations of islands are often associated with rapid morphological divergence. We present two previously unrecognized cases of dramatic morphological change and niche shifts in connection with colonization of tropical forest-covered islands. These evolutionary changes have concealed the fact that the passerine birds madanga, Madanga ruficollis, from Buru, Indonesia, and São Tomé shorttail, Amaurocichla bocagii, from São Tomé, Gulf of Guinea, are forest-adapted members of the family Motacillidae (pipits and wagtails). We show that Madanga has diverged mainly in plumage, which may be the result of selection for improved camouflage in its new arboreal niche, while selection pressures for other morphological changes have probably been weak owing to preadaptations for the novel niche. By contrast, we suggest that Amaurocichla's niche change has led to divergence in both structure and plumage. ",2018-07-20,Royal Society open science,26064613.0,Dramatic niche shifts and morphological change in two insular bird species.
88558,"The geographic mosaic theory of coevolution hypothesizes that natural selection on species interactions varies among ecosystems, partly because the genes involved in species interactions differ in their fitness effects among environments. This selection mosaic may be expressed, at the extreme, as ecological outcomes ranging from mutualism to parasitism among environments. In a recent laboratory experiment on the interaction between a plant, bishop pine (Pinus muricata), and a root-symbiotic ectomycorrhizal fungus, Rhizopogon occidentalis, we demonstrated the potential for selection mosaics in that interaction, and the existence of substantial within-population genetic variation for symbiotic compatibility in the interaction. Here, we present the results from a second experiment on the interaction between the same ectomycorrhizal fungus and a different plant, shore pine (Pinus contorta var. contorta), designed to test for the presence of genetic variation for symbiotic compatibility in another similar system, and also to test whether such variation might be generated in part by adaptation of fungal lineages to individual trees. In this experiment, we found no genetic variation among plant lineages for compatibility with the fungal symbiont, and no evidence for adaptation of fungal lineages to individual plants, but the two fungal genotypes differed greatly in their compatibility with the plant hosts. Specifically, one of the two fungal genotypes not only colonized host plants less intensively than the other, but also had a negative effect on plant growth. Altogether, these results suggest the potential for ongoing natural selection on the ectomycorrhizal fungus, R. occidentalis, for different levels of symbiotic compatibility with particular pine hosts, but the mechanisms generating and maintaining genetic variation for symbiotic compatibility remain unclear. Such results will aid in efforts to develop realistic models of how plants and their symbionts coevolve over broad geographic ranges in which they co-occur.",2018-07-20,Communicative & integrative biology,19704904.0,Within-population genetic variability in mycorrhizal interactions.
113944,"The acanthocephalan parasite Pomphorhynchus laevis is transmitted by a suitable intermediate host such as the amphipod Gammarus pulex to its definitive fish host. Parasite-induced alterations in both appearance and behaviour concur to render infected gammarids more vulnerable to predation, thus promoting parasite transmission. Experimental infection of laboratory bred full- and half-sib groups of three-spined sticklebacks (Gasterosteus aculeatus) provided evidence that the parasite imposes a survival cost proportional to the severity of infection on its final host. Variation among sibships in the susceptibility to infection was consistent. When given a choice, fish consumed significantly more infected than uninfected prey. Overall, more resistant fish did not prey upon infected gammarids more often than did relatively susceptible fish. Only fish with a relatively high physical condition properly adjusted prey selection to the extent of their parasite susceptibility, thus exploiting the enhanced profitability of infected prey.",2018-07-20,Parasitology,12741513.0,A predator's dilemma: prey choice and parasite susceptibility in three-spined sticklebacks.
51382,"In this Quick Guide, Brierley provides a brief overview of a pervasive aspect of aquatic ecosystems, the daily movement of organisms up and down the water column. ",2018-07-20,Current biology : CB,25458213.0,Diel vertical migration.
98944,"The ability to understand and predict the success of invasive plant species in their new ranges is increased when there is a sympatric native congener available for comparison. Celastrus orbiculatus (oriental bittersweet) is a liana introduced into the United States in the mid-1800s from East Asia as an ornamental plant. Its native congener, Celastrus scandens (American bittersweet), ranges from the east coast of the United States as far west as Wyoming. In the Northeastern United States, C. orbiculatus is continuing to expand its range while C. scandens appears to be in serious decline. One hypothesis for this decline is that C. scandens does not have such a wide range of ecological tolerances in the current landscape as C. orbiculatus, which seems to tolerate a greater range of resource conditions. To investigate this hypothesis, we transplanted these two species into ten sites that spanned a full range of light and soil moisture conditions to compare their establishment and performance in terms of aboveground growth (biomass and height) and mortality. After two years, C. orbiculatus showed significantly lower mortality and greater biomass across all resource conditions compared to C. scandens. In addition, C. orbiculatus preferred more mesic soil moisture conditions, while C. scandens performed better in drier soil moisture conditions. Since much of the Northeastern United States is now forested, this preference for mesic soil conditions could make it more successful than C. scandens in the region. This study shows the utility of manipulative experiments, particularly those using congeneric native species as benchmarks, for assessing the causes and predicting the course of invasions.",2018-07-20,Oecologia,17724616.0,Comparative performance of invasive and native Celastrus species across environmental gradients.
6211,"Brunei Bay, which receives freshwater discharge from four major rivers, namely Limbang, Sundar, Weston and Menumbok, hosts a luxuriant mangrove cover in East Malaysia. However, this relatively undisturbed mangrove forest has been less scientifically explored, especially in terms of vegetation structure, ecosystem services and functioning, and land-use/cover changes. In the present study, mangrove areal extent together with species composition and distribution at the four notified estuaries was evaluated through remote sensing (Advanced Land Observation Satellite-ALOS) and ground-truth (Point-Centred Quarter Method-PCQM) observations. As of 2010, the total mangrove cover was found to be ca. 35,183.74 ha, of which Weston and Menumbok occupied more than two-folds (58%), followed by Sundar (27%) and Limbang (15%). The medium resolution ALOS data were efficient for mapping dominant mangrove species such as Nypa fruticans, Rhizophora apiculata, Sonneratia caseolaris, S. alba and Xylocarpus granatum in the vicinity (accuracy: 80%). The PCQM estimates found a higher basal area at Limbang and Menumbok-suggestive of more mature vegetation, compared to Sundar and Weston. Mangrove stand structural complexity (derived from the complexity index) was also high in the order of Limbang > Menumbok > Sundar > Weston and supporting the perspective of less/undisturbed vegetation at two former locations. Both remote sensing and ground-truth observations have complementarily represented the distribution of Sonneratia spp. as pioneer vegetation at shallow river mouths, N. fruticans in the areas of strong freshwater discharge, R. apiculata in the areas of strong neritic incursion and X. granatum at interior/elevated grounds. The results from this study would be able to serve as strong baseline data for future mangrove investigations at Brunei Bay, including for monitoring and management purposes locally at present.",2018-07-20,PeerJ,29479500.0,"Status of the undisturbed mangroves at Brunei Bay, East Malaysia: a preliminary assessment based on remote sensing and ground-truth observations."
712,"Bilberry (Vaccinium myrtillus L.) fruits are an excellent natural resource for human diet because of their special flavor, taste and nutritional value as well as medical properties. Bilberries are recognized for their high anthocyanin content and many of the genes involved in the anthocyanin biosynthesis have been characterized. So far, neither genomic nor RNA-seq data have been available for the species. In the present study, we de novo sequenced two bilberry fruit developmental stages, unripe green (G) and ripening (R). A total of 57,919 unigenes were assembled of which 80.2% were annotated against six public protein databases. The transcriptome served as exploratory data to identify putative transcription factors related to fruit ripening. Differentially expressed genes (DEGs) between G and R stages were prominently upregulated in R stage with the functional annotation indicating their main roles in active metabolism and catalysis. The unigenes encoding putative ripening-related regulatory genes, including members of NAC, WRKY, LOB, ERF, ARF and ABI families, were analysed by qRT-PCR at five bilberry developmental stages. Our de novo transcriptome database contributes to the understanding of the regulatory network associated with the fruit ripening in bilberry and provides the first dataset for wild Vaccinium species acquired by NGS technology.",2018-07-20,Scientific reports,29967355.0,Recognition of candidate transcription factors related to bilberry fruit ripening by de novo transcriptome and qRT-PCR analyses.
106570,"The effect of carrot psyllid (Trioza apicalis Förster) feeding and limonene and methyl jasmonate (MeJA) treatments on the essential oil composition and headspace volatiles of carrot (Daucus carota ssp. sativus), cvs. Parano and Splendid, leaves was studied. Carrot psyllid feeding significantly increased the concentrations of sabinene, beta-pinene, and limonene, whereas limonene treatment increased the concentration of (Z)-beta-ocimene in the leaves of both cultivars. The limonene treatment significantly increased the concentration of total phenolics in the leaves of both cultivars, and MeJA treatment increased phenolic concentration in the leaves of Parano. Exogenous limonene spray did not decrease the number of carrot psyllid eggs laid either 2 or 24 h after treatment. The results suggest that carrot psyllid feeding induces changes in the endogenous monoterpene pool in the carrot leaves. Limonene and MeJA treatments affect some induced defenses of the carrot, but the exogenous limonene spray is not an effective oviposition deterrent against carrot psyllid.",2018-07-20,Journal of agricultural and food chemistry,16248564.0,Influence of carrot psyllid (Trioza apicalis) feeding or exogenous limonene or methyl jasmonate treatment on composition of carrot (Daucus carota) leaf essential oil and headspace volatiles.
53931,"Rhinoncomimus latipes Korotyaev (Coleoptera: Curculionidae), a biological control agent of mile-a-minute weed, Persicaria perfoliata (L.) H. Gross, has been mass reared with no infusion of new genetic material for 8-9 yr (at least 24-36 generations), while insects from the same genetic stock have been subject to field conditions in North America for that same period of time. Our main objective was to compare the laboratory population with the field population (and in 1 yr with a Chinese field population) to determine whether genetic changes had occurred, especially ones that may reduce the effectiveness of the laboratory population when released in the field. The laboratory insects laid more eggs and had reduced survival compared with field weevils in several comparisons, and had reduced responsiveness to cues that induce reproductive diapause. Exposure to older plants had the greatest effect on induction of reproductive diapause in both laboratory and field weevils, with effects of daylength and temperature less pronounced. At least a portion of the laboratory weevil population overwintered successfully. Results suggest that it is not necessary to add wild-type genetic material to the rearing colony at this time. ",2018-07-20,Environmental entomology,25182614.0,"Fitness and field performance of a mass-reared biological control agent, Rhinoncomimus latipes (Coleoptera: Curculionidae)."
