Journal,Title,Abstract,Date Added,Date Trained,PMID,Questionable_inclusion,Reason
Ibis,Long-term breeding demography and density dependence in an increasing population of Golden Eagles Aquila chrysaetos,"Few studies have quantified the dynamics of recovering populations of large raptors using long-term, spatially explicit studies. Using data collected over 37 years in the western Italian Alps, we assessed the trends in distribution, abundance, fecundity and breeding population structure of Golden Eagles Aquila chrysaetos. Using the spatial distribution of territory centroids in 2007, we found that the spatial distribution of eagle territories was over-dispersed up to 3 km. Although population size and total productivity increased from 1972 to 2008, the proportion of pairs that laid eggs showed a strong decline, falling to no more than 50\\\\% after 2003. On average, 15\\\\% of successful nests produced two fledglings, and productivity also declined over time. No significant relationship between population growth rate and total population size was detected, but the percentage of pairs that bred and breeding success showed evidence of density dependence, as they declined significantly with increasing density. Our results suggest that density dependence, operating across heterogeneous habitats, is currently regulating this population, while the carrying capacity may still be increasing. This may explain the apparent paradox of reduced breeding effort despite increasing total productivity.",18/07/2017 11:12,,,,
Journal of Ornithology,Population trend over 100 years and conservation needs of breeding sandwich terns (Sterna sandvicensis) on the German North Sea coast,"The breeding population of the sandwich tern (Sterna sandvicensis) on the German North Sea coast has undergone substantial fluctuations throughout the last 100 years. Numbers of breeding birds were fluctuating quite strongly in the first 30 years of the twentieth century. From 1930 to the mid-1950s, a relatively steady decrease occurred. A minimum was reached in 1965 with 2,243 pairs. Around 1970, numbers increased quite markedly up to the mid-1990s and reached a centurial maximum with 10,138 pairs in 1996. Most recently, the numbers have dropped to only 5,681 pairs in 2005, the lowest number over the last 30 years. Some colonies have existed over long periods, others only for short periods, with often substantial and sudden changes. The distribution at sea was studied by transect counts from ships. During the reproductive period, high totals were found between the mainland coast and the islands, up to 30 km from the outer coast/island line. The seaward extent of the sandwich tern distribution coincided quite well with the 20-m depth line. Maximum foraging ranges for single colonies were estimated to be ca. 45 km for Trischen, ca. 35 km for Norderoog and ca. 30 km for both Scharhorn/Nigehorn and Juist. Overall flight ranges for all colonies were estimated at 33.8 km for 95\\\\% of the birds. Germany has a high international responsibility for the protection of this species. Only a few colonies exist every year, making this species very vulnerable to anthropogenic disturbance, pollution events and fishing activities.",18/07/2017 11:12,,,,
European Bison Conservation Newsletter,80 lat restytucji \\u017cubr\\\\'{o}w w Puszczy Bia\\u0142owieskiej,"After First World War bison survived only in few zoos scattered in several European countries. Thanks to an effort taken by scientists, breeders and a bison restitution program run since 1929 by Bia\\u0142owie\\u017ca National Park, this species become reintroduced. Since 1952 bison are again roaming in the wilderness. Years 1920--1920 were the only gap period of bison presence in Bia\\u0142owie\\u017ca Forest. This September we celebrate eightieth anniversary of bison restitution program.",18/07/2017 11:12,,,,
Biological Conservation,Enigmatic declines of Australia\\u2019s sea snakes from a biodiversity hotspot,"Declines in the abundance of marine vertebrates are of considerable concern, especially when they occur in isolated locations relatively protected from most major anthropogenic disturbances. This paper reports on sustained declines in the abundance and diversity of sea snakes at Ashmore Reef, a renowned biodiversity hotspot in Australia\\u2019s Timor Sea. Surveys conducted in eight years between 1973 and 2010 recorded the highest abundances (average 42--42 snakes day\\0021) and species richness (nine species) in 1973 and 1994. In 2002 abundance had declined by more than 50\\\\% (21 snakes day\\0021) and only five species were recorded. Since 2005 abundances have been consistently low (1--1 snakes day\\0021), with just two species, Aipysurus laevis and Emydocephalus annulatus, recorded in significant numbers. Despite extensive searches since 2005 (especially in 2010) five species of sea snake historically abundant at Ashmore Reef have not been sighted and are presumed to have become locally extinct. These species include three Timor Sea endemics Aipysurus apraefrontalis, Aipysurus foliosquama, Aipysurus fuscus, and one Australasian endemic Aipysurus duboisii. Declines in the abundance and diversity of sea snakes at Ashmore Reef cannot be attributed to differences in survey methods among years. Ashmore Reef was declared a National Nature Reserve (IUCN Category 1a) in 1983 and, although the causes for the declines are not known, this protection has not prevented their occurrence. We discuss possible causes for these enigmatic declines however, in order to implement effective management strategies, studies are needed to determine why sea snakes have disappeared from Ashmore Reef.",18/07/2017 11:12,,,,
Bird Conservation International,Breeding Biology and Population Increase of the endangered Bermuda Petrel Pterodroma cahow,"The Bermuda Petrel Pterodroma cahow was thought to have become extinct early in the 17th century due to a combination of hunting by human colonists and predation by introduced rats, cats, dogs and pigs. However, single individuals were found on four occasions during the first half of the 20th century, and in 1951 a small population was discovered breeding on several rocky islets in north-east Bermuda. Recovery actions began in 1962 when the population numbered just 18 pairs, dispersed among five small islets. Although rats extirpated one of these five colonies in 1967, the population has grown steadily to 56 breeding pairs in 2000. We investigated the breeding phenology, productivity and population size of the Bermuda Petrel between 2000/2001 and 2007/2008. Each year, the birds began arriving in Bermuda around mid-October. They departed on a prebreeding exodus between 19 November and 14 December, returning after 32--32 days to lay a single egg between 31 December and 31 January. Eggs hatched from 16 February to 26 March after a mean (6 SD) incubation period of 53 6 2 days, and young fledged from 15 May to 25 June after a mean fledging period of 91 6 5 days. Between 2000/2001 and 2007/2008, reproductive output ranged from 29 to 40 fledglings per annum. Mean annual breeding success (62\\\\%) was reasonably high relative to other Procellariiformes, largely due to the provision of artificial (concrete) nesting burrows. In 2008, the population numbered 85 breeding pairs. Monitoring since 1961 indicates the population has been increasing exponentially, doubling approximately every 22 years. This rate of increase, together with the increased incidence of storm damage, is making it progressively more impracticable to construct sufficient concrete burrows on the current nesting islets to accommodate all breeding pairs. The vulnerability of these sites to accelerating storm damage and erosion as a result of anthropomorphic climate change is now the greatest threat to the Bermuda Petrel.",18/07/2017 11:12,,,,
Mammalian Biology,A long term study of small mammal populations in a Brazilian agricultural landscape,"Long-term monitoring of small mammal populations is very important to understand the variations in temporal abundance on a large time scale, which are related to ecological, economic and epidemiological phenomena. The aim of this study is to monitor the populations of the marsupials Didelphis aurita and Philander frenatus and the rodents Nectomys squamipes, Akodon cursor and Oligorysomys nigripes in a locality of typical Brazilian rural landscape, Sumidouro Municipality, Rio de Janeiro State, Brazil. A mark-recapture study was conducted during five years. We analyzed the population dynamics, the reproduction and age structure of these species. Both marsupials presented higher population sizes in the end of wet period and beginning of the dry period, which can be explained by the seasonal reproduction which begins in the middle of the dry period and ends in the last months of the wet period. N. squamipes reproduced throughout the year but mostly during rainy periods, due to the close association of this rodent to resources found in the water. Higher survivorship and recruitment rates were in the end of the wet season. The rodent A. cursor had an opportunist reproduction, resulting in high turnover rates. Survivorship increased with the effects of the dry periods. O. nigripes showed a clear annual pattern of population cycle with peaks during the dry season. The rodents did not show potential to present outbreaks and become agricultural pests. The annual population cycles of O. nigripes and the unique peak of A. cursor population during five years highlight attention to their importance as wild reservoirs of the hantavirus disease. Their ecological characteristics associated to their opportunistic behavior make these species prone to be good reservoirs of zoonoses. \\251 2009 Deutsche Gesellschaft f\\\\""{u}r S\\\\""{a}ugetierkunde.",18/07/2017 11:12,,,,
Biodiversity and Conservation,A note on amphibian decline in a central Amazonian lowland forest,"The massive reductions in amphibian populations taking place across the globe are unprecedented in modern times. Within the Neotropics, the enigmatic decline of amphibians has been considered predominantly a montane phenomenon; however, recent evidence suggests amphibian and reptile populations in lowland forests in Central America are waning as well. Unfortunately, very little baseline data are available for conducting large scale time series studies in order to further investigate and confirm declines in the lowland forests of tropical America. Here we compare leaf litter herpetofauna abundance at sites in the Central Amazon, sampled first in 1984\\u20131985 and again in 2007. We find no evidence for a decline in abundance or biomass of amphibians over a period of 22 years at this site. This conclusion differs markedly from the decline of 75\\\\% in amphibian popu- lations over 35 years at a lowland site in Costa Rica. To explore potential declines in lowland Neotropical amphibian populations in detail, we suggest that existing baseline data be comprehensively compiled and analyzed for previously sampled sites and that these sites be re-sampled using comparable methodologies.",18/07/2017 11:12,,,,
Progress in Oceanography,A recent increase of swift terns Thalasseus bergii off South Africa - The possible influence of an altered abundance and distribution of prey,"In the 2000s, there were large increases in the numbers of swift terns Thalasseus bergii breeding in the Western and Eastern Cape Provinces of South Africa, which are most plausibly attributed to good recruitment and to an increase in the proportion of mature birds breeding. Numbers increased coincidentally with a greatly increased abundance of two of the main prey species of swift terns, sardine Sardinops sagax and anchovy Engraulis encrasicolus, and remained high as these resources decreased. After 2005, numbers of swift terns breeding in the north and central portions of the Western Cape decreased, whereas numbers breeding farther south in that province increased. This followed displacements to the south and east of sardine and anchovy. In southern Africa, swift terns show low fidelity to breeding localities, which enables a rapid adjustment of the location of breeding to an altered availability of prey. For two seabirds that feed mainly on sardine and anchovy, but once breeding show high fidelity to colonies, African penguin Spheniscus demersus and Cape gannet Morus capensis, proportions breeding in the south and east also increased, but there were substantial decreases in overall numbers breeding in the Western Cape.",18/07/2017 11:12,,,,
Fisheries Research,Recruitment patterns and factors affecting recruitment of five species of short-lived clupeoids in the tropical South Pacific,"The temporal and spatial patterns of recruitment of the short-lived anchovies Encrusicholinu deuisi and Encruskholinu heterolohus, and the clupeoids Sprutelloides delicatulus, Spratelloide,s grucilis and Sp-utellnides lewisi between 1984 and 1989 were examined at one or more sites in the Solomon Islands, Papua New Guinea and Maldives. At all sites, all species recruited throughout the year. There was no difference between months in the proportion of recruits in the fished population of any species at any site. The relative abundance of recruits of E. decisi, E. heterolobus, S. de1icatuZu.s and S. lewisi between 1984 and I989 was examined at Munda and Tulagi in the Solomon Islands. There were no detectable differences between months or sites for any species, although the interannual variability in recruitment in some months was quite high. Both the relative abundance of recruits and variation in recruitment ol\\u2019 both Encrusicholinu species were correlated at both sites. Adult stock size was the most important factor that explained variation in recruitment 2 months later and accounted for between 30 and 85\\\\% of the variation in recruitment of each species at the two sites. Environmental factors such as zooplankton biomass, wind or monthly rainfall were not correlated with recruitment of any species at either site. Nor was predation by adults an important source of egg or larval mortality. All species preyed on Encrasicholina eggs and larvae at some time during the year and G1c.rusicholinu species were the most important predators at both sites. However, unlike some temperate clupeoids. these species ate less than I \\\\% of the estimated daily egg production each month during the study. Overall. there was little variation in recruitment of Encrusicholinu or Sprutel1oide.s species. Most of the monthly estimates of the relative abundance of recruits of each species did not differ from the long-term mean at each site by more than an order of magnitude. We hypothesise that the lower variability in recruitment compared with temperate clupeoids results from a combination of their multiple-spawning reproductive strategy, rapid growth and early recruitment. For these species, prerecruit mortality appears to be relatively constant.",18/07/2017 11:12,,,,
Oryx,Temporal trends in elephant Loxodonta africana numbers and densities in northern Botswana: is the population really increasing?,"The apparent increase in elephant Loxodonta africana numbers in northern Botswana is of concern because it may affect other species. We compared changes in population growth rates based on elephant numbers and densities over 1973--1973. Population estimates and survey details extracted from published and unpublished sources allowed us to calculate growth rates. From 1973 to 1993 growth rate was positive when based on elephant numbers but did not differ from zero when calculated for densities. This discrepancy may be because of the significant increase in survey area during the same period. In contrast, none of the growth rates differed from zero for time series between 1996 and 2004, when the size of the survey area varied little. We propose two explanations for these results. The first suggests that the population did not grow, while the second proposes that the population expanded its range and increased in size. Notwithstanding, an equilibrium model best explained the variance in dry season estimates of elephant numbers for the complete time series. Such apparent density-dependence could be disrupted by any artificial reduction of numbers through culling as a management option in northern Botswana.",18/07/2017 11:12,,,,
Wilson Bulletin,Seasonal numbers and distribution of shorebirds on North Carolina's Outer Banks,"We documented the seasonal abundance, distribution, and relative importance of outer beach habitats to shorebirds on the Outer Banks of North Carolina. The Outer Banks span 228 km and attract millions of tourists every year, underscoring the need for baseline data for conservation. Twenty-one species were recorded during the study. The most abundant were Sanderling (Culidn\\u2019s alba), Red Knot (Calidris canutus), and Willet (Catoptrophorus semipalmatus). As an assemblage, shorebirds were most abundant in May and August. Peak numbers for each species were recorded between April-May and JulySeptember. The greatest numbers were recorded on North Beach and the lowest on South Beach (1992) and Bodie Island (1993). Shorebird abundance was greater during fall (68 birds/km) than in spring (50 birds/km). Patterns of abundance of the eight most abundant species were examined in detail. Black-bellied Plovers (PZuviaZis squatarola), Willets, Whimbrels (Numeniusphaeopus), Ruddy Turnstones (Arenaria interpres) and Sanderlings were most abundant on North Beach. North Core Banks harbored the highest numbers of Piping Plovers (Charudrius melodus), American Oystercatchers (Haematopus palliatus), and Red Knots. American Oystercatchers and Whimbrels were significantly more abundant during spring than fall, whereas Willet and Sanderlings were more abundant during fall. The Outer Banks emerged as an important staging area for the Atlantic populations of Piping Plovers, Whimbrels, and Sanderlings when compared to 7 other areas along the eastern U.S. coast. The importance of the area to Sanderlings was reaffirmed by return rates of 58\\\\%, most (69989\\\\%) returning to the beach stretch where they were banded. The area gains special significance because it also supports a nesting population of Piping Plovers. Our findings confirm that the Outer Banks of North Carolina provide a critical link in the migratory path of several shorebird species. Habitat loss or alteration could adversely affect the Atlantic Flyway population of several species (e.g., Sanderlings) as well as the threatened Piping Plover.",18/07/2017 11:12,,,,
Journal of Sea Research,"The effects of protection measures on fish assemblage in the Plemmirio marine reserve (Central Mediterranean Sea, Italy): a first assessment 5 years after its establishment","This 2-year study was aimed to investigate the early effects of protection measures on fish assemblage in the Plemmirio marine reserve and to evaluate its level of enforcement. Sampling was carried out by means of underwater visual census techniques in four sampling sites within the reserve boundaries and eight outside the reserve. Results showed significant inside/outside differences in the multivariate abundance of fish assemblage. These results were confirmed and exemplified by significant univariate differences between locations for total abundance, Species Richness and diversity of the fish assemblage; values of these metrics were higher inside the reserve than outside. Small fish size and species of low and medium fishing value did not display significant inside/outside differences in abundances whereas medium, large size fish and high value species showed abundances significantly higher inside the marine reserve. Protection effects were particularly evident for large specimens of high fishing value, most of which were exclusively found inside the reserve (Diplodus puntazzo, Epinephelus costae, Mycteroperca rubra, Scorpaena scrofa, Spondyliosoma cantharus, Sciaena umbra and Epinephelus marginatus). The present study provides evidence of a reserve effect on fish populations after only five years since its establishment. This is an extraordinary result likely due to the high level of enforcement observed inside the Plemmirio MPA.",18/07/2017 11:12,,,,
Canadian Journal of Zoology,Effect of cyclic and declining food supply on great grey owls in boreal Sweden,"In this study of 35 years of data, we examine the short-term (cyclic) and long-term relationship between breeding success of great grey owls (Strix nebulosa Forster, 1772) and their food supply (bank voles (Clethrionomys glareolus (Schreber, 1780)), grey-sided voles (Clethrionomys rufocanus (Sundevall, 1846)), and field voles (Microtus agrestis (L., 1761))) in northern Sweden. Annual number of owl nests showed a 3 year cyclicity, which as predicted, corresponded to the length of the vole cycle in the region. Mean annual brood size also fluctuated and was positively dependent on the vole supply during the same spring. In this region, there has also been a decline in vole numbers in recent decades, from high-amplitude cycles in the 1970s to subsequent low-amplitude cycles. Correspondingly, and as predicted, mean annual brood size of the owls also declined, although only during the third years of the vole cycle when vole supply in spring and brood size of the owls is at its highest level in high-amplitude cycles. We predict that in the long run the vole decline, associated with increasingly milder winters, and the reduction of the brood size of the owls, especially in years of high owl breeding success, will have serious implications for the population of great grey owls in Scandinavia.",18/07/2017 11:12,,,,
Aquatic Mammals,A review of the status of the Indo-Pacific humpback dolphin (Sousa chinensis) in Chinese waters,"The status of Indo-Pacific humpback dolphins (Sousa chinensis) in Chinese waters (including Taiwan) is reviewed. Within China, humpback dolphins range from the Vietnam border north to the mouth of the Yangtze River, and there are estimated to be about eight populations in China. Little is known of stock structure, except for a preliminary conclusion that animals in Xiamen and Hong Kong represent separate populations. Abundance has been estimated only for Hong Kong and the Pearl River Estuary (about 1,500 animals) and Xiamen (80 dolphins). In the early 1960s, 36 animals were killed in Xiamen Harbor, but other direct takes appear to be rare. Incidental catches are known in Hong Kong and the Pearl River Estuary, but their impacts are not known. Only preliminary work on life history has been conducted. There appears to be a calving peak from spring to summer, and calves are about 100 cm long at birth. Scant data indicate that sexual maturity in females may occur at about 9--9 years of age, with males maturing later. Dolphins in Hong Kong and the Pearl River Estuary have individual ranges averaging 99.5 km2, only a small portion of the population's range. Humpback dolphins in China feed on several species of demersal and estuarine fishes, with little evidence of predation on cephalopods or crustaceans. Contaminants have been evaluated in some areas, and mercury and DDT concentrations in particular appear to be high and potentially health-threatening. An assessment of trends and stranding mortality in the Hong Kong and the Pearl River Estuary population suggests that this stock is probably not decreasing at present. The Xiamen stock is thought to be decreasing, but its status has not been reliably assessed. Essentially, nothing is known of the status of other populations in China, and this shortcoming should be addressed as a matter of priority.",18/07/2017 11:12,,,,
Southeastern Naturalist,Counting pumas by categorizing physical evidence,"The occurrence of Puma concolor (Cougar) can be confirmed by detecting physical evidence (i.e., tracks, urine markers). However, determining the number of pumas responsible for creating this sign is problematic. We addressed this difficulty by categorizing physical evidence (sign) and applied this method during the Puma concolor coryi (Florida Panther) project. Three rules were used to distinguish individuals. (1) Gender was determined by track size or stride length; (2) time (freshness) was determined by known events within the past 24 hours, such as wind or rain; and (3) distance between individual track sets was used as an exclusionary tool to avoid over-counting. We evaluated accuracy by capture and by comparison to 3 other indices. This method can be adapted to count other large felines.",18/07/2017 11:12,,,,
Biological Conservation,Temporal genetic analysis of the critically endangered oriental white-backed vulture in Pakistan,"Populations of oriental white-backed vultures (Gyps bengalensis) in south Asia have declined over 95\\\\% since the mid-1990s due to feeding on livestock carcasses that had been treated with diclofenac, an anti-inflammatory pharmaceutical that is fatal to Gyps vultures. To prevent extinction, captive breeding efforts have been initiated; however, given the overall decline, it is not known to what extent levels of genetic diversity currently exist in the remaining populations. Here we document temporal genetic diversity levels during the 2000--2000 interval for the last remaining breeding colony of oriental white-backed vultures in Pakistan, and show with simulations that a much larger captive population size is required than currently maintained to prevent further loss of genetic diversity. Before this species is extinct in the wild, it is crucial that additional individuals are included in the captive population.",18/07/2017 11:12,,,,
Arctic,"A 16-year record of summer birds on Truelove Lowland, Devon Island, Northwest Territories, Canada","An annual census of adult birds was conducted on the 43 km2 Truelove Lowland, Devon Island, N.W.T., Canada, in the summers of 1970--1970 and 1978--1978. Forty-three species were seen during 16 years. Of these, 18 species bred regularly on or immediately adjacent to the lowland and 10 were occasional breeders. In addition 15 species were visitors. The highest annual number for most breeding species was two to three times that of their lowest numbers, but some regular breeding species had far greater extremes. Extensions oft he breeding range of Pacific Loo(Gavia pacifica), Purple Sandpiper (Calidris maritima), Wheatear (Oenanthe oenanthe), and Water Pipit (Anthus spinoletta) to Devon Island are reported. It is suspectedt hat Hoary Redpolls (Curduelis hornemanni) and Red Knots (Calidris canutus) also nested there once each. A coefficient of detectibilitiys presented for the 16 most frequently seen species. Synchronofulusc tuations in Snow Bunting (Plectrophenax nivalis) and Lapland Longspur(Calcarius lapponicus) populations were observed. A possible replacement of Black-bellied Plove(Pluvialis squatarola) by Lesser Golden-Plovers (P. dominica) was detected. An abrupt disappearance of all colonies of breeding ArctiTerns (Sterna paradisea) from the lowland was seen in 1989.",18/07/2017 11:12,,,,
Marine Mammal Science,Abundance and distribution of endangered Franciscana dolphins in Argentine waters and conservation implications,"This is the first study in Argentine waters on the abundance of the threatened Franciscana dolphin, Pontoporia blainvillei. During 2003-2004 we carried out 17 aerial surveys using line transect sampling methodology. We observed 101 Franciscanas in 71 sightings. In northern areas density was estimated at 0.106 individual/km2. Density was lower in southern areas (0.055/km2) and declined with depth beyond 30-m isobaths (0.05/km2). A correction factor for submerged dolphins was applied to density and then extrapolated to the strip between the coastline and the 30-m isobath. Abundance in the northern area was estimated at 8,279 (4,904-13,960) individuals, while in the southern area it was estimated at 5,896 (1,928-17,999) individuals. Considering an annual mortality of about 500-800 individuals, about 3.5\\\\%-5.6\\\\% of the stock may be removed each year by the fishery and over the 2\\\\% recommended by the International Whaling Commission (IWC) and may not be sustainable by the population. Higher densities in coastal areas make Franciscanas more vulnerable to coastal fishing camps, which increased mortality in recent years. A remarkable finding was that while density decreases to the south, values of catch per unit effort (CPUE) increases, indicating different catchability of dolphins between areas",18/07/2017 11:12,,,,
Fishery Bulletin,Abundance and population density of cetaceans in the California Current ecosystem,"The abundance and population density of cetaceans along the U.S. west coast were estimated from ship surveys conducted in the summer and fall of 1991, 1993, 1996, 2001, and 2005 by using multiple-covariate, line-transect analyses. Overall, approximately 556,000 cetaceans of $\\\\backslash$n21 species were estimated to be in the 1,141,800-km2 study area. Delphinoids (Delphinidae and Phocoenidae), $\\\\backslash$nthe most abundant group, numbered \\\\~{}540,000 individuals. Abundance in other taxonomic groups included $\\\\backslash$n\\\\~{}5800 baleen whales (Mysticeti), \\\\~{}7000 beaked whales (Ziphiidae), and \\\\~{}3200 sperm whales (Physeteridae). $\\\\backslash$nThis study provides the longest time series of abundance estimates that includes all the cetacean species in $\\\\backslash$nany marine ecosystem. These estimates will be used to interpret the impacts of human-caused mortality (such as that documented in fishery bycatch and that caused by ship strikes and other means) and to evaluate the ecological role of cetaceans in the California Current ecosystem.",18/07/2017 11:12,,,,
Chelonian Conservation and Biology,"The effects of disturbance events on abundance and sex ratios of a terrestrial turtle, Terrapene bauri","Disturbances can affect the structure of ecological communities, and their impacts may have consequences for individual species\\u2019 population dynamics and long-term persistence. Even without catastrophic mortality, survivorship could be reduced following a disturbance, thus leading to population decline. We used a 16-year mark\\u2013recapture dataset to determine the effects of catastrophic storms and the cutting of nonindigenous vegetation on the survivorship and abundance of a population of long-lived terrestrial turtles (Terrapene bauri). Our results indicate that these habitat disturbances had little long-term effect on abundance. Indeed, the population continued to grow despite severe changes to its habitat, although recapture probabilities decreased through time. Tertiary (adult) sex ratios became more highly skewed temporarily but eventually approached their predisturbance levels. In long-lived box turtles, short-term disturbances may alter growth rates and dispersal tendencies, but they appear to have little long-term effect on abundance as long as initial mortality is not severe and food resources remain available.",18/07/2017 11:12,,,,
Nature and environment,Action Plan for the conservation of the wolves (Canis lupus) in Europe,"The action plan for the conservation of the wolves (Canis Lupus) in Europe was prepared for the Large Carnivore Initiative in Europe, a voluntary organisation supported by the World Wide Fund for Nature. The plan was discussed and endorsed in the framework of the Council of Europe's Wildlife Convention (Bern Convention). It contains valuable information on the status of the species and useful recommendations and guidelines for its conservation and management",18/07/2017 11:12,,,,
Ibis,Advances in laying date and increasing population size suggest positive responses to climate change in Common Eiders Somateria mollissima in Iceland,"Models of climate change predict that its effects on animal populations will not always be negative, but most studies indicate negative associations between changes in climate and the phenology of animal migration and reproduction. For some populations, however, climate change may render particular environments more favourable, with positive effects on population growth. We used a 30-year population dataset on over 2000 Common Eiders Somateria mollissima at a colony in southwest Iceland to examine the response of this species to climate fluctuations. Eiders are strongly dependent on suitable climatic conditions for successful reproduction and survival. Temperatures in southwest Iceland, in both winter and summer, have generally increased over the past 30 years but have shown considerable fluctuation. We show that females laid earlier following mild winters and that year-to-year variation in the number of nests was related to the temperature during the breeding season 2 years previously. Milder summers could have positive effects on breeding success and offspring survival, producing an increase in nest numbers 2 years later when most Eiders recruit into the breeding population. In this part of their range, Eiders could benefit from a general warming of the climate.",18/07/2017 11:12,,,,
Journal of Animal Ecology,Effects of patch quality and network structure on patch occupancy dynamics of a yellow-bellied marmot metapopulation,"1. The presence/absence of a species at a particular site is the simplest form of data that can be collected during ecological field studies. We used 13 years (1990--1990) of survey data to parameterize a stochastic patch occupancy model for a metapopulation of the yellow-bellied marmot in Colorado, and investigated the significance of particular patches and the influence of site quality, network characteristics and regional stochasticity on the metapopulation persistence. 2. Persistence of the yellow-bellied marmot metapopulation was strongly dependent on the high quality colony sites, and persistence probability was highly sensitive to small changes in the quality of these sites. 3. A relatively small number of colony sites was ultimately responsible for the regional persistence. However, lower quality satellite sites also made a significant contribution to long-term metapopulation persistence, especially when regional stochasticity was high. 4. The northern network of the marmot metapopulation was more stable compared to the southern network, and the persistence of the southern network depended heavily on the northern network. 5. Although complex models of metapopulation dynamics may provide a more accurate description of metapopulation dynamics, such models are data-intensive. Our study, one of the very few applications of stochastic patch occupancy models to a mammalian species, suggests that stochastic patch occupancy models can provide important insights into metapopulation dynamics using data that are easy to collect.",18/07/2017 11:12,,,,
Biological Conservation,An experimental study of the impact of feral swamp buffalo Bubalus bubalis on the breeding habitat and nesting success of magpie geese Anseranas semipalmata in Kakadu National Park,"The impact of buffalo Bubalus bubalis grazing and trampling on magpie goose Anseranas semipalmata breeding habitat and nest numbers was studied over nine wet seasons (1980-1988) at Kapalga within Kakadu National Park. Aerial photographs provided data to compare nest densities within six vegetation types in an area where buffalo grazed throughout the study with an area where buffalo were removed midway through. Buffalo had no significant effect on the abundance or distribution of vegetation types important to geese for breeding. However, high densities of buffalo suppressed the growth of several other species, particularly the grass Hymenachne acutigluma which increasingly displaced the deep water spike-rush Eleocharis sphacelata after buffalo were removed. The annual number of nests fluctuated between 7 and 2028, apparently in response to rain. Most nests were built in the spike-rush/wildrice Eleocharis spp./Oryza rufipogon association (71\\\\%) and in E. sphacelata (20\\\\%). Buffalo trampling and grazing influenced the location of nests but not number. After buffalo were removed, more nests were built in deep water areas at the forest edge of the floodplain.",18/07/2017 11:12,,,,
Ornithos,"Cap Verde peninsula, Senegal, a seawatching site of great interest.","Senegal offers excellent seawatching and pelagic trip opportunities in western Africa. True seawatching in Senegal is undoubtedly synonymous with Cap Verde penisula. At N\\u2019Gor, only about amile northwest of centralDakar, there are two excellent spots for land-based seawatching: IsleN\\u2019Gor and the terrace of the Calao club. In autumn, the numbers and variety of seabird species passing probably makes these the best seawatching sites on the entire eastern Atlantic seaboard. For land-based seawatching, these spots permit close views of the passing seabirds, and seawatchers can expect specialities ; Cape Verde,Macaronesian and Boyd\\u2019s Shearwater and Bulwer\\u2019s Petrel have been recorded. This article presents a compilation of seabird totals, counted from land in autumn during the last ten years. A pelagic trip off N\\u2019Gor is the best way to find Storm Petrels including Wilson\\u2019s and Madeiran in autumn. Further information about the geographical origin of the seabirds is still needed. Beside seabirds from Macaronesian islands and fromthe SouthernHemisphere (Sooty Shearwater, Wilson\\u2019s Storm Petrel, South Polar Skua), the high numbers of Long-tailed Skua, Sabine\\u2019s Gull and Grey Phalarope recorded could be associatedwith aNeartic (Greenland and northeastern Canada) and an Arctic Siberian origin.Most seawatchers have visitedCapVerde peninsula between the beginning ofOctober and mid November, except for a few visits during September in the early 90\\u2019s. Therefore, September, late November and December are still basically unexplored periods and it would not come as a big surprise if these times of the year were to be, at least, equally productive.",18/07/2017 11:12,,,,
Ecoscience,Joint effects of inverse density-dependence and extreme environmental variation on the viability of a social bird species,"Environmental stochasticity and density-dependence can have critical synergetic effects on population dynamics, especially when dealing with threatened species. In this study, we examine the effects of these interactions on the dynamics of a vulnerable bird species, the Dalmatian pelican (Pelicanus crispus). We conducted demographic analysis and population dynamics modelling of the Amvrakikos pelican population (western Greece) based on a 20-y dataset. Results indicated that annual juvenile survival probability is low (mean = 0.65) and varies according to both negative (regulation) and positive (Allee effect) density-dependent processes. In contrast, adult survival is relatively high (mean = 0.95) and less variable. Deterministic and stochastic population dynamics models based on means, inter-annual variances, and covariances between vital rates revealed that the population is increasing deterministically. Simulations of the extinction risk for the study population and also for various population sizes revealed that short-term extinction risk remains extremely low, even for very small populations of the species. However, when we considered the possibility of rare catastrophic events and their interactions with density-dependence patterns, the projected extinction risk increased dramatically, especially for small populations. Given that many European Dalmatian pelican populations are small, most of them could be at risk for local extinction. Our results illustrate the critical and general importance of considering interactions between all potential factors of extinction in population viability assessments.",18/07/2017 11:12,,,,
European Bison Conservation Newsletter,A dispersal rate in a wisent population of Bieszczady Mountains,"In the western subpopulation of wisents inhabiting Bieszczady Mountains, analysed was a tendency for the extension of a home range to the north. In studied period (2001--2001) the northern boundary of the home range was annually expanding on average by 2.6 km, which is much faster comparing to first 20 years after the establishment of this population (0.7 km per year). The total home range area of this subpopulation (between 2001 \\u2013 2008), grew up from about 140 to over 300 km2. This subpopulation is not restricted by habitat limits, and potential migration routes to the west and east are not blocked by any significant natural or man-made barriers. Wisents migrating north, encounter increasingly altered habitats and frequent presence of people. Probable explanation for such tendency of range extension to the north is the occurrence of favourable climatic conditions in valleys situated at low elevations, and high abundance of brambles in pine stands, established at former agricultural area.",18/07/2017 11:12,,,,
