"","Search","Title","Abstract","DOI","EID","SE_index","p","Relevance"
"35","amphib_neotropic","The value of primary, secondary, and plantation forests for a neotropical herpetofauna","Plantation forests and second-growth forests are becoming dominant components of many tropical forest landscapes. Yet there is little information available concerning the consequences of different forestry options for biodiversity conservation in the tropics. We sampled the leaf-litter herpetofauna of primary, secondary, and Eucalyptus plantation forests in the Jari River area of northeastern Brazilian Amazonia. We used four complementary sampling techniques, combined samples from 2 consecutive years, and collected 1739 leaf-litter amphibians (23 species) and 1937 lizards (30 species). We analyzed the data for differences among forest types regarding patterns of alpha and beta diversity, species-abundance distributions, and community structure. Primary rainforest harbored significantly more species, but supported a similar abundance of amphibians and lizards compared with adjacent areas of second-growth forest or plantations. Plantation forests were dominated by wide-ranging habitat generalists. Secondary forest faunas contained a number of species characteristic of primary forest habitat. Amphibian communities in secondary forests and Eucalyptus plantations formed a nested subset of primary forest species, whereas the species composition of the lizard community in plantations was distinct, and was dominated by open-area species. Although plantation forests are relatively impoverished, naturally regenerating forests can help mitigate some negative effects of deforestation for herpetofauna. Nevertheless, secondary forest does not provide a substitute for primary forest, and in the absence of further evidence from older successional stands, we caution against the optimistic claim that natural forest regeneration in abandoned lands will provide refuge for the many species that are currently threatened by deforestation. © 2007 Society for Conservation Biology.","10.1111/j.1523-1739.2007.00659.x","2-s2.0-34249098657",16,0.435009053,1
"36","amphib_neotropic","Neotropical primary productivity affects biomass of the leaf-litter herpetofaunal assemblage","Soil fertility and plant productivity are known to vary across the Amazon Basin partially as a function of geomorphology and age of soils. Using data on herpetofaunal abundance collected from 5 A - 5 m and 6 A - 6 m plots in mature tropical forests, we tested whether variation in community biomass of litter frogs and lizards across ten Neotropical sites could be explained by cation exchange capacity, primary productivity or stem turnover rate. About half of the variation in frog biomass (48%) could be attributed to stem turnover rate, while over two-thirds of the variation in lizard biomass (69%) was explained by primary productivity. Biomass variation in frogs resulted from variation in abundance and size, and abundance was related to cation exchange capacity (45% of variation explained), but size was not. Lizard biomass across sites varied mostly with individual lizard size, but not with abundance, and size was highly dependent on primary productivity (85% of variation explained). Soil fertility and plant productivity apparently affect secondary consumers like frogs and lizards through food webs, as biomass is transferred from plants to herbivorous arthropods to secondary consumers. © 2012 Cambridge University Press.","10.1017/S0266467412000430","2-s2.0-84865793596",12,0.412569777,0
"37","amphib_neotropic","Disassembly of a tadpole community by a multi-host fungal pathogen with limited evidence of recovery:","Emerging infectious diseases can cause host community disassembly, but the mechanisms driving the order of species declines and extirpations following a disease outbreak are unclear. We documented the community disassembly of a Neotropical tadpole community during a chytridiomycosis outbreak, triggered by the generalist fungal pathogen, Batrachochytrium dendrobatidis (Bd). Within the first 11 months of Bd arrival, tadpole density and occupancy rapidly declined. Species rarity, in terms of tadpole occupancy and adult relative abundance, did not predict the odds of tadpole occupancy declines. But species losses were taxonomically selective, with glassfrogs (Family: Centrolenidae) disappearing the fastest and tree frogs (Family: Hylidae) and dart-poison frogs (Family: Dendrobatidae) remaining the longest. We detected biotic homogenization of tadpole communities, with post-decline communities resembling one another more strongly than pre-decline communities. The entire tadpole community was extirpated within 22 months following Bd arrival, and we found limited signs of recovery within 10 years post-outbreak. Because of imperfect species detection inherent to sampling species-rich tropical communities and the difficulty of devising a single study design protocol to sample physically complex tropical habitats, we used simulations to provide recommendations for future surveys to adequately sample diverse Neotropical communities. Our unique data set on tadpole community composition before and after Bd arrival is a valuable baseline for assessing amphibian recovery. Our results are of direct relevance to conservation managers and community ecologists interested in understanding the timing, magnitude, and consequences of disease outbreaks as emerging infectious diseases spread globally. © 2016 by the Ecological Society of America.","10.1002/eap.1443","2-s2.0-85008392216",8,0.40426895,0
"39","amphib_neotropic","Host niche may determine disease-driven extinction risk","The fungal pathogen Batrachochytrium dendrobatidis (Bd) drives declines and extinctions in amphibian communities. However, not all regions and species are equally affected. Here, we show that association with amphibian aquatic habitat types (bromeliad phytotelmata versus stream) across Central America results in the odds of being threatened by Bd being five times higher in stream microhabitats. This differential threat of Bd was supported in our study by a significantly lower prevalence of Bd in bromeliad-associated amphibian species compared to riparian species in Honduran cloud forests. Evidence that the bromeliad environment is less favorable for Bd transmission is exemplified by significantly less suitable physicochemical conditions and higher abundance of Bd-ingesting micro-eukaryotes present in bromeliad water. These factors may inhibit aquatic Bd zoospore survival and the development of an environmental reservoir of the pathogen. Bromeliad phytotelmata thus may act as environmental refuges from Bd, which contribute to protecting associated amphibian communities against chytridiomycosis-driven amphibian declines that threaten the nearby riparian communities. © 2017 Blooi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","10.1371/journal.pone.0181051","2-s2.0-85024383763",18,0.391462425,0
"40","amphib_neotropic","Ultraviolet Radiation Influences Perch Selection by a Neotropical Poison-Dart Frog","Ambient ultraviolet-B radiation can harm amphibian eggs, larvae and adults. However, some amphibians avoid UV-B radiation when given the opportunity. The strawberry poison dart frog, Oophaga pumilio, is diurnal and males vocalize throughout the day in light gaps under forest canopies that expose them to solar radiation. Previous studies have demonstrated that males calling from high perches are more successful at mating than those at lower perches. We investigated whether frogs at higher perches receive more ultraviolet-B than those calling from lower perches. We also investigated whether frogs on perches receiving relatively low ultraviolet-B levels maintained their positions for longer compared to individuals calling from perches receiving higher levels of ultraviolet-B. Finally, since it has been hypothesized that some animals utilize levels of UV-A as a visual cue to avoid UV-B damage, we artificially elevated ultraviolet-A levels to examine whether males exposed to artificially elevated ultraviolet-A abandoned their perches sooner compared to males exposed to visible light. We found that frogs called from perches receiving low ultraviolet-B regardless of perch height, and that frogs maintain their positions longer on perches receiving low ultraviolet-B compared to perches receiving even slightly higher ultraviolet-B levels. Exposing the frogs to artificially elevated levels of ultraviolet-A radiation caused males to move off of their perches faster than when they were exposed to a control light source. These experiments suggest that ultraviolet radiation plays an important role in frog behavior related to perch selection, even in rainforests where much of the solar radiation is shielded by the forest canopy. © 2012 Kats et al.","10.1371/journal.pone.0051364","2-s2.0-84871219919",19,0.36832605,0
"42","amphib_neotropic","Leaf-litter herpetofaunal richness, abundance, and community assembly in mono-dominant plantations and primary forest of northeastern Costa Rica","Given current deforestation and land-use change in species-rich tropical forests, a pressing need in conservation biology is to understand how converted, human-modified landscapes support biodiversity. Here, we measured the species richness, abundance, and community composition of amphibians and reptiles in reference primary forest and mono-dominant plantations of three native tree species (Pentaclethra macroloba, Virola koschnyi, Vochysia guatemalensis) at La Selva Biological Station in the Caribbean lowlands of northern Costa Rica. Because these plantation species generate markedly different forest-floor habitats, we hypothesized that tree species would support different assemblages of leaf-litter herpetofauna. Primary forest, Virola, and Vochysia supported greater richness of frogs than Pentaclethra. Frog densities were significantly lower in Pentaclethra and Vochysia than in nearby primary forest. Using non-metric multidimensional scaling and permutational multivariate analysis of variance, we found Pentaclethra to support significantly different assemblages of frogs and lizards than primary forest reference sites, while Vochysia supported a unique assemblage of frogs. Our results suggest that some tree species plantations can support herpetofaunal assemblages comparable to primary forest in richness, community assembly, and abundance. While herpetofaunal community ecology varies among plantation species, our study provides a compelling example of how plantation landscapes can facilitate the restoration of native fauna on degraded landscapes. © 2013 Springer Science+Business Media Dordrecht.","10.1007/s10531-013-0526-0","2-s2.0-84881029094",2,0.343379076,0
"110","bird_antarctic","Population dynamics of Eastern Rockhopper Penguins on Campbell Island in relation to sea surface temperature 1942–2012: current warming hiatus pauses a long-term decline","Major population changes of marine mega-fauna are ongoing as global warming, and other anthropogenic drivers affect prey availability. The historical stronghold of the Eastern Rockhopper Penguin (Eudyptes chrysocome filholi) was New Zealand’s sub-Antarctic Campbell Island, but the population declined by 94 % between 1942 and 1984. The apparent mechanism of collapse was warm ocean temperatures causing an inadequate food supply. Eudyptes penguin population declines are ongoing at some breeding sites, highlighting the need to investigate the population trend on Campbell Island since 1984. We estimated the Eastern Rockhopper Penguin breeding population size through physical and photo-counts of birds and nests in 2012, and changes in colony area relative to 1984 and 1996 photographs. We estimated the 2012 population size at 33,239 breeding pairs, a 21.8 % decrease from an (adjusted) estimate of 42,528 pairs in 1984. Although substantial, the recent 1984–2012 decline occurred at a much slower rate (λ = 0.991) than the 1942–1984 decline (λ = 0.940). Despite great variation in trends between colonies ostensibly linked to differences in predation rates, the recent decline occurred primarily between 1984 and 1996, and thereafter the overall population grew. A 100-year time series of extended reconstructed sea surface temperatures (ERSST) confirmed that the population declined during warm periods and increased during cool periods, but that the initial decline began before increases in regional ERSST. Population growth after 1996 appears related to the current global warming hiatus, lower ERSST, and increased abundance of a key prey species. We predict a continuation of the long-term population decline after warming resumes. © 2014, Springer-Verlag Berlin Heidelberg.","10.1007/s00300-014-1575-x","2-s2.0-84921743627",19,0.937334547,1
"210","bird_antarctic","Population changes and demography of the Northern Rockhopper penguin on Amsterdam and Saint Paul islands","We investigated changes in population size and demography of the Northern Rockhopper Penguin (Eudyptes chrysocome moseleyi) between 1971 and 1995 on Amsterdam and Saint Paul islands. During an intensive survey between 1993 and 1995, breeding success was similar to that reported from other sites, although the first egg (A-egg) loss rate was lower on Amsterdam Island than at other localities. The mean age of first return to the breeding site and of first reproduction were respectively X = 4.2 ± SD of 2.1 years and X = 4.7 ± SD of 1.7 years. The adult survival rate, calculated between 1988 and 1993, was significantly lower one year after banding [X = 72.2 ± SD of 1.6%] than in subsequent years [X = 84.0 ± SD of 1.1%] due to the effect of banding. Immature survival rate was estimated at 39% during the first year after banding. Two birds banded as chicks have been found in Australia, suggesting that immatures winter off Southern Australia. The population on Amsterdam Island decreased at a rate of 2.7% per year between 1971 and 1993. Using the demographic parameters measured, we calculated a modelled rate of increase of 0.940 between 1988 and 1993, a value close to the observed rate of 0.943. Between 1982 to 1993, mean sea surface temperature near Amsterdam and Saint Paul islands decreased significantly, and this change was significantly related to the decline of Amsterdam Island population during the same period. Mean sea surface temperature decline could affect the Rockhopper Penguin population through changes of distribution and abundance of prey. Other factors such as the large increase of the Sub-Antarctic Fur Seal population at Amsterdam Island between 1971 and 1993 could have reduced the penguin population. Between 1971 and 1993, the Saint Paul population of penguins increased by 5.5% per year, but this is not significantly related to the mean sea surface temperature decrease. This small Rockhopper Penguin population may still be recovering to its level before exploitation in the 1930s.",NA,"2-s2.0-0032315436",73,0.910503882,1
"310","bird_antarctic","Albatross populations in peril: A population trajectory for Black-browed Albatrosses at South Georgia","Simulation modeling was used to reconstruct Black-browed Albatross (Diomedea melanophris) population trends. Close approximations to observed data were accomplished by annually varying survival rates, reproductive success, and probabilities of returning to breed given success in previous years. The temporal shift in annual values coincided with the start of longline fishing at South Georgia and potential changes in krill abundance. We used 23 years of demographic data from long-term studies of a breeding colony of this species at Bird Island, South Georgia, to validate our model. When we used annual parameter estimates for survival, reproductive success, and probabilities of returning to breed given success in previous years, our model trajectory closely followed the observed changes in breeding population size over time. Population growth rate was below replacement (lambda < 1) in most years and was most sensitive to changes in adult survival. This supports the recent IUCN uplisting of this species from ""Vulnerable"" to ""Endangered."" Comparison of pre-1988 and post-1988 demography (before and after the inception of a longline fishery in the breeding area) reveals a decrease in lambda from 0.963 to 0.910. A life table response experiment (LTRE) showed that this decline in lambda was caused mostly by declines in survival of adults. If 1988-1998 demographic rates are maintained, the model predicts a 98% chance of a population of fewer than 25 pairs within 78 years. For this population to recover to a status under which it could be ""delisted,"" a 10% increase in survival of all age classes would be needed. © 2006 by the Ecological Society of America.","10.1890/03-5340","2-s2.0-33645099456",34,0.886828932,1
"41","bird_antarctic","Distribution and abundance of the Southern Fulmar Fulmarus glacialoides","We reviewed published and unpublished literature to establish the status of the breeding distribution and abundance of Southern Fulmars Fulmarus glacialoides. The species breeds widely throughout the Antarctic and on peri-Antarctic islands. From breeding population data collated from 73 of these localities, we estimated the minimum global population to be about 400,000 breeding pairs. After adjusting for seasonal variation in numbers of breeding pairs based on studies at Ardery Island, East Antarctica, the total global population is estimated to be at least one million breeding pairs. Of this, 72% nest on islands of the Scotia Sea arc and the South Atlantic Ocean. The precision of the estimate on the total number of breeding pairs is low, as several colony estimates were only available as orders of magnitude. Furthermore, different timing of the surveys and the difficulties of censusing colonial cliff-nesting birds reduced the count accuracy. Currently, there are no known threats to the global population, although the effects of fishery activities are not fully known. © 2007 Springer-Verlag.","10.1007/s00300-007-0276-0","2-s2.0-34447337211",5,0.88102345,0
"51","bird_antarctic","Pygoscelid penguins breeding distribution and population trends at Lions Rump Rookery, King George Island","Long term changes (46 years) in the abundance of pygoscelid penguins breeding populations and nests distribution in the Lions Rump (King George Island) colony were investigated in three time intervals, according to previously published two censuses and one original study conducted in 2010. At that time a detailed colony map based on the GIS system was made. Results of this study showed different trends for each investigated species. In the last three decades Adélie penguin breeding populations showed strong declining tendencies (69.61%). In contrast, the population of gentoo penguins represents the reverse trend, increasing 171.85% over the same period. Observed changes in both penguin population sizes are reflected in the different spatial and geographic distribution of their nests. The population changes observed at the Lions Rump colony are consistent with the relevant pygoscelid penguin tendencies in the western Antarctic Peninsula region. Breeding penguin population dynamics at Lions Rump area with a minimal disturbance by human activity may well illustrate a natural response of those birds to environmental changes in the Antarctic.","10.2478/popore-2013-0002","2-s2.0-84878021792",55,0.872713273,1
"6","bird_antarctic","The white-chinned petrel (Procellaria aequinoctialis) on South Georgia: Population size, distribution and global significance","More white-chinned petrels (Procellaria aequinoctialis) are accidentally killed in fisheries than probably any other seabird in the world, but the population impact of this mortality is poorly understood, partly because there have been no recent estimates of the species' abundance. The breeding aggregation on the sub-Antarctic island of South Georgia is believed to be larger than all others combined. We estimated the size of this population by calculating the area of suitable habitat and the density of occupied burrows within it. Some 670,000 occupied nests were estimated for the island at mid-incubation, representing 0.9 million pairs of breeding-age birds associated with South Georgia in the survey seasons (2005/06 and 06/07). This is 40-45% of the previous estimate, but still represents well over half of the global population. If the population is declining due to fishery bycatch, as is likely, the scale of annual mortality in this population alone is at least in the high tens of thousands, and plausibly hundreds of thousands. © 2009 Springer-Verlag.","10.1007/s00300-008-0570-5","2-s2.0-62949087869",8,0.868969016,1
"73","bird_antarctic","Linking population trends of Antarctic shag (Phalacrocorax bransfieldensis) and fish at Nelson Island, South Shetland Islands (Antarctica)","This study aims to provide consistent information to explain the steady declining trend in the number of breeding pairs of Antarctic shag Phalacrocorax bransfieldensis in two colonies on Nelson Island, South Shetland Islands, southern Atlantic sector of Antarctica, which was observed during the 1990s up to the mid 2000s over an overall monitoring period of over two decades. It addresses correspondence between long-term population trends of inshore demersal fish and inshore-feeding Antarctic shags of this area, where an intensive commercial fishery for shag prey once operated. The analysis also includes comparable information on diet (by examination of regurgitated pellets), foraging patterns, and breeding output of shags from the Danco Coast, western Antarctic Peninsula, an area where no commercial finfish fishery has ever existed. Integral study of these parameters there showed that, in Antarctic shags, low breeding success and high foraging effort might imply low recruitment and high adult mortality, respectively, with both factors adversely affecting the population trends of this bird. In line with these premises, the declining trend observed in shag colonies on the South Shetland Islands appears to have been influenced by the concomitant decrease in abundance of two of their main prey, the nototheniids Notothenia rossii and Gobionotothen gibberifrons, due to intensive industrial fishing in the area in the late 1970s. In comparison, no such pattern occurred for the Danco Coast colonies. © 2015, Springer-Verlag Berlin Heidelberg.","10.1007/s00300-015-1850-5","2-s2.0-84949517452",21,0.847924953,1
"81","bird_antarctic","Breeding biology and population dynamics of giant petrels Macronectes at South Georgia (Aves: Procellariiformes)","The breeding biology and population dynamics of the two species of giant petrels, Macronectes halli and M. giganteus, were studied at Bird Island, South Georgia during 1978–81. The mean laying date of M. halli was in early October, five to six weeks ahead of M. giganteus. In both species males take the larger share (c. 54%) of incubation. The eggs of the two species are of the same size but in M. halli the egg formed a significantly higher proportion of the female body weight. On hatching M. giganteus chicks are 5% heavier than M. halli chicks but there are no sexual differences in weight. Brooding and guarding in M. halli is 11 days longer than in M giganteus and males undertake 60–68% of the duties during this time. Males of both species take five to six days longer to fledge than females and M. halli chicks have a seven to nine day shorter fledging period. The sex ratio amongst chicks is 1: 1. Chick growth (weight, culmen length and wing length) is summarized. Males reach higher peak and fledging weights than females in both species and have significantly larger bills through most of the fledging period. The increase in wing length was similar in both sexes until near the end of the fledging period. Adult M. halli tend to be shorter‐winged, larger‐billed and lighter in weight than M. giganteus at Bird Island. Chick mortality was on average c. 10% higher in M. giganteus than in M. halli leading to a lower overall breeding success in the former. Whilst the breeding population of M. giganteus seems to have stayed relatively stable M. halli has increased in numbers over the last 20 years. However 26‐9‐57–5% of birds colour‐ringed in 1978 did not breed in the subsequent two breeding seasons. Mean annual survival of breeding adults was c. 0–90. Breeding commenced between age 6 and 9 years with males possibly starting earlier than females. The increased population of M. halli and the better survival of their chicks is attributed to the considerable increase in breeding Antarctic fur seals Arctocephalus gazella which provide an abundance of carrion for M. halli nestlings during the first 30 days after hatching. Copyright © 1984, Wiley Blackwell. All rights reserved","10.1111/j.1469-7998.1984.tb02343.x","2-s2.0-0021532968",51,0.843688451,1
"91","bird_antarctic","Status and trends of antarctic seabirds at Admiralty Bay, King George Island","This is a comparative study on the distribution, abundance and density of birds in Admiralty Bay on King George Island, Antarctica, excluding the area called ASPA 128. The survey was carried out during the breeding season of 2004/05. All data pertaining to populations of breeding birds were obtained after defining procedures and registering nests. Abundance and density calculations were made for all ice-free areas having breeding species. For comparison and assessment of the final status of birds in the bay, we used the work by JABLONSKI (1986) undertaken in 1978/79. Of the eight species evaluated, four had a significant population reduction: Pygoscelis antarctica, Macronectes giganteus, Phalacrocorax atriceps, and Sterna vittatta; two species, Daption capense and Chionis alba, remained stable, while Catharacta sp and Larus dominicanus had a population increase.",NA,"2-s2.0-34147164040",6,0.841202327,1
"101","bird_antarctic","Abundance and breeding distribution of seabirds in the northern part of the danco coast, antarctic peninsula","Seabird abundances and breeding distribution have the potential to serve as ecological indicators. The western Antarctic Peninsula is one of the three sites in the world with the greatest increases in local temperature during the last 50 years. The aim of this study was to monitor the distribution and abundance of breeding populations of seabirds in the northern sector of the Danco Coast, north-west of the Antarctic Peninsula, during the breeding season 2010/11. The birds were the Wilson's storm petrel (Oceanites oceanicus), South Polar skua (Stercorarius maccormicki), kelp gull (Larus dominicanus), Antarctic tern (Sterna vittata), snowy sheathbill (Chionis alba), chinstrap penguin (Pygoscelis antarctica), southern giant petrel (Macronectes giganteus), gentoo penguin (Pygoscelis papua), Cape petrel (Daption capense) and Antarctic shag (Phalacrocorax bransfieldensis). Annual breeding population growth increased in pygoscelids, southern giant petrel and sheathbill, and for the remaining species, breeding population trends were stable. Given that seabird populations can provide valuable information on the conditions of their feeding and nesting environments, this study highlights the need to maintain basics monitoring studies. © 2013 D. González-Zevallos et al.",NA,"2-s2.0-84876367261",1,0.830370629,1
"111","bird_antarctic","Population abundance, structure and turnover estimates for leopard seals during winter dispersal combining tagging and photo-identification data","Winter dispersal in leopard seals is poorly understood because of its low density in most of its range. By combining photo-identification and tagging data from Bird Island, South Georgia, in mark-recapture models, leopard seal abundance over the winter of 2005 was estimated as 118 (95% CI: 78-179). Seasonal residents arrived earlier and stayed longer around the island (27 days; 95% CI: 23-32) and their numbers were low and stable over the winter (x̄ = 12; 95%CI: 5-28). Most of the seals (81; 95% CI: 31-130) were young transients, stayed only 1-7 days, and arrived later in the season. This suggests (1) very low predatory pressure upon the locally abundant prey populations; (2) two different patterns of winter movements: a winter migration in adult seals with long-term site fidelity, and large numbers of juveniles in dispersal possibly attracted by locally abundant prey colonies, and potentially influenced by increased environmental stress. © 2006 Springer-Verlag.","10.1007/s00300-006-0149-y","2-s2.0-33749858440",10,0.822431295,0
"121","bird_antarctic","Abundance and breeding of the Antarctic Tern Sterna vittata at the James Ross and Seymour Islands, NE Antarctic Peninsula","The Antarctic Peninsula (AP) is experiencing rapid environmental change associated with warming and sea ice retreat, which is likely to affect locally breeding birds. Yet, contrary to the knowledge of bird biology along the maritime West coasts of the AP, there is a remarkable lack of data from the more continental East coast. We report on the distribution, abundance, and breeding of the Antarctic Tern at the James Ross and Seymour islands, the two largest snow-free areas in the NE part of the AP, where this species breeds under harsh climate conditions probably close to its limits. Terns were found breeding in most ice-free areas, with nests located up to 2. 9 km from coastlines at altitudes up to 180 m a. s. l. While the large-scale density was relatively low (c. 450 pairs per 127 km2 of surveyed ice-free area), the local density (total colony area: 3 nests per ha; nest clusters: 100-140 nests per ha) was as high as elsewhere. Mean clutch size (1. 21, n = 196) was smaller than in the west AP or in the maritime Antarctic. Daily nest survival rate during incubation varied between years and locations (mean = 0. 977; 95 % CI: 0. 966-0. 985). While both predation and weather-caused mortality were locally important, the impact of skua predation might be lower in areas with alternative prey (penguin colonies). We suggest that the Antarctic Tern deserves attention as a species potentially suitable for monitoring of environmental impacts upon bird populations around the AP. © 2012 Springer-Verlag Berlin Heidelberg.","10.1007/s00300-012-1251-y","2-s2.0-84872613833",24,0.821432731,0
"131","bird_antarctic","Breeding sites and population of seabirds on Admiralty Bay, King George Island, Antarctica","The monitoring of the status and distribution of seabird populations is necessary to understand their spatial and temporal responses to rapid climate changes occurring in the Western Antarctic Peninsula area. We surveyed and mapped Admiralty Bay bird communities and related them to climate variables—temperature, temperature anomaly, Antarctic Oscillation Index and El-Niño Southern Oscillation Index. We recorded 13 breeding seabird species over three seasons (2009/2010, 2010/2011 and 2011/2012) and mapped 10 of them over an area of 149.5 ha. The ice-free areas with the greatest number of species were Point Thomas, Keller Peninsula and Hennequin Point. The most abundant species was the Adelie Penguin (Pygoscelis adeliae) followed by the Chinstrap Penguin (P. antarcticus). We observed that the number of breeding pairs of Gentoo Penguins (P. papua), Chinstrap Penguins and skuas (Catharacta maccormicki and C. antarctica) are related to temperature, temperature anomaly and El-Niño Southern Oscillation Index. The size of breeding populations and their distributions have been fluctuating over the last 30 years in ice-free areas of Admiralty Bay. Most species showed a decreasing trend from 1978 to 2012, with the exception of Chinstrap Penguins, Southern Giant Petrels (Macronectes giganteus) and skuas, which seem to be stable in numbers in the last two decades. Decreases in seabird populations from the Antarctic Peninsula are widely recognized as a response to environmental change and anthropogenic influences such as tourism and building activities, thus highlighting the importance of monitoring to support mitigation measures. © 2015, Springer-Verlag Berlin Heidelberg.","10.1007/s00300-015-1846-1","2-s2.0-84948707685",23,0.812143136,1
"151","bird_antarctic","Distribution and abundance of breeding birds at Deception Island, South Shetland Islands, Antarctica, February to April 2000","A survey of breeding birds during the brooding stage was carried out from February to April 2000 in the southern portion of Deception Island, South Shetland Islands, Antarctica. This island supports two Sites of Special Scientific Interest (SSSI Nos. 21 and 27). Nine species were found breeding in the study area: Chinstrap Penguin Pygoscelis antarctica (an estimated 6820 breeding pairs at two colonies surveyed), Pintado or Cape Petrel Daption capense (36), Wilson's Storm Petrel Oceanites oceanicus (3), Antarctic Cormorant Phalacrocorax atriceps bransfieldensis (9), Greater Sheathbill Chionis alba (2), Subantarctic Skua Catharacta antarctica (4), South Polar Skua C. maccormicki (11), Kelp Gull Larus dominicanus (49) and Antarctic Tern Sierna vittata (5). Due to the increasing tourist activity at Deception Island, better information on the location and size of breeding populations is a particular requirement if effective precautionary conservation actions are to be taken.",NA,"2-s2.0-0035240744",17,0.810827376,0
"161","bird_antarctic","Relative abundance of large whales around South Georgia (1979-1998)","To assess large-whale stocks following the cessation of land-based South Georgia whaling in 1965, we report three independent sighting databases: a cruise in 1997, observations from Bird Island (NW of South Georgia) between 1979 and 1998, and mariner sightings between 1992 and 1997. All species were rare, with sightings of southern right whales being the most common event. Two right whales photographed off South Georgia matched animals known from Peninsula Valdes, Argentina, a population known to be growing at 7% per annum. In contrast, blue and fin whales appeared to be less abundant. A single blue whale mother-calf pair was observed off the Shag Rocks in February 1997. Extirpation of animals from this particular feeding ground is the most likely reason for ongoing low numbers of all species. Other factors may include competition for krill by traditional predators such as penguins and seals and more recently by humans, an unusually high rate of natural mortality, habitat change such as alteration in sea ice coverage, and/or the impact of ongoing whaling. The history of this critical area of large-whale habitat and this report demonstrate the need for improved, consistent longterm monitoring of population trends for these depleted stocks.","10.1111/j.1748-7692.1999.tb00891.x","2-s2.0-0032694741",18,0.806160626,1
"171","bird_antarctic","Kelp gulls, Larus dominicanus (Aves: Laridae), breeding in Keller Peninsula, King George Island, Antarctic Peninsula","We examined the distribution, abundance and density of the Kelp Gull, Larus dominicanus (Lichtenstein, 1823), at Keller Peninsula on two occasions during the breeding season of 2007-2008 (once for incubation and once for chick stages) and compared our results with previously published data. We present information on the number of eggs, incubation success, and initial development of L. dominicanus chicks in the studied sites. The abundance and density of the species has remained statistically similar in Keller Peninsula over the last 30 years (since 1978-1979). Although the abundance and density were almost unchanged, we recorded alterations in the occupation of the breeding areas by L. dominicanus, mainly the abandonment of breeding sites in the eastern portion of Keller Peninsula. The results of the present study compared with similar previous investigations on the abundance of L. dominicanus indicate that the populations have been in equilibrium over the years. © 2009 Sociedade Brasileira de Zoologia.","10.1590/S1984-46702009005000005","2-s2.0-79954475511",3,0.800800162,1
"181","bird_antarctic","Re-constructing historical Adélie penguin abundance estimates by retrospectively accounting for detection bias","Seabirds and other land-breeding marine predators are considered to be useful and practical indicators of the state of marine ecosystems because of their dependence on marine prey and the accessibility of their populations at breeding colonies. Historical counts of breeding populations of these higher-order marine predators are one of few data sources available for inferring past change in marine ecosystems. However, historical abundance estimates derived from these population counts may be subject to unrecognised bias and uncertainty because of variable attendance of birds at breeding colonies and variable timing of past population surveys. We retrospectively accounted for detection bias in historical abundance estimates of the colonial, land-breeding Adélie penguin through an analysis of 222 historical abundance estimates from 81 breeding sites in east Antarctica. The published abundance estimates were de-constructed to retrieve the raw count data and then re-constructed by applying contemporary adjustment factors obtained from remotely operating time-lapse cameras. The re-construction process incorporated spatial and temporal variation in phenology and attendance by using data from cameras deployed at multiple sites over multiple years and propagating this uncertainty through to the final revised abundance estimates. Our re-constructed abundance estimates were consistently higher and more uncertain than published estimates. The re-constructed estimates alter the conclusions reached for some sites in east Antarctica in recent assessments of long-term Adélie penguin population change. Our approach is applicable to abundance data for a wide range of colonial, land-breeding marine species including other penguin species, flying seabirds and marine mammals. © 2015 Southwell et al.","10.1371/journal.pone.0123540","2-s2.0-84929379144",2,0.800014998,1
"191","bird_antarctic","Long-term population trends in seven Antarctic seabirds at Pointe Géologie (Terre Adélie): Human impact compared with environmental change","Antarctic seabird populations have been much studied over the last decades as bioindicators of the nature of variability in the Southern Ocean marine ecosystem, and most attention has been focused on the role of food supply and the extent of sea ice. In addition, the rapid spread of tourism and the activities of researchers since the early 1960s have raised questions related to their real and potential impact on bird populations. Our data sets start in 1952 for several species of Antarctic seabirds and this study documents the trends over a 14-year period (1985-1999) in seven species breeding on Pointe Géologie archipelago (Terre Adélie, Antarctica). This is the first study where the direct impact of destruction of breeding sites (for building of an airstrip) is examined and where such long-term populations trends have been assessed in such a number of Antarctic species at one site. Trends from 1985 show that for the whole archipelago and when excluding islands destroyed, Adélie penguins and south polar skuas were the only species to show a significant increase (> 3.5% annual change). The others species showed opposite trends, three increasing slightly (southern fulmars + 0.4%, cape petrels + 2.3%, snow petrels + 0.9%) and two decreasing (emperor penguin - 0.9%, southern giant petrel - 3.9%). Three species particularly affected by the destruction of their breeding habitat (Adélie penguin, cape petrel, snow petrel) showed the capability to restore their populations. The availability of food and nesting sites is discussed in relation to environmental change. Species feeding on krill (Adélie penguins and cape petrels) increased more than other species; however, decrease of ice cover can increase availability of nesting sites. The importance of long-term studies is shown when assessing the role of human activities in Antarctica compared to larger-scale changes.","10.1007/s003000000193","2-s2.0-0035096817",43,0.799428138,1
