,EID,X__1,Unnamed: 0,Authors,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Document Type,Source,p,Relevance_std,Relevance_ranked,X__2,Timespan_std,Timespan_ranked,Relevance_std_mod,Timespan_std_mod,Relevance_ranked_mod,Timespan_ranked_mod,Scopus_index,Present_in_training_docs
28,2-s2.0-2442626623,39,39,"Jahncke J., Checkley Jr. D.M., Hunt Jr. G.L.",6603064278;7003920921;7202673826;,Trends in carbon flux to seabirds in the Peruvian upwelling system: Effects of wind and fisheries on population regulation,2004,Fisheries Oceanography,10.1111/j.1365-2419.2004.00283.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442626623&doi=10.1111%2fj.1365-2419.2004.00283.x&partnerID=40&md5=abe2b6693bf8e60eb4c01e66b09586ed,"We hypothesized that change in the annual population size of guano-producing seabirds (cormorant, Phalacrocorax bougainvillii; booby, Sula variegata; pelican, Pelecanus thagus) is a response to changes in primary and secondary production of the Peruvian upwelling system. We tested this hypothesis by modeling nitrate input through upwelling to the upper layers of the ocean off Peru between 6° and 14°S using data on wind stress and sea surface temperature. The model predicted the amount of carbon fixed by primary production each year from 1925 to 2000, which was then apportioned to the Peruvian anchovy (Engraulis ringens) biomass and ultimately to the seabird population and the anchovy fishery, the largest single-species fishery on Earth. The model predicted a marked increase in primary production as a consequence of increasing wind stress. It overestimated the anchovy biomass after the collapse of the fishery in 1972, but closely predicted the growth of seabird populations from 1925 to the mid-1960s, and their decline thereafter, explaining about 94% of the variation in seabird numbers from 1925 to 2000. The model indicates the seabirds consumed 14.4% of the available anchovies and, thus, that seabirds consumed 2.3% of the new production, before the development of the anchovy fishery, and only 2.2% of the available anchovies and 0.3% of the new production after the development of the fishery. The model results clarify the roles that environmental and anthropogenic factors may have had in regulating the guano-producing seabird populations. It indicates that the growth of seabird populations from 1925 to 1955 was likely a response to increased productivity of the Peruvian upwelling system and that the subsequent drastic decline in seabird abundance was likely due to competition for food with the fishery, which caught ∼85% of the anchovies, which otherwise would have been available for the seabirds. This model also shows that an increase in oceanic primary production promotes reproductive success and population growth in higher trophic level organisms.",Article,Scopus,0.70641852,NA,1,NA,NA,15,,,1,15,40,NA
35,2-s2.0-56249119909,16,16,"Costa E.S., Alves M.A.S.",14423967400;7202824624;,"The breeding birds of Hennequin Point: An ice-free area of Admiralty Bay (Antarctic Specially Managed Area), King George Island, Antarctica",2008,Revista Brasileira de Ornitologia,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56249119909&partnerID=40&md5=95152cc9072e861f59bfe3b551e1a276,"We surveyed the breeding bird community of Hennequin Point, King George Island, Antarctic Peninsula, in the 2004/2005 breeding season and here we provide a comparison of our data with Jablonski's data collected in the summer of 1978/79 (Jablonski 1986). We recorded eight species breeding in the study area, including: the Cape Petrel (Daption capense), the Wilson's Storm-petrel (Oceanites oceanicus), the Black-bellied Storm-petrel (Fregetta tropica), the South Polar Skua (Catharacta maccormicki), the Subantarctic Skua (C. lonnbergi), the Chilean Skua (C. chilensis), the Kelp Gull (Larus dominicanus) and the Antarctic Tern (Sterna vittata). Two species showed positive average annual growth: the South Polar Skua (10.33%) and the Kelp Gull (6.22%); three others showed negative average annual growth: the Wilson's Storm-petrel (-1.29%), the Subantarctic Skua (-6.00%) and the Antarctic Tern (-2.13%). The total species abundance did not differ significantly between the analyzed years (U = 28.500; p = 0.29), but we could observe qualitative alterations in the abundance per species and composition of bird community in Hennequin Point when we compared the data presented by Jablonski (1986) and the data from this study. These data can serve as a basis for studies with regular time intervals to understand the bird population fluctuations and the environmental variables associated to them.",Article,Scopus,0.697508615,1,1,NA,10,15,1,10,1,15,17,0
22,2-s2.0-16244419776,3,3,"Johnson M.D., Sherry T.W., Strong A.M., Medori A.",55547121874;7004025591;7102215532;8261971200;,Migrants in Neotropical bird communities: An assessment of the breeding currency hypothesis,2005,Journal of Animal Ecology,10.1111/j.1365-2656.2005.00928.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-16244419776&doi=10.1111%2fj.1365-2656.2005.00928.x&partnerID=40&md5=67fc8fbf3c1b591b6da33d5bdfbcb5af,"1. Explanations for the integration of migratory and non-migratory (resident) birds in the Neotropics have been complicated by the paradox that arthropod abundances are low when bird abundances reach their annual peak. The breeding currency hypothesis offers an explanation for this paradox by postulating that resident birds are limited in the breeding season by the availability of large arthropods suitable for reproduction, whereas the carrying capacity of all birds in the non-breeding season is limited by the availability of arthropods suitable for self-maintenance of adults. 2. Field data from Jamaica supported this hypothesis. Among 19 sites, the ratio of migrant to resident bird abundance was correlated negatively with the ratio of large arthropod biomass in the breeding season to total arthropod biomass in the non-breeding season. 3. However, after controlling for effects of arthropod seasonality, migrant to resident bird abundance ratios were higher in human-disturbed than undisturbed sites. 4. Other factors may interact with the availability of food for nestlings to limit the populations of resident birds below carrying capacities set by non-breeding season arthropod abundance, thereby creating a set of resources available to non-breeding migrants. © 2005 British Ecological Society.",Article,Scopus,0.696474003,0,0,NA,5,15,0,5,0,15,4,NA
40,2-s2.0-7944227811,8,8,"Bretagnolle V., Certain G., Houte S., Métais M.",7004180492;6508101392;6507559975;6507843092;,"Distribution maps and minimum abundance estimates for wintering auks in the Bay of Biscay, based on aerial surveys",2004,Aquatic Living Resources,10.1051/alr:2004044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7944227811&doi=10.1051%2falr%3a2004044&partnerID=40&md5=fc6325bf112513046f6b61d30e9b622b,"The “Erika” oil spill has killed more seabirds than any before in Europe: nearly 70 000 guillemots (Uria aalge) were found dead or alive on beaches, and many more are thought to have been killed. This unexpectedly high number highlighted how poor our knowledge was on spatial and temporal patterns in seabird distribution in the Bay of Biscay. The purpose of our research project, “ERIKA-Avion”, was to fill this gap, providing the first distribution maps and abundance estimates of seabirds wintering in the entire shelf of the Bay of Biscay. In particular, we analysed fine-grained distribution maps for the wintering auks, comparing their areas of highest density with the oil drift area, and proposing for the first time (although preliminarily) minimal abundance estimates for these birds in this area. © EDP Sciences, IFREMER, IRD 2004.",Article,Scopus,0.695155301,0,0,NA,5,15,0,5,0,15,9,NA
65,2-s2.0-85028973645,60,60,"Letessier T.B., Bouchet P.J., Meeuwig J.J.",33867647700;7006076259;6603379568;,Sampling mobile oceanic fishes and sharks: Implications for fisheries and conservation planning,2017,Biological Reviews,10.1111/brv.12246,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028973645&doi=10.1111%2fbrv.12246&partnerID=40&md5=65e2742c2d9d209916c05731ecd2b0c4,"Tuna, billfish, and oceanic sharks [hereafter referred to as ‘mobile oceanic fishes and sharks’ (MOFS)] are characterised by conservative life-history strategies and highly migratory behaviour across large, transnational ranges. Intense exploitation over the past 65 years by a rapidly expanding high-seas fishing fleet has left many populations depleted, with consequences at the ecosystem level due to top-down control and trophic cascades. Despite increases in both CITES and IUCN Red Listings, the demographic trajectories of oceanic sharks and billfish are poorly quantified and resolved at geographic and population levels. Amongst MOFS trajectories, those of tunas are generally considered better understood, yet several populations remain either overfished or of unknown status. MOFS population trends and declines therefore remain contentious, partly due to challenges in deriving accurate abundance and biomass indices. Two major management strategies are currently recognised to address conservation issues surrounding MOFS: (i) internationally ratified legal frameworks and their associated regional fisheries management organisations (RFMOs); and (ii) spatio-temporal fishery closures, including no-take marine protected areas (MPAs). In this context, we first review fishery-dependent studies relying on data derived from catch records and from material accessible through fishing extraction, under the umbrella of RFMO-administrated management. Challenges in interpreting catch statistics notwithstanding, we find that fishery-dependent studies have enhanced the accuracy of biomass indices and the management strategies they inform, by addressing biases in reporting and non-random effort, and predicting drivers of spatial variability across meso- and oceanic scales in order to inform stock assessments. By contrast and motivated by the increase in global MPA coverage restricting extractive activities, we then detail ways in which fishery-independent methods are increasingly improving and steering management by exploring facets of MOFS ecology thus far poorly grasped. Advances in telemetry are increasingly used to explore ontogenic and seasonal movements, and provide means to consider MOFS migration corridors and residency patterns. The characterisation of trophic relationships and prey distribution through biochemical analysis and hydro-acoustics surveys has enabled the tracking of dietary shifts and mapping of high-quality foraging grounds. We conclude that while a scientific framework is available to inform initial design and subsequent implementation of MPAs, there is a shortage in the capacity to answer basic but critical questions about MOFS ecology (who, when, where?) required to track populations non-extractively, thereby presenting a barrier to assessing empirically the performance of MPA-based management for MOFS. This sampling gap is exacerbated by the increased establishment of large (&gt;10000 km2) and very large MPAs (VLMPAs, &gt;100000 km2) - great expanses of ocean lacking effective monitoring strategies and survey regimes appropriate to those scales. To address this shortcoming, we demonstrate the use of a non-extractive protocol to measure MOFS population recovery and MPA efficiency. We further identify technological avenues for monitoring at the VLMPA scale, through the use of spotter planes, drones, satellite technology, and horizontal acoustics, and highlight their relevance to the ecosystem-based framework of MOFS management. © 2015 Cambridge Philosophical Society.",Article,Scopus,0.692280096,NA,NA,NA,NA,NA,,,1,15,61,NA
21,2-s2.0-15744398088,63,63,"Komdeur J., Pels M.D.",7007129997;8501424100;,"Rescue of the Seychelles warbler on Cousin Island, Seychelles: The role of habitat restoration",2005,Biological Conservation,10.1016/j.biocon.2004.12.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15744398088&doi=10.1016%2fj.biocon.2004.12.009&partnerID=40&md5=64514673abde6d0b30317ff920dbef87,"Management policies to save threatened species are not always successful, often due to the lack of a scientific basis and evaluation of the species response. We describe the ecological studies and the conservation actions taken between 1985 and 1992 on Cousin Island (29 ha, Seychelles) to safeguard the future of the highly threatened Seychelles warbler (Acrocephalus sechellensis), which until 1988 only occurred on this island. A detailed field study was designed to (1) identify the key processes influencing warbler demography, (2) identify appropriate management techniques to increase the warbler population, and (3), assess the influence of the resulting habitat management. Since 1980 the island has been saturated with c. 115 territories and c. 320 birds. The warbler is purely insectivorous. Morinda (Morinda citrifolia), the most insect rich tree, is preferred for foraging. The higher the insect abundance (and Morinda cover) in territories the higher the reproductive success and survival of warblers. Insect numbers were highest in the central part of Cousin and decreased towards the coast. Coastal territories protected by a salt tolerant hedge of Scaevola (Scaevola taccada) had more insects and higher reproductive success than unprotected territories. Between 1990 and 1992 Morinda trees were planted on the island and Scaevola along the coast. Although these habitat restoration measures have not resulted in higher numbers of adult warblers and territories due to habitat saturation, they have been successful in terms of improving the quality of existing breeding territories and with that the reproductive success of breeding birds (including the number of territories producing recruits), and the exchange of individuals (genetic material) between territories. We provide evidence that the high reproductive potential of this species is likely to improve the resilience of the species to catastrophic events. © 2005 Elsevier Ltd. All rights reserved.",Article,Scopus,0.689307661,NA,NA,NA,NA,NA,,,,,64,NA
23,2-s2.0-17444386749,20,20,"Yen P.P.W., Sydeman W.J., Morgan K.H., Whitney F.A.",8523340800;6701598231;13805529500;7003347325;,Top predator distribution and abundance across the eastern Gulf of Alaska: Temporal variability and ocean habitat associations,2005,Deep-Sea Research Part II: Topical Studies in Oceanography,10.1016/j.dsr2.2004.12.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-17444386749&doi=10.1016%2fj.dsr2.2004.12.018&partnerID=40&md5=f0cfe573ecff6f1ef19a4fa208a45182,"We studied interannual variation in marine bird and mammal distribution and abundance in the eastern Gulf of Alaska (GOA) over 8 years, 1996-2003. We identified and enumerated seabirds, pinnipeds and cetaceans along a replicated 1500 km survey path, representing 450 km2 of coastal and 2000 km 2 of oceanic habitat. Near-surface temperature (5 m depth) fluctuated considerably from year to year, in part due to the timing of the survey, with an early survey in 1996 and a late survey in 2002. Many species were observed across the entire gradient, particularly procellariiform (tubenose) seabirds and Dall's porpoise (Phocoenoides dalli). We observed peaks in abundance in the oceanic zone in 1998, 2001, and 2002, owing primarily to influxes of dark shearwaters (Puffinus spp.) and Leach's storm-petrels (Oceanodroma leuchora). Rank correlations indicated similar year-to-year changes in density between species, and species-specific responses to temperature and ocean productivity as indexed by nitrate and chlorophyll a concentrations. We developed topographic/bathymetric models of habitat selection for the coastal zone. Although we found some distinct habitat preferences in this zone, overall we observed a continuum in the marine bird and mammal community across the entire eastern GOA. The strength of the coupling between coastal and oceanic environments as provided by variation in top predator dispersion appears related to large-scale variations in oceanography, though we have yet to fully investigate causal mechanisms. © 2005 Elsevier Ltd. All rights reserved.",Conference Paper,Scopus,0.686027594,1,NA,NA,15,NA,1,10,,,21,NA
71,2-s2.0-85042687224,29,29,"Boieiro M., Catry P., Jardim C.S., Menezes D., Silva I., Coelho N., Oliveira P., Gatt M.C., Pedro P., Granadeiro J.P.",6505535304;7003725276;57200959498;7006519990;35996656800;57200964633;55734347682;57136530000;12767895700;6603758245;,Invasive Argentine ants prey on Bulwer's petrels nestlings on the Desertas Islands (Madeira) but do not depress seabird breeding success,2018,Journal for Nature Conservation,10.1016/j.jnc.2018.02.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042687224&doi=10.1016%2fj.jnc.2018.02.013&partnerID=40&md5=8a2304b4e19d69eae8c4f508a8f0e571,"Invasive ants have the potential to cause severe impacts on the structure and composition of native invertebrate communities and interfere with the natural processes of pollination and seed dispersal. Less frequently reported, direct and indirect impacts on vertebrates, namely birds, are also known to occur. The Argentine ant Linepithema humile is one of the worst invasive species worldwide, and is responsible for economic and ecological impacts in Madeira since its introduction. Previous reports indicated that Argentine ants may be a frequent predator of nestlings on the Desertas Islands which harbour internationally important seabird colonies. Here, we provide a survey of the records of bird predation by Argentine ants in the Desertas. Furthermore, we also assessed if these invasive ants affected the most abundant crevice-nesting seabird on Deserta Grande, the Bulwer's petrel Bulweria bulwerii, by nest monitoring in the years of 2014–2016. We found that breeding success varied annually between 0.56 and 0.63 chicks produced per nesting attempt. Ant predation of chicks was observed in only two out of 294 study nests. Furthermore, no relationship was found between local abundance of Argentine ants and breeding success of Bulwer's petrels. We conclude that Argentine ants do not seem to pose a major threat to nesting petrels on the Desertas, although we acknowledge the possibility that environmental changes and episodic population explosions of this invasive species may lead to a greater impact on seabirds’ reproductive success. © 2018 Elsevier GmbH",Article,Scopus,0.673302428,NA,NA,NA,NA,NA,,,,,30,NA
32,2-s2.0-53849128179,34,34,"Carrascal L.M., Seoane J., Palomino D., Polo V.",7004349656;7006914704;8377335900;57199353655;,Explanations for bird species range size: Ecological correlates and phylogenetic effects in the Canary Islands,2008,Journal of Biogeography,10.1111/j.1365-2699.2008.01958.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-53849128179&doi=10.1111%2fj.1365-2699.2008.01958.x&partnerID=40&md5=1199c0bbe01e1438a7319917b17bdd09,"Aim: To explore the determinants of island occupancy of 48 terrestrial bird species in an oceanic archipelago, accounting for ecological components while controlling for phylogenetic effects. Location: The seven main islands of the Canary archipelago. Methods: We obtained field data on population density, habitat breadth and landscape distribution in Tenerife, Fuerteventura and La Palma, aiming to sample all available habitats and the gradient of altitudes. In total, 1715 line transects of 0.5 km were carried out during the breeding season. We also reviewed the literature for data on occupancy, the distance between the Canary Islands and the nearest distribution border on the mainland, body size and endemicity of the 48 terrestrial bird species studied. Phylogenetic eigenvector regression was used to quantify (and to control for) the amount of phylogenetic signal. Results: The two measurements of occupancy (number of occupied islands or 10 x 10 km UTM squares) were tightly correlated and produced very similar results. The occupancy of the terrestrial birds of the Canary Islands during the breeding season had a very low phylogenetic effect. Species with broader habitat breadth, stronger preferences for urban environments, smaller body size, and a lower degree of endemicity had a broader geographical distribution in the archipelago, occupying a larger number of islands and 10 x 10 UTM squares. Main conclusions: The habitat-generalist species with a tolerance for novel urban environments tend to be present on more islands and to occupy a greater area, whereas large-sized species that are genetically differentiated within the islands are less widespread. Therefore, some properties of the ranges of these species are explicable from basic biological features. A positive relationship of range size with local abundance, previously shown in continental studies, was not found, probably because it relies on free dispersal on continuous landmasses, which may not be applicable on oceanic islands. © 2008 The Authors.",Article,Scopus,0.670918387,NA,NA,NA,NA,NA,,,,,35,NA
17,2-s2.0-0036925101,46,46,Barrera-Oro E.,56175611700;,The role of fish in the Antarctic marine food web: Differences between inshore and offshore waters in the southern Scotia Arc and west Antarctic Peninsula,2002,Antarctic Science,10.1017/S0954102002000111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036925101&doi=10.1017%2fS0954102002000111&partnerID=40&md5=fb130b4e921862eaf33c80f5bada235f,"The role of fish in the Antarctic food web in inshore and offshore waters is analysed, taking as an example the coastal marine communities of the southern Scotia Arc (South Orkney Islands and South Shetland Islands) and the west Antarctic Peninsula. Inshore, the ecological role of demersal fish is more important than that of krill. There, demersal fish are major consumers of benthos and also feed on zooplankton (mainly krill in summer). They are links between lower and upper levels of the food web and are common prey of other fish, birds and seals. Offshore, demersal fish depend less on benthos and feed more on zooplankton (mainly krill) and nekton, and are less accessible as prey of birds and seals. There, pelagic fish (especially lantern fish) are more abundant than inshore and play an important role in the energy flow from macrozooplankton to higher trophic levels (seabirds and seals). Through the higher fish predators, energy is transferred to land in the form of fish remains, pellets (birds), regurgitation and faeces (birds and seals). However, in the general context of the Antarctic marine ecosystem, krill (Euphausia superba) plays the central role in the food web because it is the main food source in terms of biomass for most of the high level predators from demersal fish up to whales. This has no obvious equivalent in other marine ecosystems. In Antarctic offshore coastal and oceanic waters the greatest proportion of energy from the ecosystem is transferred to land directly through krill consumers, such as flying birds, penguins, and seals. Beside krill, the populations of fish in the Antarctic Ocean are the second most important element for higher predators, in particular the energy-rich pelagic Myctophidae in open waters and the pelagic Antarctic silver fish (Pleuragramma antarcticum) in the high Antarctic zone. Although the occurrence of these pelagic fish inshore has been poorly documented, their abundance in neritic waters could be higher than previously believed.",Review,Scopus,0.67079463,NA,NA,NA,NA,NA,,,,,47,NA
7,2-s2.0-0033373583,40,40,"Van Franeker J.A., Gavrilo M., Mehlum F., Veit R.R., Woehler E.J.",6602084064;6506910731;56630764300;7007017168;55895022100;,Distribution and abundance of the Antarctic Petrel,1999,Waterbirds,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033373583&partnerID=40&md5=812017301fbe820463ecf233d87397f9,"Published and unpublished information on the distribution and abundance of the Antarctic Petrel (Thalassoica antarctica) is reviewed. Currently 35 colonies with approximately half a million breeding pairs are known. All but one of these known colonies are situated in East Antarctica. However, an estimate derived from at sea studies in three of four apparent centers of oceanic occurrence suggests a population as high as four to seven million breeding pairs (10 to 20 million individuals). In spite of the tentative nature of such an estimate, the difference with the colony-derived figure strongly suggests the existence of large, currently undiscovered colonies, particularly in western Antarctica and Victoria Land, where a complete mismatch exists between bird observations at sea and known colonies. In eastern Antarctica, in addition to undiscovered colonies, some known ones could be considerably larger than currently documented.",Review,Scopus,0.654176601,NA,NA,NA,NA,NA,,,,,41,NA
27,2-s2.0-23944515511,15,15,Abbott K.L.,8677681000;,"Supercolonies of the invasive yellow crazy ant, Anoplolepis gracilipes., on an oceanic island: Forager activity patterns, density and biomass",2005,Insectes Sociaux,10.1007/s00040-005-0800-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23944515511&doi=10.1007%2fs00040-005-0800-6&partnerID=40&md5=374adc5a9a350345f36afd75be5a23df,"Ants have the capacity to reach unusually high densities, mostly in their introduced ranges. Numerical dominance is often cited as key to the ability of exotic ants to displace native ant species, reduce the abundance of invertebrates and negatively impact upon bird, land crab and other vertebrate populations. On Christmas Island, Indian Ocean, the yellow crazy ant, Anoplolepis gracilipes (Jerdon), forms supercolonies, where extremely high densities of foraging ants have contributed to 'invasional meltdown' in rainforest areas. Densities of up to 2254 foraging ants per m2 and a biomass of 1.85 g per m2 were recorded, and nest densities reached 10.5 nest entrances per m2. Populations of A. gracilipes can overcome and kill red endemic land crabs (Gecarcoidea natalis) over 100 times their own biomass. This is the highest recorded density of foraging ants, and adds another element to the definition of 'supercolony' of unicolonial ants. This paper documents one extreme in a continuum of densities of unicolonial, invasive ant species and highlights the need to incorporate forager densities into invasive ant research. © Birkhäuser Verlag, 2005.",Article,Scopus,0.653710583,0,NA,NA,10,NA,0,10,,,16,NA
42,2-s2.0-79958830091,4,4,"Shriver W.G., Gibbs J.P., Woltz H.W., Schwarz N.P., Pepper M.A.",6603645112;7202083301;24831256600;42361596700;35345723700;,Galápagos Rail Laterallus spilonotus population change associated with habitat invasion by the Red-barked Quinine Tree Cinchona pubescens,2011,Bird Conservation International,10.1017/S0959270910000481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958830091&doi=10.1017%2fS0959270910000481&partnerID=40&md5=c699a53f5ad8d63054fd7584cc6382cb,"Species on oceanic islands are more likely to be endemic as well as more extinction-prone than those on continents. The Galápagos Rail Laterallus spilonotus, endemic to the Galápagos Archipelago, is presently known to occur on just four of its seven previously occupied islands and is facing multiple threats to its persistence. In this study, we compared the rail's occurrence and abundance at 193 survey points between 2000 and 2007 on Santa Cruz Island and examined the influence of an invasion of the habitat of the species by the exotic Red-barked Quinine Tree Cinchona pubescens. We detected a 13% reduction in rail occurrence and a 31% reduction in abundance between 2000 and 2007. Rail abundance declined more in low elevation areas (< 719 m) and outside of Cinchona pubescens removal areas but not in areas where Cinchona pubescens was removed. Insofar as Galápagos Rails responded positively to management actions that promote and maintain native vegetation, we conclude that restoration projects that restore native vegetation communities benefit this apparently declining endemic bird for which more focused conservation attention is warranted. © Copyright BirdLife International 2010.",Article,Scopus,0.649788401,1,NA,NA,5,NA,,,,,5,1
5,2-s2.0-0031005673,5,5,"Veit R.R., McGowan J.A., Ainley D.G., Wahl T.R., Pyle P.",7007017168;7202680368;7003309400;8367856500;7004268356;,Apex marine predator declines ninety percent in association with changing oceanic climate,1997,Global Change Biology,10.1046/j.1365-2486.1997.d01-130.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031005673&doi=10.1046%2fj.1365-2486.1997.d01-130.x&partnerID=40&md5=4793908183e7bc7dd52791dbb8589c7f,"Three time series of pelagic bird abundance collected in disparate portions of the California Current reveal a 90% decline in Sooty Shearwater (Puffinus griseus) abundance between 1987 and 1994. This decline is negatively correlated with a concurrent rise in sea-surface temperatures; Sooty Shearwaters have declined while sea temperatures have risen. There is a nine-month lag in the response by shearwaters to changing temperatures. The geographical scale of our study demonstrates that the decline of Sooty Shearwaters is not a localized phenomenon, nor can it be ascribed to a short-term distributional shift. The Sooty Shearwater is the numerically dominant species of the California Current System (CCS) in summer (austral winter), with an estimated population in the late 1970s of 5 million individuals. If the observed warming of the waters of the California Current System is an irreversible manifestation of a changing global climate, then the impact upon Sooty Shearwater populations seems likely to be profound. © 1997 Blackwell Science Ltd.",Article,Scopus,0.649622936,1,NA,NA,5,NA,1,5,,,6,NA
3,2-s2.0-0029669625,70,70,"Ainley D.G., Spear L.B., Allen S.G.",7003309400;7005414880;7403050232;,"Variation in the diet of Cassin's auklet reveals spatial, seasonal, and decadal occurrence patterns of euphausiids off California, USA",1996,Marine Ecology Progress Series,10.3354/meps137001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029669625&doi=10.3354%2fmeps137001&partnerID=40&md5=f66035c8d9e8ff5ab02242daf5bc9f95,"We investigated spatial and temporal variation in the diet of a planktivore, the Cassin's auklet Ptychoramphus aleuticus, in the Gulf of the Farallones, California, USA, where its population has decreased ca 50% in size coincident with the general decline of zooplankton in the California Current. Stomach samples were collected and compared among birds foraging at sea during the nonupwelling, post-spring transition (to upwelling), and upwelling periods each year from 1985 to 1988. Upwelling-period samples also were compared with samples regurgitated to chicks on the Farallon Islands during that period; such samples had been collected during 1971 and 1977- 1991. During the non-upwelling period, auklets fed on the small, energetically interior, oceanic euphausiid Euphausia pacifica, but following the spring transition, the auklets switched to small, juvenile fish (mostly Sebastes spp.) until these had grown too large for capture. Thereafter, the auklets switched to the larger and energetically more valuable euphausiid Thysanoessa spinifera, which had become available upon the onset of upwelling. This general pattern was repeated each year, although some between-year variability among ancillary prey was evident. Auklet foraging locality, however, varied only slightly throughout the year; auklets were most dispersed during El Nino. It was apparent that the availability of T. spinifera was linked to upwelling, the decrease in the prevalence of T. spinifera in the diet fed to chicks from 1971 to 1991 is consisted with decreased intensity of upwelling in the region, as is the reduction in numbers of auklets in the region over the same period. Our results indicate the value of studies of easily accessible marine predators, which can temporally and spatially integrate patterns in the prevalence of prey species, thereby increasing our understanding of the important processes that structure food webs.",Article,Scopus,0.640478352,NA,NA,NA,NA,NA,,,,,71,NA
68,2-s2.0-85031677078,52,52,"Shryock B., Marzluff J.M., Moskal L.M.",56034847000;7004262340;6507935807;,Urbanization alters the influence of weather and an index of forest productivity on avian community richness and guild abundance in the Seattle Metropolitan Area,2017,Frontiers in Ecology and Evolution,10.3389/fevo.2017.00040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031677078&doi=10.3389%2ffevo.2017.00040&partnerID=40&md5=9540359a6e69ac82f59712f9b920edb0,"Fluctuations in weather and forest productivity influence the abundance and richness of bird populations, however in a rapidly urbanizing landscape the relative importance of each factor may vary. We assessed this possibility in the Seattle, WA, USA region by correlating 10 years of bird richness and relative abundance of nine guilds indicative of their tolerance of human development, migration, diet and use of human food subsidies with an annual index of forest productivity (vegetation greenness derived from a 250 m resolution Normalized Difference Vegetation Index (NDVI) product from the MODIS satellite) and weather (variation in the Oceanic Niño Index, which estimates the strength of the El Niño-Southern Oscillation, a major driver of local temperature and precipitation). We found that variation in NDVI exerted a strong influence on the richness of the avian community and the abundance of guilds in landscapes undergoing active development, but was less influential in areas of established housing development or forested reserves. Relative to NDVI, weather was much less influential on the abundance of guilds at actively changing sites, and slightly more influential in forest reserves and established developments. Following the warm winter and during the dry summer associated with a strong El Niño, migrants and herbivores declined in changing landscapes, insectivores declined in established developments, and herbivores declined while synanthropic species increased in reserves. These changes may presage the effects of climate change in the Pacific Northwest, which are expected to be similar to El Niño conditions. To buffer these changes in native bird communities, planners, developers, regulators, and home owners should minimize the loss of vegetation during development and attempt to quickly achieve mature landscaping that preferably provides food and shelter for birds. © 2017 Shryock, Marzluff and Moskal.",Article,Scopus,0.638411424,NA,NA,NA,NA,NA,,,,,53,NA
69,2-s2.0-85040983021,57,57,"Yang L., Sun L., Emslie S.D., Xie Z., Huang T., Gao Y., Yang W., Chu Z., Wang Y.",55859660600;7403957370;7004183166;7402267338;57087624700;57200368851;55873818200;55859491700;15049955800;,"Oceanographic mechanisms and penguin population increases during the Little Ice Age in the southern Ross Sea, Antarctica",2018,Earth and Planetary Science Letters,10.1016/j.epsl.2017.10.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040983021&doi=10.1016%2fj.epsl.2017.10.027&partnerID=40&md5=d314b8d41a319d48cd6147caf76734e8,"The Adélie penguin is a well-known indicator for climate and environmental changes. Exploring how large-scale climate variability affects penguin ecology in the past is essential for understanding the responses of Southern Ocean ecosystems to future global change. Using ornithogenic sediments at Cape Bird, Ross Island, Antarctica, we inferred relative population changes of Adélie penguins in the southern Ross Sea over the past 500 yr, and observed an increase in penguin populations during the Little Ice Age (LIA; 1500–1850 AD). We used cadmium content in ancient penguin guano as a proxy of ocean upwelling and identified a close linkage between penguin dynamics and atmospheric circulation and oceanic conditions. During the cold period of ∼1600–1825 AD, a deepened Amundsen Sea Low (ASL) led to stronger winds, intensified ocean upwelling, enlarged Ross Sea and McMurdo Sound polynyas, and thus higher food abundance and penguin populations. We propose a mechanism linking Antarctic marine ecology and atmospheric/oceanic dynamics which can help explain and predict responses of Antarctic high latitudes ecosystems to climate change. © 2017 Elsevier B.V.",Article,Scopus,0.628034575,NA,NA,NA,NA,NA,,,,,58,NA
